Thomas Kraft (Fußballspieler),托馬斯·克拉夫特
Theodor W. Adorno,狄奧多·阿多諾
Kurt Andersen,库尔特·安德森
Bernd Schneider (Fußballspieler),贝恩德·施奈德
Axel Brauns,阿克塞尔·布劳恩斯
Tilman Spengler,史蒂曼
Friedrich I. (Preußen),腓特烈一世·(普鲁士)
Philipp Löhle,菲利普·罗勒
Willy Merté,威利·墨尔特
Ina Maria Schnitzer,乔丹·卡佛
Jörg-Meinhard Rudolph,约尔格·鲁道夫
Oliver Bierhoff,奥利弗·比尔霍夫
Hans Jörg Butt,汉斯-约尔格·布特
Hjalmar Schacht,亚尔马·沙赫特
Hermann Danuser,赫尔曼·达努泽
Michael Rensing,米夏埃尔·伦辛
Marco Reus,馬爾科·羅伊斯
Jérôme Boateng,謝洛美·保定
Karl von Sachsen (1733–1796),薩克森的卡爾
Axel Springer,阿克塞爾·施普林格
Emil Nolde,埃米尔·诺尔德
Karl-Heinz Rummenigge,卡尔-海因茨·鲁梅尼格
Lars Bender,拉斯·本德
Karl Anselm von Thurn und Taxis,卡爾·安瑟爾姆·(圖恩和塔克西斯)
Benedikt Höwedes,貝尼迪克特·赫韋德斯
Ernst zu Mecklenburg,梅克倫堡的恩斯特
Michael Jakosits,米夏埃尔·雅各西茨
Kevin Kurányi,凯文·库兰伊
Marcell Jansen,马塞尔·扬森
Antonia Lottner,安東妮亞·羅特內
Georg Heinrich Thiessen,格奥尔格·海因里希·蒂森
Jack Steinberger,杰克·施泰因贝格尔
Leó Szilárd,利奧·西拉德
Felix Magath,菲利斯·馬加夫
Ottmar Walter,奥特马尔·瓦尔特
Werner Lueg,维尔纳·卢埃克
Florian Kringe,弗洛里安·克林格
Ludwig Gies,路德维希·吉斯
Ludwig (Nassau-Saarbrücken),路德維希·(拿騷-薩爾布魯根親王)
Oliver Neuville,奥利弗·诺伊维尔
Christoph Metzelder,克里斯托弗·梅策尔德
Marcel Schmelzer,马塞尔·施梅尔策
Annett Louisan,安耐特·露易珊
Konstantin von Neurath,康斯坦丁·馮·諾伊拉特
Isang Yun,尹伊桑
Dieter Lindner (Leichtathlet),迪特尔·林德纳
Martin Jellinghaus,马丁·耶林豪斯
Hermann Engelhard (Leichtathlet),赫尔曼·恩格尔哈德
Tassilo Thierbach,塔西洛·蒂尔巴赫
Helmar Müller,黑尔马·米勒
Dieterich Buxtehude,迪特里克·布克斯特胡德
Norbert Dobeleit,诺贝特·多贝莱特
Bernd Herrmann (Leichtathlet),贝恩德·赫尔曼
Heinrich III. (HRR),亨利三世·(神圣罗马帝国)
Otto Dix,奥托·迪克斯
Hugo Gutmann,胡戈·古特曼
Hans Arp,让·阿尔普
Adolf von Egmond,阿道夫·范埃赫蒙德
Julian Draxler,尤利安·德拉克斯勒
Joachim Büchner (Leichtathlet),约阿希姆·比希纳
Adam Matuschyk,亞當·馬圖什奇克
Philipp Crone,菲利普·克罗内
Volker Grabow,福尔克尔·格拉博
Maximiliana Maria von Bayern,巴伐利亞的瑪希米蓮娜·瑪麗亞
Martin Niemöller,馬丁·尼莫拉
Nena,妮娜·(歌手)
Joseph Beuys,约瑟夫·博伊斯
Mehmet Scholl,梅赫梅特·绍尔
Henry van de Velde,亨利·范德费尔德
Moritz Leitner,莫里茨·萊特納
Piotr Trochowski,彼得·特罗霍夫斯基
Friedrich von Stülpnagel (Leichtathlet),弗里德里希·冯·施蒂尔普纳格尔
Wolrad Eberle,沃尔拉德·埃贝勒
Karlheinz Klotz,卡尔海因茨·克洛茨
Günther Steines,金特·施泰内斯
Lothar Krieg,洛塔尔·克里格
Norbert Trieloff,诺贝特·特里洛夫
Klaus Ehl,克劳斯·埃尔
Karlheinz Stockhausen,卡尔海因茨·施托克豪森
Marita Koch,玛丽塔·科赫
Lewon Aronjan,列冯·阿罗尼扬
Frank Netter,弗蘭克·奈特
Lothar Metz (Ringer),洛塔尔·梅茨
Rudolf Wissell,鲁道夫·维塞尔
Matthias Grünewald,马蒂亚斯·格吕内瓦尔德
Dennis Aogo,丹尼斯·奥戈
"Oliver Sorg (Fußballspieler, 1990)",奧利弗·佐爾格
Martin Knosp,马丁·克诺斯普
Matthias Heidemann,马蒂亚斯·海德曼
Rudolf Stahl (Handballspieler),鲁道夫·施塔尔
Manfred Deckert,曼弗雷德·德克特
Aribert Heim,艾瑞伯特·海姆
Friedrich Gottlieb Klopstock,弗里德里希·戈特利布·克洛普施托克
Marie von Schwarzburg-Rudolstadt,施瓦茨堡-魯多爾施塔特的瑪麗
Roman Weidenfeller,羅曼·維丹費拿
Daniel Libeskind,丹尼爾·里伯斯金
Auguste Karoline von Braunschweig-Wolfenbüttel,不倫瑞克-沃爾芬比特爾的奧古斯塔
Heinrich der Ältere von Plauen,海因里希·馮·普勞恩
Lothar Knörzer,洛塔尔·克内策尔
Ralf Lübke,拉尔夫·吕布克
Leonhard Pohl,莱昂哈德·波尔
"Wolfgang Reinhardt (Leichtathlet, 1943)",沃尔夫冈·赖因哈特
Richard Corts,里夏德·科茨
Otto Klemperer,奥托·克伦佩勒
Boris Meissner,鲍里斯·迈斯纳
Nikolaus von Kues,库萨的尼各老
Alfred Fletcher,阿尔弗雷德·弗莱彻
Klaus Meine,克勞斯·邁恩
René Adler,勒内·阿德勒
Kai Bülow,凱·比洛夫
Marie in Bayern,巴伐利亞的瑪麗·索菲
Luise von Preußen (1838–1923),普魯士的路易絲·(1838年)
Timo Staffeldt,蒂莫·施塔菲尔特
Edi Ziegler,埃迪·齐格勒
Wolfgang Hofmann (Judoka),沃尔夫冈·霍夫曼
Maria Amalia von Österreich (1701–1756),奧地利的瑪麗亞·艾瑪莉亞
Erich Krempel,埃里克·克伦佩尔
Bernd Bauchspieß,贝恩德·鲍赫施皮斯
Klaus Schlappner,克劳斯·施拉普纳
Hans-Joachim Rotzsch,汉斯-约阿希姆·罗奇
Matt Lucas,马修·卢卡斯
Alfred von Tirpitz,阿爾弗雷德·馮·鐵必制
Ron-Robert Zieler,罗恩-罗伯特·齐勒
Adalbert von Bremen,阿德尔伯特
Diego Contento,迭戈·孔滕托
Fabian Klos,法比安·克洛斯
Heinrich Brüning,海因里希·布吕宁
Hans Luther,汉斯·路德
Arnold Schönberg,阿诺德·勋伯格
Till Lindemann,蒂尔·林德曼
Andreas Köpke,安德烈亚斯·克普克
Robert Huth,罗伯特·胡特
Sophie Dorothea von Braunschweig-Lüneburg,索菲·多蘿西亞·(不倫瑞克-呂訥堡)
Zvonimir Serdarušić,兹沃尼米尔·塞尔达鲁希奇
Pina Bausch,碧娜·鮑許
Christian Lorenz,克里斯汀·洛倫茨
André Previn,安德烈·普列文
Sophie von Preußen (1870–1932),普魯士的索菲亞
Gustav Krupp von Bohlen und Halbach,古斯塔夫·克虏伯
Sebastian Boenisch,塞巴斯蒂安·伯尼施
Sophia von Pommern († 1568),波美拉尼亞的索菲亞
Silke Möller,西尔克·默勒
Elisabeth von Württemberg (1767–1790),符騰堡的伊莉莎白
Luise Ulrike von Preußen,普魯士的路易絲·烏爾莉卡
Auguste Wilhelmine von Hessen-Darmstadt,黑森-達姆施塔特的奧古斯塔·威廉明妮
Sophie Magdalene von Brandenburg-Kulmbach,索菲·瑪格達列妮·(布蘭登堡-庫爾姆巴赫)
Marie Therese von Österreich-Este (1849–1919),奧地利-埃斯特的瑪麗亞·特蕾莎·(1849-1919)
Dorothea von Sachsen-Lauenburg (1511–1571),薩克森-勞恩堡的多蘿西亞
Raimond Aumann,莱蒙德·奥曼
Hilda von Nassau,拿騷的希爾達
Helene Fischer,海伦娜·菲舍尔
Sigrun Wodars,西格伦·沃达斯
Johanna Klier,约翰娜·克利尔
Christa Luding-Rothenburger,克丽斯塔·卢丁-罗滕布格尔
Luise von Mecklenburg-Strelitz,梅克倫堡-施特雷利茨的路易絲
Halil Altıntop,哈利勒·阿尔滕托普
Markus Merk,马库斯·默克
Jürgen Bähringer,于尔根·贝林格
Andreas Schröder,安德烈亚斯·施罗德
Gerhard Kleppinger,格哈德·克莱平格
Frank Baum (Fußballspieler),弗兰克·鲍姆
Elisabeth Albertine von Sachsen-Hildburghausen,伊莉莎白·阿爾貝汀·(薩克森-希爾德布格豪森)
Jörg Heinrich,约尔格·海因里希
Célia Šašić,切利娅·沙希奇
Wilhelmine von Preußen (1709–1758),普魯士的威廉明妮·(1709年)
Christian Ziege,克里斯蒂安·齐格
Thomas Häßler,托马斯·黑斯勒
Dietmar Hamann,迪特马尔·哈曼
Andreas Möller,安德烈亚斯·穆勒
Carl Schuhmann,卡尔·舒曼
Kristin Otto,克里斯汀·奥托
Rica Reinisch,丽卡·赖尼施
Anna Sophie von Dänemark,丹麥的安娜·索菲
Cecilie zu Mecklenburg,梅克倫堡-施威林的塞西莉埃
Irmingard von Tours,图尔的埃芒加德
Wilhelmine Amalie von Braunschweig-Lüneburg,威廉明妮·阿瑪莉埃·(不倫瑞克-呂訥堡)
Friederike Luise von Hessen-Darmstadt,弗蕾德里克·路易絲·(黑森-達姆施塔特)
Adolf Werner (Fußballspieler),阿道夫·维尔纳
Josef Manger,约瑟夫·曼格
Manfred Nerlinger,曼弗雷德·内林格尔
Karl-Heinz Radschinsky,卡尔-海因茨·拉德申斯基
Adolf Rieger,阿道夫·里格尔
Jakob Brendel,雅各布·布伦德尔
Lars Nieberg,拉尔斯·尼贝格
Martin Bucer,马丁·布策
Sophie Friederike zu Mecklenburg,索菲·弗蕾德里克·(梅克倫堡-施威林)
Elisabeth Amalie von Hessen-Darmstadt,伊莉莎白·阿瑪莉埃·(黑森-達姆施塔特)
Herbert Wimmer,赫伯特·威默
Hagen Stamm,哈根·施塔姆
Kirsten Wenzel,基尔斯滕·文策尔
Kurt Masur,库尔特·马苏尔
Carl Stamitz,卡尔·斯塔米茨
Andreas Klöden,安德烈亚斯·克勒登
Konrad I. (Ostfrankenreich),康拉德一世·(东法兰克)
Konrad III. (HRR),康拉德三世·(德意志国王)
Konrad IV. (HRR),康拉德四世·(德意志国王)
Thomas Schaaf,托馬斯·沙夫
Diana Damrau,黛安娜·达姆劳
John C. Polanyi,约翰·查尔斯·波拉尼
"Toni Schumacher (Fußballspieler, 1954)",哈拉德·舒马赫
Patrick Helmes,帕特里克·黑尔默斯
Nils Petersen,尼尔斯·彼得森·(足球运动员)
Andreas Beck (Fußballspieler),安德烈亚斯·贝克·(足球运动员)
Bruno Walter,布鲁诺·瓦尔特
Marten von Barnekow,马滕·冯·巴内考
Balthasar Schwarm,巴尔塔扎·施瓦姆
Yannic Seidenberg,扬尼克·赛登贝格
Georg Gerstacker,格奥尔格·格斯特克
Kurt Leucht,库尔特·洛伊希特
Frank Baltrusch,弗兰克·巴尔特鲁施
Angela Voigt,安格拉·福格特
Hartwig Steenken,哈特维希·施滕肯
Ernst Ferdinand (Braunschweig-Wolfenbüttel-Bevern),恩斯特·斐迪南
Dirk Rauin,迪尔克·劳因
Andreas Brehme,安德烈亚斯·布雷默
Jens Nowotny,延斯·诺沃特尼
Kristina Reynolds,克里斯蒂娜·雷诺茨
Tatjana Hüfner,塔季扬娜·许夫纳
Christa Ludwig,克里絲塔·路德維希
Silke Renk,西尔克·伦克
Konrad von Wangenheim,康拉德·冯·旺根海姆
Mark Dragunski,马克·德拉贡斯基
Anna Amalia von Braunschweig-Wolfenbüttel,安娜·艾瑪莉亞·(不倫瑞克-沃爾芬比特爾)
Magdalena Sibylla von Sachsen,薩克森的瑪格達列娜·希比拉
Margitta Gummel,玛尔吉塔·古梅尔
Agnes zu Solms-Laubach,索爾姆斯-勞巴赫的阿格尼絲
Ahmet Dursun,艾美·杜辛
Christian Meyer (Radsportler),克里斯蒂安·迈尔·(自行车运动员)
Ulrich Kirchhoff,乌尔里希·基希霍夫
Max Aub,马克斯·奥夫
Agnes Simon (Tischtennisspielerin),阿格内斯·西蒙
Stefan Ulm,斯特凡·乌尔姆
René Schöfisch,勒内·舍菲施
Adolf Seger,阿道夫·塞格
Adolf Boyé,博邺
Horst Tüller,霍斯特·蒂勒
Gidon Kremer,基東·克雷默
Klaus Kinkel,克劳斯·金克尔
Nam June Paik,白南准
Max Liebermann,马克思·利伯曼
Zvjezdan Misimović,兹夫耶兹丹·米西莫维奇
Waldemar Cierpinski,瓦尔德马·切尔平斯基
Karl Dröse,卡尔·德勒泽
Melanie Hoffmann,梅拉妮·霍夫曼
Isabell Werth,伊莎贝尔·韦特
Andrea Pollack,安德烈娅·波拉克
Nina Hagen,尼娜·哈根
Ernst Busch (Schauspieler),恩斯特·布施·(演员)
Christiane Eberhardine von Brandenburg-Bayreuth,克莉絲蒂安妮·艾伯哈爾汀
Evelin Jahl,埃费琳·雅尔
Kevin Großkreutz,凯文·格罗斯克罗伊茨
Ute Geweniger,乌特·格韦尼格
Christian Lell,克里斯蒂安·莱尔
Sepp Herberger,塞普·赫贝格尔
Klaus Augenthaler,克劳斯·奥根塔勒
Wilhelm Kempff,威廉·肯普夫
Charlotte zu Schaumburg-Lippe,紹姆堡-利珀的夏洛特
Agnes von Waiblingen,魏布林根的阿格尼絲
Karl-Heinz Riedle,卡爾-海因茨·里德爾
Inka Grings,因卡·格林斯
Terence Hill,特伦斯·希尔
Anja Kluge,安雅·克卢格
Gerd Backhaus,格尔德·巴克豪斯
Otto I. (Pommern),奧東一世·(波美拉尼亞)
Claus von Amsberg,克勞斯親王·(荷蘭)
Frank Rost,弗朗克·羅斯特
Richard Meier (Architekt),理查·麥爾
Frank Baumann,弗蘭克·鮑曼
James Stirling (Architekt),詹姆斯·斯特林·(建筑师)
Karin Enke,卡琳·恩克
Annelie Ehrhardt,安内莉·埃尔哈特
Artur Ullrich,阿图尔·乌尔里希
Richenza von Northeim,諾特海姆的里琴莎
Walter Hallstein,沃尔特·哈尔斯坦
Sebastian Deisler,塞巴斯蒂安·代斯勒
Adolf Friedrich I. (Mecklenburg),阿道夫·腓特烈一世
David Garrett,大衛·加勒特
Aaron Hunt,阿隆·亨特
Carl Eduard (Sachsen-Coburg und Gotha),卡尔·爱德华·(萨克森-科堡-哥达公爵)
Marc-André ter Stegen,马克-安德烈·特尔施特根
Simon Rolfes,西蒙·罗尔费斯
David Odonkor,大卫·奥东科尔
Clemens Fritz,克莱门斯·弗里茨
Carlos Kleiber,卡洛斯·克莱伯
Dieter Eilts,迪特尔·艾尔茨
Jan Dolgowicz,扬·多乌戈维奇
Thomas Zander (Ringer),托马斯·灿德尔
Jens Langeneke,延斯·朗格内克
Dirk Richter,迪尔克·里希特
Uwe Neupert,乌韦·诺伊珀特
Hartmut Krüger (Handballspieler),哈特穆特·克吕格尔
Adolf Friedrich IV. (Mecklenburg),阿道夫·腓特烈四世
Adolf Friedrich III. (Mecklenburg),阿道夫·腓特烈三世
Adolf Friedrich II. (Mecklenburg),阿道夫·腓特烈二世
Folkert Meeuw,福尔克特·梅乌
Fabian Ernst,法比安·恩斯特
Wolfgang Stark,沃尔夫冈·施塔克
José Holebas,何塞·霍萊巴斯
Sigmar Gabriel,西格马尔·加布里尔
Klaus Gruner,克劳斯·格鲁纳
Frank-Michael Wahl,弗兰克-米夏埃尔·瓦尔
Hans-Georg Beyer (Handballspieler),汉斯-格奥尔格·拜尔
Siegfried Voigt,西格弗里德·福格特
Günter Lörke,金特·勒尔克
Carl Heinrich Graun,卡爾·海因里希·格勞恩
Dietmar Schmidt (Handballspieler),迪特马尔·施密特
Ingolf Wiegert,英戈尔夫·维格特
Herbert Fandel,赫伯特·范德尔
Thomas Eisfeld,伊斯菲特
Josefa Idem,约瑟法·伊德姆
İlkay Gündoğan,伊尔卡伊·京多安
Kristina Bröring-Sprehe,克里斯蒂娜·布勒林-施普雷埃
Auguste Viktoria von Schleswig-Holstein-Sonderburg-Augustenburg,什勒斯維希-霍爾斯坦的奧古斯塔·維多利亞
Marlies Göhr,玛莉斯·格尔
Jens Weißflog,延斯·魏斯弗洛格
Christiane Weber (Ruderin),克里斯蒂安娜·韦伯·(赛艇运动员)
Markus Scherer,马库斯·舍雷尔
Ulrich Eicke,乌尔里希·艾克
Konrad Heidkamp (Fußballspieler),康拉德·海德坎普
Georg Hajdu,喬治·海杜
Marco Koch,马科·库奇
Karl Mai (Fußballspieler),卡尔·马伊
Jürgen Schult (Leichtathlet),于爾根·舒爾特
Lothar Doering,洛塔尔·德林
Hans-Georg Jaunich,汉斯-格奥尔格·尧尼希
Friedrich Gerhard,弗里德里希·格哈德
Rainer Henkel,赖纳·亨克尔
Horst Weigang,霍斯特·魏冈
Bärbel Wöckel,贝贝尔·韦克尔
Johannes Kaiser (Leichtathlet),约翰内斯·凯泽
Roland Matthes,罗兰·马特斯
Maria Josepha von Sachsen (1731–1767),萨克森的玛丽·约瑟芬·(1731年–1767年)
Thomas Linke,托马斯·林克
Günther Neureuther,金特·诺伊罗伊特
Detlef Lewe,德特勒夫·莱韦
Petra Schersing,彼得拉·舍辛
Bianca Maria Sforza,比安卡·玛丽亚·斯福尔扎
Helke Nieschlag,黑尔克·尼施拉格
Sophie Dorothea von Hannover,索菲亞·桃樂西婭·(漢諾威)
Friederike Dorothea Sophia von Brandenburg-Schwedt,布蘭登堡-施韋特的弗蕾德里克
Jenny Wolf,燕妮·沃尔夫
Armin Mueller-Stahl,阿明·穆勒-施塔尔
Nikolaus Mercator,尼古拉斯·墨卡托
Günter Dreibrodt,金特·德赖布罗特
Ernst Gerlach,恩斯特·格拉赫
Rainer Höft,赖纳·赫夫特
Siegfried Köhler (Radsportler),西格弗里德·克勒
Johann Adam Hiller,约翰·亚当·席勒
Timm Klose,蒂姆·克洛泽
Adolf Möller (Ruderer),阿道夫·默勒
Alexander Baumjohann,亚历山大·鲍姆约翰
Alexandra Popp,亚历山德拉·波普
Luise von Sachsen-Gotha-Altenburg (1756–1808),薩克森-哥達-阿爾滕堡的路易絲·(1756-1808)
Lothar Stäber,洛塔尔·施特贝尔
Hannelore Burosch,汉内洛蕾·布罗施
Ines Diers,伊内斯·迪尔斯
Thorsten Kirschbaum,托爾斯滕·基施鮑姆
Kurt Hornfischer,库尔特·霍恩菲舍尔
Franz von Bayern,弗朗茨·(巴伐利亚)
Gerhard Richter,葛哈·李希特
Hans-Joachim Lück,汉斯-约阿希姆·吕克
Marcel Schäfer,馬素·舒希化
Lina Radke,莉娜·拉德克
Oliver Fink,奧利弗·芬克
Robert Rauschenberg,羅伯特·勞森伯格
Wendelin Werner,文德林·維爾納
Martin Stoll,马丁·施托尔
Hans Baldung,汉斯·巴尔东·格里恩
Max Beckmann,马克斯·贝克曼
Edmund Conen,埃德蒙·科嫩
Caren Metschuck,卡伦·梅楚克
Adolf von Harnack,阿道夫·哈纳克
Paul Landers,保罗·兰德斯
Kornelia Ender,科内莉亚·恩德
Alfons Lütke-Westhues,阿尔方斯·吕特克-韦斯特许斯
Carl Friedrich Wilhelm (Leiningen),卡爾·腓特烈·威廉
Andreas Stähle,安德烈亚斯·施特勒
Sophie Eleonore von Sachsen,薩克森的索菲·艾蕾諾爾
Eleonore Juliane von Brandenburg-Ansbach,艾蕾諾爾·朱麗安妮·(布蘭登堡-安斯巴赫)
Jochen Fraatz,约亨·弗拉茨
Frank Mauer,弗兰克·毛厄尔
Jeffrey Schlupp,杰弗里·施鲁普
Christopher Nöthe,克里斯托弗·诺特
Sergiu Celibidache,塞尔吉乌·切利比达克
Sven Bender,斯文·本德
Hildegard Falck,希尔德加德·法尔克
Arnulf Meffle,阿努尔夫·梅夫勒
Heike Apitzsch-Friedrich,海克·弗里德里希
Wolf Biermann,沃尔夫·比尔曼
Xu Huaiwen,徐怀雯
Gerd Wessig,格尔德·韦西希
Jutta Niehaus,尤塔·尼豪斯
Carsten Ramelow,卡斯滕·拉梅洛
Ashkan Dejagah,阿什坎·德贾加
Monika Debertshäuser,莫妮卡·德贝茨霍伊泽
Adolf Ziegler (Maler),阿道夫·齐格勒
Matthias Flacius,伊利里库斯·弗拉齐乌斯
Lutz Dombrowski,卢茨·东布罗夫斯基
Veronika Schmidt,薇罗妮卡·施密特
Bernhard II. (Sachsen),伯恩哈德二世·(薩克森)
Andreas Osiander,安德烈亚斯·奥西安德
Melanie Behringer,梅拉妮·贝林格
Joachim Streich,约阿希姆·施特赖希
Georg Baselitz,格奥尔格·巴泽利茨
Barbara Niedernhuber,芭芭拉·尼德恩胡贝尔
Magdalena Sibylle von Preußen,普魯士的瑪格達萊娜·西比勒
Grit Jurack,格里特·尤拉克
Adelheid von Sachsen-Meiningen (1891–1971),薩克森-邁寧根的阿德萊德·(1891年—1971年)
Frank Hördler,弗兰克·赫德勒
Dagmar Neubauer,达格玛·诺伊鲍尔
Jens Jeremies,延斯·耶雷米斯
Marco Bode,马尔科·博德
Zbigniew Kaczmarek,兹比格涅夫·卡奇马雷克
Sabine Meyer,萨宾娜·迈耶
Stefan Bell,斯特凡·贝尔
Uli Vos,乌利·福斯
Hendrik Reiher,亨德里克·赖厄
Otto I. (Sachsen),奧托一世·(薩克森公爵)
Martina Seidl,马丁娜·策尔纳
Stefan Kuntz,斯特凡·昆茨
Klaus Allofs,克勞斯·阿洛夫斯
Christian Pander,克里斯蒂安·潘德尔
Wilhelm Mahlow,威廉·马洛
Michael Wolgemut,米凱爾·瓦格莫特
Kathrin Boron,卡特琳·博龙
Nicole Uphoff,妮科尔·乌普霍夫
Friedrich von Sachsen (1473–1510),腓特烈·(條頓騎士團)
Georg Spohr,格奥尔格·施波尔
Friedrich-Wilhelm Ulrich,弗里德里希-威廉·乌尔里希
Christian Wörns,克里斯蒂安·沃恩斯
Christine Wachtel,克里斯蒂娜·瓦赫特尔
Romy Müller,罗米·米勒
Karin Balzer,卡琳·巴尔策
Anja Schneiderheinze,安雅·施奈德海因策
Käthe Grasegger,克特·格拉泽格尔
Alexander Mann (Bobfahrer),亚历克斯·曼
Adolf von Hildebrand,阿道夫·冯·希尔德布兰
Otto von Freising,弗萊辛的奧托
Anna Hübler,安娜·许布勒
Christine Errath,克里斯蒂娜·埃拉特
Anja Rücker,安雅·吕克尔
Boris Vukčević,博里斯·武克切维奇
Elisabeth von Luxemburg (1409–1442),盧森堡的伊莉莎白·(1409-1442)
Frank von Behren,弗兰克·冯·贝伦
Patrick Owomoyela,帕特里克·奥沃莫耶拉
Karen Forkel,卡伦·福克尔
Lucille Weber,露西尔·奥皮茨
Anett Pötzsch-Rauschenbach,安奈特·普茨
Kristina Vogel,克里斯蒂娜·沃格尔
Auguste Viktoria von Hohenzollern,霍亨索倫的奧古斯塔·維多利亞
Jan-Olaf Immel,扬-奥拉夫·伊梅尔
Christine von Hessen,黑森的克莉絲汀
Luise Juliana von Oranien-Nassau,拿騷的路易絲·朱麗安娜
Walter Steffens (Turner),瓦尔特·斯特芬斯
Rudolf Thanner,鲁道夫·坦纳
Peter Trump,彼得·特伦普
Jochen Kühner,约亨·屈纳
Johann I. (Münsterberg),津比采的揚
Rainer Seifert,赖纳·塞弗特
Michael Peter (Hockeyspieler),米夏埃尔·彼得
Dieter Freise,迪特尔·弗赖泽
Olaf Thon,奥拉夫·托恩
Thomas Doll,托马斯·多尔
Max Morlock,马克斯·莫洛克
Ossi Reichert,奥西·赖歇特
Margit Schumann,玛吉特·舒曼
Hans-Peter Briegel,漢斯-皮特·布里格爾
Mario Basler,马里奥·巴斯勒
Karl Amadeus Hartmann,卡尔·阿玛德乌斯·哈特曼
Carla Bodendorf,卡拉·博登多夫
Kerstin Behrendt,克斯廷·贝伦特
Bernhard Cullmann,伯恩哈德·库尔曼
Martina Müller (Fußballspielerin),马丁娜·米勒·(足球运动员)
Violetta Oblinger-Peters,奥莱塔·奥布林格-彼得斯
Sabine Völker,扎比内·弗尔克尔
Christiane Wartenberg,克里斯蒂安娜·瓦滕贝格
Alfred Pfaff,阿尔弗雷德·普法夫
Daniel Schwaab,丹尼爾·施瓦布
Ernst Friedrich I. (Sachsen-Hildburghausen),恩斯特·腓特烈一世
Samuel Scheidt,萨穆埃尔·沙伊特
Andreas Görlitz,安德里亚斯·格尔利茨
Klaus Fischer (Fußballspieler),克劳斯·费舍尔
Daniela Hunger,丹妮拉·洪格尔
Maria Elisabeth von Sachsen (1610–1684),薩克森的瑪麗亞·伊莉莎白
Ludwig V. (Hessen-Darmstadt),路德維希五世·(黑森-達姆施塔特)
Hannelore Anke,汉内洛蕾·安克
Ludwig VI. (Hessen-Darmstadt),路德維希六世·(黑森-達姆施塔特)
Carola Anding,卡萝拉·安丁
Georg II. (Hessen-Darmstadt),格奧爾格二世·(黑森-達姆施塔特)
Stephan Krüger,斯特凡·克吕格尔
Martin Kühner,马丁·屈纳
Adam Taubitz,亞當·陶比茨
Richard Trautmann,里夏德·特劳特曼
Heinrich I. (Bayern),亨利一世·(巴伐利亚公爵)
Reinhard Bredow (Rennrodler),赖因哈德·布雷多
Ulrich Papke,乌尔里希·帕普克
Hannes Peckolt,汉内斯·佩科尔特
Peter Thiede,彼得·蒂德
Frank Möller (Judoka),弗兰克·默勒
Monique Garbrecht-Enfeldt,莫妮克·加布雷希特-恩费尔特
Hugo Haase,胡戈·哈泽
Jasmin Duehring,贾丝敏·杜林
Manuel Ott,曼努埃尔·奥特
Horst Hrubesch,霍斯特·赫鲁贝施
Manfred Kaltz,曼弗雷德·卡尔茨
Paul Kellner,保罗·克尔纳
Ramona Portwich,拉莫娜·波特维希
Kurt Malisch,保罗·马利施
Josef Albers,约瑟夫·亚伯斯
Hans Reichenbach (Physiker),汉斯·赖兴巴赫
Carsten Jancker,卡斯滕·扬克尔
Fritz Hofmann (Leichtathlet),弗里茨·霍夫曼
Hrotsvit,赫羅斯葳塔
Ludwig VII. (Hessen-Darmstadt),路德維希七世
Dagmar Hase,达格玛·哈泽
Barbara Petzold,芭芭拉·佩措尔德
Luise Amalie von Braunschweig-Wolfenbüttel,路易絲·阿瑪莉埃·(不倫瑞克-沃爾芬比特爾)
Andrea Ehrig-Mitscherlich,安德烈娅·埃里希-米切利希
Marquard Slevogt,马夸特·斯莱福格特
Hanka Kupfernagel,汉卡·库普费尔纳格尔
Ludowika Jakobsson,卢多维卡·雅各布松
Gustav Adolf (Nassau-Saarbrücken),古斯塔夫·阿道夫·(拿騷-薩爾布魯根)
Wolfgang Mager,沃尔夫冈·马格
Max Grün,馬塞·格倫
Ulrike Tauber,乌尔丽克·陶贝尔
Ulrich Hahn (Rennrodler),乌尔里希·哈恩
Jürgen Kißner,于尔根·基斯纳
Andreas Decker (Ruderer),安德烈亚斯·德克尔
Siegbert Horn,西格贝特·霍恩
Achim Hill,阿希姆·希尔
Erwin Franzkowiak,埃尔温·弗朗茨科维亚克
Otto Pfister (Fußballtrainer),奥托·普菲斯特·(足球运动员)
Konstantin Engel,干斯坦汀·安基爾
Lars Riedel,拉尔斯·里德尔
Sophie von Braunschweig-Wolfenbüttel,索菲·安東妮·(不倫瑞克-沃爾芬比特爾)
Florian Eichner,弗洛里安·艾希纳
Muhamed Bešić,穆罕默德·貝西奇
Friedrich III. (Nürnberg),腓特烈三世·(紐倫堡)
Werner Hamel (Hockeyspieler),维尔纳·哈梅尔
Werner Proft,维尔纳·普罗夫特
Heinz Förstendorf,海因茨·弗斯滕多夫
Hans Haußmann,汉斯·豪斯曼
Heinz Wöltje,海因茨·韦尔特耶
Marita Lange,玛丽塔·朗格
Heinz Raack (Hockeyspieler),海因茨·拉克
Werner Freyberg,维尔纳·弗赖贝格
Rolf Wollner,罗尔夫·沃尔纳
Kurt Haverbeck,库尔特·哈弗贝克
Hermann Auf der Heide (Hockeyspieler),赫尔曼·奥夫德海德
Theodor Haag,特奥多尔·哈格
Aribert Heymann,阿里贝特·海曼
Erich Cuntz,埃里克·孔茨
Kurt Weiß (Hockeyspieler),库尔特·魏斯
Georg Brunner (Hockeyspieler),格奥尔格·布伦纳
Detlef Okrent,德特勒夫·奥克伦特
