Paris,巴黎
Le Cloître-Pleyben,勒克卢瓦特尔普莱邦
Le Clapier,勒克拉皮耶
Le Cheylas,勒谢拉
Le Cheylard,勒谢拉尔
Le Chefresne,勒舍夫雷斯恩
Le Château-d'Oléron,勒沙托多莱龙
Le Change,勒尚格
Le Champ-Saint-Père,勒尚圣佩勒
Le Champ-près-Froges,勒尚普雷弗罗热
Le Chalard,莱沙拉尔
Le Cendre,勒桑德尔
Le Cellier,勒瑟利耶
Le Cayrol,勒凯罗
Le Cateau-Cambrésis,勒卡托康布雷西
Le Cannet-des-Maures,莱卡纳代莫勒
Le Cailar,勒凯拉
Le Buisson-de-Cadouin,勒比伊松德卡杜安
Le Bugue,勒比盖
Le Brusquet,勒布吕斯屈埃
Le Bourguet,莱布尔居厄
Le Bourg,勒布尔
Le Bourdeix,勒布尔代
Le Boupère,莱布佩勒
Le Bois-Plage-en-Ré,雷地区勒布瓦斯-普拉格
Le Bleymard,勒布莱马尔
Le Bignon,勒比尼翁
Le Bersac,勒贝尔萨克
Le Bernard,莱贝尔纳尔
Le Bellay-en-Vexin,弗克桑地区勒贝莱
Le Bec-Hellouin,勒贝克埃卢安
Le Beausset,勒博塞
Le Béage,勒贝阿格
Le Barroux,莱巴尔鲁
Le Bardon,勒巴尔东
Lay-Lamidou,莱拉米杜
La Wantzenau,拉旺特泽诺
La Vraie-Croix,拉夫赖埃克鲁瓦
Lavoûte-Chilhac,拉武特希亚克
La Voulte-sur-Rhône,罗讷河畔拉武尔特
Lavoine,拉万
La Villedieu-du-Clain,拉维莱迪厄迪克兰
La Ville-aux-Clercs,拉维尔奥克莱尔克
Lavérune,拉韦兰
La Verpillière,拉韦尔皮利埃
Lavernose-Lacasse,拉韦尔诺斯拉卡斯
La Verdière,拉弗尔迪埃
Lavelanet-de-Comminges,拉韦拉内德科曼热
Laveissière,拉韦西埃
Lavau-sur-Loire,卢瓦尔河畔拉沃
Lavaudieu,拉沃迪厄
La Varenne,拉瓦雷讷
La Vancelle,拉旺塞尔
Laval-Pradel,拉瓦普拉代
La Vallée-au-Blé,拉瓦莱欧布莱
Laval-du-Tarn,拉瓦迪塔尔恩
La Vacquerie-et-Saint-Martin-de-Castries,拉瓦屈埃里耶-埃特-圣马尔坦德卡斯特里耶
Lauzerte,洛泽尔特
Lautignac,洛蒂尼亚克
Lautenbachzell,洛唐巴克泽
Lauris,洛里
Laure-Minervois,洛尔米内尔瓦
Launac,洛纳克
Laudun-l'Ardoise,洛丹拉尔杜瓦斯
Laubert,洛贝尔
Lau-Balagnas,洛巴拉尼亚
La Turbie,拉蒂尔比耶
La Turballe,拉蒂尔巴尔
Latronquière,拉特龙基耶尔
Latresne,拉特雷斯恩
La Tremblade,拉特朗布拉德
La Tranche-sur-Mer,滨海拉特朗舍
Arthez-de-Béarn,阿尔泰德贝阿尔恩
Artannes-sur-Indre,安德尔河畔阿尔塔内
Ars-Laquenexy,阿尔拉屈埃纳克西
Arrou,阿尔鲁
Arros-de-Nay,阿尔罗德奈
Arronnes,阿尔罗内
Arromanches-les-Bains,阿尔罗芒谢莱班
Arrodets-ez-Angles,阿尔罗代特埃昂格莱
Arrigas,阿尔里加
Arricau-Bordes,阿尔里科博尔代
Arreau,阿尔罗
Arraute-Charritte,阿尔罗特沙尔里特
Arrast-Larrebieu,阿尔拉斯拉尔雷比厄
Arras-sur-Rhône,罗讷河畔阿尔拉
Arrancy-sur-Crusnes,克吕斯恩河畔阿尔朗西
Arradon,阿尔拉东
Arquettes-en-Val,瓦地区阿尔屈埃泰
Arques,阿尔屈埃
Arques,阿尔屈埃
Arpheuilles-Saint-Priest,阿尔弗伊莱圣普里耶斯
Aroue-Ithorots-Olhaïby,阿鲁埃伊托罗特奥耶比
Arnos,阿尔诺
Arnéguy,阿尔内吉
Arnac-sur-Dourdou,杜尔杜河畔阿尔纳克
Arnac-la-Poste,阿尔纳克拉波斯特
Armissan,阿尔米桑
Armendarits,阿尔芒达里特
Arlet,阿尔莱
Arlempdes,阿尔朗普代
Arlebosc,阿尔勒博斯克
Arhansus,阿朗叙
Argy,阿尔吉
Argilliers,阿尔吉利耶尔
Argent-sur-Sauldre,索尔德尔河畔阿尔让
Argences,阿尔让塞
Argelos,阿尔热洛
Argeliers,阿尔热利耶尔
Argein,阿尔然
Argancy,阿尔冈西
Argagnon,阿尔加尼翁
Arfeuilles,阿尔弗伊莱
Arette,阿雷特
Aren,阿朗
Ardres,阿德尔
Ardoix,阿尔杜瓦
Ardillières,阿尔迪利埃
Ardennes,阿登省
Ardèche,阿尔代什省
Arcy-Sainte-Restitue,阿尔西圣雷斯蒂蒂
Arc-sur-Tille,蒂尔河畔阿尔克
Arconcey,阿尔孔塞
Arcomps,阿尔孔普
Archigny,阿尔希尼
Archignat,阿尔希尼亚
Archignac,阿尔希尼亚克
Archiac,阿尔希阿克
Archettes,阿尔舍特
Archail,阿尔谢
Arc-et-Senans,阿尔克和瑟南
Arbus,阿尔比
Arbrissel,阿尔贝赛勒
Arboussols,阿尔布索尔
Arbouet-Sussaute,阿尔布埃叙索特
Arbis,阿尔比
Arbérats-Sillègue,阿尔贝拉特西莱盖
Arbéost,阿尔贝奥斯
Araux,阿罗
Araujuzon,阿罗瑞宗
Arancou,阿朗库
Aramits,阿拉米特
Aragnouet,阿拉纽埃
Appoigny,阿普瓦尼
Appenwihr,阿庞维
Aouste-sur-Sye,西埃河畔阿乌斯特
Aoste,奥斯特
Anzême,昂泽姆
Anzat,昂扎莱吕盖
Any-Martin-Rieux,阿尼马丹略
Anvin,昂万
Antran,昂特朗
Antonne,昂通和特里戈南
Antignac,昂蒂尼亚克
Anstaing,昂斯坦
Ansignan,昂西尼昂
Ansauvillers,昂索维莱尔
Ansac-sur-Vienne,维安河畔昂萨克
Anoye,阿努瓦埃
Anould,阿努尔
Anos,阿诺
Annezin,阿讷赞
Annesse-et-Beaulieu,阿内斯和博利厄
Anlhiac,昂伊阿克
Aniane,阿尼昂
Anhaux,阿诺
Angy,昂吉
Angres,昂格尔
Angous,昂古
Angoulins,昂古兰
Anglars,昂格拉尔圣费利
Anglards-de-Salers,昂格拉尔德德萨莱尔
Angicourt,昂吉库尔
Angervilliers,昂热维利耶尔
Angeac-Charente,昂雅克沙朗特
Angeac-Champagne,昂雅克尚帕尼
Angaïs,昂盖
Anetz,阿内特
Anduze,昂迪兹
Andrezé,昂德雷泽
Andrest,昂德雷斯
Andouillé,昂杜伊莱
Andoins,昂端
Andeville,昂德维尔
Andert-et-Condon,昂德尔和孔东
Andelaroche,昂代拉罗克
Andelain,昂德兰
Andard,昂达尔
Andancette,昂当塞特
Andance,昂当克
Anctoville,昂克托维尔
Ancizan,昂西藏
Ancienville,昂西安维尔
Ampus,昂皮
Amplier,昂普利耶
Ampilly-le-Sec,昂皮利莱塞克
Ampilly-les-Bordes,昂皮利莱博尔代
Amorots,阿莫罗特叙科
Amigny-Rouy,阿米尼鲁伊
Amettes,阿梅特
Amenucourt,阿默尼库尔
Amendeuix,阿芒德伊奥内
Ambutrix,昂比特里
Ambrugeat,昂布吕雅
Ambrières-les-Vallées,昂布里埃莱瓦莱埃
Ambricourt,昂布里库尔
Ambrault,昂布罗尔
Ambleteuse,昂布勒特斯
Ambléon,昂布莱翁
Ambleny,昂布勒尼
Amblainville,昂布兰维尔
Ambillou-Château,昂比卢沙托
Ambierle,昂比耶尔
Ambès,昂贝
Ambernac,昂贝尔纳克
Ambel,昂贝
Ambazac,昂巴扎克
Amanvillers,阿芒维莱尔
Amanlis,阿芒利
Alzonne,阿尔宗
Alzon,阿尔宗
Alvignac,阿尔维尼亚克
Altwiller,阿尔特维莱
Altviller,阿尔特维莱
Altillac,阿尔蒂拉克
Altenheim,阿尔特南
Alteckendorf,阿尔泰康多尔
Alsting,阿尔斯坦
Alpuech,阿尔皮埃克
Alpes-Maritimes,滨海阿尔卑斯省
Alpes-de-Haute-Provence,上普罗旺斯阿尔卑斯省
Aloxe-Corton,阿洛克斯科尔通
Alos-Sibas-Abense,阿洛西巴阿邦斯
Alloue,阿卢埃
Allouagne,阿卢涅
Allos,阿洛
Allonville,阿隆维尔
Alligny-en-Morvan,莫尔旺地区阿利尼
Allier,阿列省
Alleyrat,阿莱拉
Alleyras,阿莱拉
Alleyrac,阿莱拉克
Allevard,阿勒瓦尔
Alles-sur-Dordogne,多尔多尼河畔阿莱
Allenwiller,阿朗维莱
Allennes-les-Marais,阿莱讷莱马赖
Allemond,阿莱蒙
Allemagne-en-Provence,普罗旺斯地区阿莱马尼
Alleins,阿兰
Allègre,阿莱格尔
Allègre-les-Fumades,阿莱格尔莱菲马代
Allassac,阿拉萨克
Allas-les-Mines,阿拉莱米内
Allas-Bocage,阿拉博卡格
Allain,阿兰
Alizay,阿利泽
Alixan,阿利克桑
Alise-Sainte-Reine,阿利斯圣兰
Alincthun,阿兰克坦
Algans,阿尔冈
Aldudes,阿尔迪代
Alçay,阿尔赛阿尔萨贝埃蒂叙纳雷特
Albignac,阿尔比尼亚克
Albepierre-Bredons,阿尔伯皮耶尔布雷东
Albas,阿尔巴
Alba-la-Romaine,阿尔巴拉罗曼
Alairac,阿莱拉克
Alaigne,阿莱涅
Ajoux,阿茹
Ajat,阿雅
Ajac,阿雅克
Aizy-Jouy,艾济茹伊
Aizenay,艾泽奈
Aize,艾兹
Aix-en-Othe,奥特地区艾克斯
Aix-en-Ergny,艾克斯昂埃尔尼
Aix,艾克斯
Aisonville-et-Bernoville,艾松维尔-贝诺维尔
Aisne,埃纳省
Aisey-sur-Seine,塞纳河畔艾塞
Airoux,艾鲁
Airon-Saint-Vaast,阿龙圣瓦斯特
Airon-Notre-Dame,阿龙诺特尔达姆
Airel,艾雷勒
Airan,艾朗
Airaines,艾赖讷
Ainhoa,艾诺阿
Ainhice,艾尼克蒙热洛
Ainharp,艾纳尔
Aincourt,安库尔
Aincille,安西耶
Ainay-le-Château,艾奈堡
Ain,安省
Aimargues,艾马尔格
Ailly-sur-Somme,索姆河畔阿伊
Ailly-sur-Noye,努瓦河畔阿伊
Ailly-le-Haut-Clocher,阿伊勒欧克洛谢
Ailleville,阿耶维尔
Aillant-sur-Milleron,米勒罗讷河畔阿扬
Aiguines,艾居伊纳
Aiguèze,艾盖兹
Aigues-Vives,艾格维沃
Aigues-Juntes,艾格然特
Aigrefeuille,艾格雷弗伊尔
Aigre,艾格尔
Aignes-et-Puypéroux,艾盖和皮伊佩鲁
Aignay-le-Duc,艾涅莱迪克
Aiglun,艾格兰
Aïcirits-Camou-Suhast,艾西里特康乌叙阿斯
Ahun,阿安
Ahuillé,奥伊莱
Ahetze,阿埃特兹
Ahaxe,阿阿克斯阿尔谢特巴斯卡桑
Aguessac,阿盖萨克
Agudelle,阿居代尔
Agris,阿格里
Agonges,阿贡热
Agonès,阿戈内
Agon-Coutainville,阿贡库坦维尔
Agny,阿尼
Agnos,阿尼奥
Agnières-en-Dévoluy,代沃吕伊地区阿尼埃
Agneaux,阿盖奥
Agey,阿热
Agassac,阿加萨克
Affieux,阿菲厄
Adissan,阿迪桑
Adinfer,阿丹弗
Adervielle-Pouchergues,阿代尔维耶尔普谢尔盖
Adast,阿达斯
Adamswiller,阿当斯维莱
Acy-Romance,阿西罗芒斯
Acy,阿西
Acquin-Westbécourt,阿克坎韦斯特贝库尔
Achiet-le-Petit,小阿谢
Achiet-le-Grand,大阿谢
Achicourt,阿希库尔
Acheville,阿舍维尔
Acheux-en-Vimeu,阿舍昂维默
Acheux-en-Amiénois,阿舍昂纳米耶努瓦
Accous,阿库斯
Abscon,阿普斯孔
Abriès,阿布列
Abrest,阿布雷斯
Abondant,阿邦当
Aboncourt-sur-Seille,塞尔河畔阿邦库尔
Ablon-sur-Seine,塞纳河畔阿布隆
Ablon,阿布隆
Ablis,阿布利
Ableiges,阿布莱热
Ablainzevelle,阿布兰泽韦尔
Ablaincourt-Pressoir,阿布兰库尔普雷苏瓦尔
Abjat-sur-Bandiat,邦迪阿河畔阿布雅
Abitain,阿比坦
Abeilhan,阿贝扬
Abbéville-la-Rivière,阿贝维尔拉里维埃
Abbécourt,阿贝库尔
Abbaretz,阿巴雷特
La Gorgue,拉戈尔格
Lagor,拉戈尔
La Gonterie-Boulouneix,拉贡特里耶布卢内
Lagnes,拉格
La Glacerie,镜城
La Geneytouse,拉热内图斯
La Gaude,拉戈德
La Garnache,拉加尔纳舍
Lagarde-sur-le-Né,莱-内河畔拉加尔德
Lagarde-Paréol,拉加尔代帕雷奥
Lagardelle-sur-Lèze,莱兹河畔拉加尔代尔
La Garde-Freinet,拉加尔代弗雷纳
La Garde-Adhémar,拉加尔德阿代马
La Frette-sur-Seine,塞纳河畔拉夫雷特
La Francheville,拉弗朗舍维尔
Lafrançaise,拉夫朗赛瑟
La Fosse-de-Tigné,拉福斯德蒂涅
La Forêt-Sainte-Croix,拉福雷桑特克鲁瓦
La Forêt-le-Roi,拉福雷勒鲁瓦
La Forêt-du-Temple,拉福雷迪唐普尔
La Forêt-de-Tessé,拉福雷德泰塞
La Flotte,拉夫洛特
La Feuillée,拉弗伊莱埃
La Ferté-sur-Chiers,希耶河畔拉费尔泰
La Ferté-Saint-Aubin,拉弗尔泰圣奥班
La Ferté-Milon,米隆堡
La Ferté-Macé,马塞堡
La Ferté-Imbault,拉弗尔泰伊姆博尔
La Ferté-Gaucher,戈謝堡
La Ferté-Alais,拉弗尔特阿莱
La Ferrière-aux-Étangs,拉弗尔里埃奥埃唐格
La Fère,拉费尔
La Faye,拉费埃
La Fare-en-Champsaur,尚普索地区拉法尔
Lafare,拉法尔
La Faloise,拉法卢瓦斯
La Douze,拉杜兹
La Destrousse,拉代斯特鲁斯
La Daguenière,拉达盖尼埃
La Cropte,拉克罗普特
La Croix-sur-Roudoule,鲁杜尔河畔拉克鲁瓦
Lacroix-Falgarde,拉克鲁瓦法尔加尔德
La Croix-aux-Mines,拉克鲁瓦奥米纳
La Cresse,拉克雷斯
Lacq,拉克
La Couyère,拉库伊埃尔
La Couvertoirade,拉库韦尔图瓦拉德
La Cour-Marigny,拉库马里尼
La Cornuaille,拉科尔尼艾尔
Lacommande,拉科芒德
La Cluse,拉克吕斯
La Chèvrerie,拉谢夫雷里耶
La Chevallerais,拉谢瓦勒赖
Chaux-Neuve,绍纳夫
La Chaux-du-Dombief,拉绍迪东比耶
La Chaussée-Saint-Victor,拉绍塞埃圣维克托
La Chaussaire,拉绍赛尔
La Châtre-Langlin,拉沙特尔朗格兰
La Châtre,拉沙特尔
La Châtaigneraie,拉沙泰格赖厄
La Chapelle-Thouarault,拉沙佩勒图阿罗尔
La Chapelle-sur-Oudon,乌东河畔拉沙佩勒
La Chapelle-sur-Oreuse,奥勒斯河畔拉沙佩勒
La Chapelle-sur-Aveyron,阿韦罗讷河畔拉沙佩勒
Lachapelle-sous-Gerberoy,拉沙佩尔苏热尔伯鲁瓦
La Chapelle-Saint-Sépulcre,拉沙佩勒圣塞皮尔克尔
La Chapelle-Saint-Mesmin,拉沙佩勒圣梅斯曼
La Chapelle-Saint-Laurian,拉沙佩勒圣洛里昂
La Chapelle-Saint-Laurent,拉沙佩勒聖洛朗
La Chapelle-Saint-Laud,拉沙佩勒圣洛
La Chapelle-Saint-Jean,拉沙佩勒圣让
La Chapelle-Saint-Florent,拉沙佩勒圣夫洛朗
La Chapelle-Rousselin,拉沙佩勒鲁瑟兰
La Chapelle-Réanville,拉沙佩勒雷昂维尔
La Chapelle-Palluau,拉沙佩勒帕吕奥
La Chapelle-Orthemale,拉沙佩勒奥尔泰马尔
La Chapelle-Onzerain,拉沙佩勒翁泽兰
La Chapelle-Montmoreau,拉沙佩勒蒙特莫罗
La Chapelle-Launay,拉沙佩勒洛奈
La Chapelle,拉沙佩勒格雷西尼亚克
Lachapelle-Graillouse,拉沙佩尔格赖卢斯
La Chapelle-Gonaguet,拉沙佩勒戈纳盖
La Chapelle-Glain,拉沙佩勒格兰
La Chapelle-Faucher,拉沙佩勒福谢
La Chapelle-en-Vexin,弗克桑地区拉沙佩勒
La Chapelle-en-Valgaudémar,瓦尔戈代马地区拉沙佩勒
La Chapelle-en-Serval,塞尔瓦地区拉沙佩勒
La Chapelle-en-Juger,瑞热地区拉沙佩勒
La Chapelle-Engerbold,拉沙佩勒昂热尔博尔
La Chapelle-du-Bard,拉沙佩勒迪巴尔
La Chapelle-des-Pots,拉沙佩勒代波特
La Chapelle-Chaussée,拉沙佩勒绍塞埃
La Chapelle-Baloue,拉沙佩勒巴卢埃
La Chapelle-Caro,拉沙佩勒卡罗
La Champenoise,拉尚庞瓦斯
La Chaize-le-Vicomte,拉谢泽勒维孔特
La Chaize-Giraud,拉谢泽吉罗
La Chaise-Dieu,拉谢斯德约
La Celle-sur-Loire,卢瓦尔河畔拉塞尔
La Celle-Saint-Avant,拉塞尔圣阿旺
La Celle-Dunoise,拉塞尔丹瓦斯
La Cavalerie,拉卡瓦勒里耶
La Cauchie,拉科希
La Cassagne,拉卡萨尼
Lacarry,拉卡尔里-阿朗-沙尔里特德奥
Lacapelle-Marival,拉卡佩尔马里瓦
La Capelle-lès-Boulogne,拉卡佩勒莱布洛涅
La Capelle,拉卡佩勒
Lacanau,拉卡诺
Lacalm,拉卡尔姆
Lacadée,拉卡代埃
La Cabanasse,拉卡巴纳斯
La Buxerette,拉比克塞雷特
Labruguière,拉布吕吉埃
La Bruffière,拉布吕菲埃
La Brillanne,拉布里朗
La Brigue,拉布里盖
La Bresse,拉布雷斯
La Bréole,拉布雷奥尔
La Breille-les-Pins,拉布雷尔莱潘
La Brée-les-Bains,拉布雷埃莱班
La Brède,拉布雷德
Labourse,拉布尔斯
Laboule,拉布尔
Labouheyre,拉布埃尔
La Bollène-Vésubie,拉博莱恩韦叙比耶
La Boissière-sur-Èvre,埃夫尔河畔拉布瓦西埃
Laboissière-en-Thelle,泰尔地区拉布瓦西埃
La Boissière-de-Montaigu,拉布瓦西埃德蒙泰居
La Boissière-du-Doré,拉布瓦西埃迪多雷
La Boisse,拉布瓦斯
La Bohalle,拉博阿尔
La Bloutière,拉布卢蒂埃
Lablachère,拉布拉谢尔
Labeuvrière,拉伯夫里耶尔
Labets,拉贝特比斯凯
La Berthenoux,拉贝尔唐乌
La Bernardière,拉贝尔纳尔迪埃
Labergement-Sainte-Marie,拉贝尔热芒圣玛丽
Labenne,拉邦
La Bégude-de-Mazenc,拉贝居德德马藏克
La Haute-Beaume,拉奥特博姆
Labbeville,拉布伯维尔
La Bazoge-Montpinçon,拉巴佐格蒙特潘松
Labatut-Rivière,拉巴蒂里维埃
Labatmale,拉巴特马尔
La Bâtie-Neuve,拉巴蒂耶纳夫
La Bastidonne,拉巴斯蒂多纳
Labastide-Villefranche,拉巴斯蒂德维莱夫朗克
Labastide-Saint-Pierre,拉巴斯蒂德圣皮耶尔勒
La Bastide-Puylaurent,拉巴斯蒂德皮伊洛朗
La Bastide-des-Jourdans,拉巴斯蒂代代茹尔当
La Bastide-de-Sérou,拉巴斯蒂德德塞鲁
La Bastide-Clairence,拉巴斯蒂德克莱朗克
Labastide-Cézéracq,拉巴斯蒂德塞泽拉
Labastide-Castel-Amouroux,拉巴斯蒂德卡斯泰阿穆鲁
La Bassée,拉巴塞
Labarthe-sur-Lèze,莱兹河畔拉巴尔特
Labarthe-Rivière,拉巴尔特里维埃
La Barre-de-Semilly,拉巴尔德瑟米利
La Baroche-sous-Lucé,拉巴罗克苏吕塞
Labaroche,拉巴罗克
La Barben,拉巴邦
La Balme-les-Grottes,拉巴尔姆莱格罗泰
Labalme,拉巴尔姆
La Bachellerie,拉巴谢勒里耶
Laàs,拉阿
Laà-Mondrans,拉阿蒙德朗
Kunheim,屈南
Kruth,克吕
Knœringue,克诺埃兰盖
Kintzheim,坎特赞
Kilstett,基尔斯泰
Kientzheim,基安特赞
Kervignac,凯尔维尼亚克
Kernouës,凯尔努厄
Kernascléden,凯尔纳斯克莱当
Kerlouan,凯尔卢昂
Kerlaz,凯尔拉
Kergrist-Moëlou,凯尔格里斯莫厄卢
Kergrist,凯尔格里斯
Kergloff,凯尔格洛
Kembs,康布
La Tour-sur-Orb,奥尔河畔拉图
La Tourlandry,拉图尔朗德里
La Tourette-Cabardès,拉图雷特卡巴尔代
La Tour-du-Crieu,拉图迪克里厄
Latour-de-Carol,拉图德卡罗
La Tour-Blanche,拉图布朗克
Latillé,拉蒂勒
Lathus-Saint-Rémy,拉蒂圣雷米
La Tessoualle,拉泰苏阿尔
La Tardière,拉塔尔迪埃
Lastours,拉斯图尔
Lassouts,拉苏特
Lasseube,拉瑟布
Lassay-les-Châteaux,拉赛莱沙托
La Souterraine,拉苏泰尔兰
La Selle-sur-le-Bied,莱-比耶河畔拉塞尔
La Séguinière,拉塞吉尼埃
Lasclaveries,拉斯克拉韦里耶
La Salvetat-sur-Agout,阿古河畔拉萨尔韦塔
La Salvetat-Saint-Gilles,拉萨尔韦塔圣吉莱
La Salle-et-Chapelle-Aubry,拉萨尔和沙佩莱-奥布里
La Salle-de-Vihiers,拉萨尔德维耶尔
La Salle-les-Alpes,拉萨尔莱阿尔佩
Laruns,拉兰
Larribar,拉尔里巴索拉皮吕
Larressingle,拉尔雷桑格尔
Larrau,拉尔罗
La Roquette-sur-Var,瓦河畔拉罗屈埃特
Laroque-Timbaut,拉罗克坦博
La Roque-sur-Pernes,佩尔纳河畔拉罗屈厄
La Roque-Sainte-Marguerite,拉罗屈埃圣马尔盖里特
La Roque-Gageac,拉罗屈埃加雅克
Laroque-de-Fa,拉罗屈埃德法
La Roque-Baignard,拉罗屈埃拜尼亚尔
La Roque-Alric,拉罗屈厄阿尔里
La Romieu,拉罗米厄
Laroin,拉鲁万
La Roche-Posay,拉罗舍波赛
La Roche-Guyon,拉罗舍居伊翁
La Rochegiron,拉罗谢吉龙
La Roche-de-Rame,拉罗克德朗
La Roche-Chalais,拉罗克沙莱
La Roche-Bernard,拉罗克贝尔纳尔
La Rochebeaucourt,拉罗谢博库尔和阿尔让坦
Larmor-Plage,拉尔莫普拉格
Larmor-Baden,拉尔莫巴当
La Riche,拉里什
La Ricamarie,拉里卡马里耶
Largentière,拉尔让蒂埃
La Renaudière,拉雷诺迪埃
La Remaudière,拉雷莫迪埃
Lardy,拉尔迪
Laragne-Montéglin,拉拉尼蒙泰格兰
Lapugnoy,拉皮尼瓦
Laprugne,拉普吕尼
Lapoutroie,拉普特鲁瓦
La Pouëze,拉普厄兹
La Postolle,拉波斯托尔
La Possonnière,拉波索尼埃
La Planche,拉普朗克
La Plaine-sur-Mer,滨海拉普兰
La Petite-Pierre,拉佩蒂特皮耶尔
La Péruse,拉佩吕斯
Laperrière-sur-Saône,索恩河畔拉佩尔里埃
La Pérouille,拉佩鲁伊尔
Laparade,拉帕拉德
Lapalud,拉帕吕
Lapalisse,拉帕利斯
Lanvollon,朗沃隆
Lanvénégen,朗韦内让
Lantosque,朗托斯屈埃
Lantheuil,朗特伊
Lantabat,朗塔巴
Lans-en-Vercors,韦尔科尔地区朗
Lanrodec,朗罗代克
Lanrivoaré,朗里沃阿雷
Lanrigan,朗里冈
Lanquais,朗屈艾
Lanouée,朗乌埃埃
Lanouaille,朗乌艾尔
La Norville,朗奥尔维尔
Lanneuffret,拉纳夫雷
Lanneplaà,拉内普拉阿
Lannédern,拉内代尔恩
Lannecaube,拉内科布
Lannéanou,拉内阿努
Lanne-en-Barétous,巴雷图地区朗
Lanildut,拉尼尔迪
Lanhouarneau,朗乌阿尔诺
Lanhélin,拉内兰
Languidic,朗吉迪克
Languevoisin-Quiquery,朗格瓦桑基凯里
Langueux,朗盖于
Langrune-sur-Mer,滨海朗格兰
Langourla,朗古尔拉
Langouet,朗古埃
Langonnet,朗戈内
Langolen,朗戈朗
Langoiran,朗瓜朗
Langogne,朗戈尼
Langoëlan,朗戈厄朗
Langensoultzbach,朗让苏尔特兹巴克
Langatte,朗加特
Lanfains,朗凡
Laneuville-sur-Meuse,默斯河畔拉纳维尔
La Neuville-sur-Essonne,埃松河畔拉纳维尔
La Neuville-lès-Wasigny,拉讷维尔-莱瓦西尼
La Neuville-en-Hez,埃地区拉纳维尔
La Neuveville-sous-Châtenois,拉纳沃维尔苏沙唐瓦
Landunvez,朗丹韦
Landudec,朗迪代克
Landudal,朗迪达
Landres,朗德雷
Landrecies,朗德勒西
Landivy,朗迪维
Landiras,朗迪拉
Landévennec,朗代韦内克
Landévant,朗代旺
Landerrouat,朗代尔鲁阿
Landeleau,朗代洛
Landéda,朗代达
Landéan,朗代昂
Landavran,朗达夫朗
Landaul,朗多
Lançon-Provence,朗松普罗旺斯
Lancieux,朗西厄
Lanas,拉纳
Lanarvily,拉纳尔维利
La Mure,拉米尔
Lampaul-Ploudalmézeau,朗波普卢达尔梅佐
Lampaul-Plouarzel,朗波普卢阿尔泽
La Motte-Feuilly,拉莫特弗伊利
Lamotte-Warfusée,拉莫特瓦尔菲塞
Lamotte-du-Rhône,拉莫特迪罗纳
La Motte-du-Caire,拉莫特迪凯尔
La Motte-Chalancon,拉莫特沙朗孔
Lamotte-Beuvron,拉莫特伯夫龙
Lamothe-Montravel,拉莫特蒙特拉韦
Lamorlaye,拉莫尔莱埃
Lamonzie,拉蒙齐耶圣马尔坦
Lamonzie-Montastruc,拉蒙齐耶蒙塔斯特吕克
Lamontgie,拉蒙特比耶
Lamongerie,拉蒙热里耶
La Ménitré,拉梅尼特雷
La Membrolle-sur-Longuenée,隆盖内埃河畔拉芒布罗尔
La Meignanne,拉梅尼昂
La Méaugon,拉梅奥贡
La Meauffe,拉莫夫
Lambres-lez-Douai,朗布尔莱杜埃
Lambesc,朗贝斯克
La Mazière-aux-Bons-Hommes,拉马齐埃奥-邦奥梅
Lamayou,拉迈乌
Lamastre,拉马斯特尔
La Martyre,拉马尔蒂尔
Lamarche-sur-Saône,索恩河畔拉马什
Lamanon,拉芒翁
La Mancellière-sur-Vire,维尔河畔拉芒塞利埃
La Madelaine-sous-Montreuil,拉马德兰苏蒙特勒伊
La Luzerne,拉吕泽尔恩
Lalouvesc,拉卢韦斯克
La Loupe,拉卢普
Lalonquette,拉隆屈埃特
La Longueville,拉隆格维尔
Lalongue,拉隆盖
La Londe-les-Maures,拉隆代勒莫勒
La Llagonne,拉拉贡
Lalinde,拉兰德
La Limouzinière,拉利穆齐尼埃
Lalbenque,拉尔邦屈埃
Lalaye,拉莱埃
La Lande-Patry,拉朗德帕特里
La Jumellière,拉瑞梅利埃
La Jonchère-Saint-Maurice,拉容谢勒圣莫里斯
La Jemaye,拉热迈埃
La Javie,拉雅维耶
La Jarrie,拉雅尔里耶
La Jarne,拉雅尔恩
Laize-la-Ville,莱兹拉维尔
Lailly-en-Val,瓦地区莱利
Laigneville,莱盖维尔
Laignelet,莱盖莱
Laifour,莱富尔
Lahourcade,洛尔卡德
Lahosse,洛斯
La Haye-du-Puits,拉艾埃迪皮伊特
La Haie-Fouassière,拉艾埃富阿西埃
La Guyonnière,拉居伊奥尼埃
Laguinge,拉吉恩格雷斯图埃
Lagruère,拉格吕埃尔
La Gripperie-Saint-Symphorien,拉格里珀里耶圣西姆福里安
La Grimaudière,拉格里莫迪埃
La Grée-Saint-Laurent,拉格雷埃圣洛朗
La Grave,拉格拉夫
Lagrasse,拉格拉斯
La Grande-Motte,拉格朗德默特
La Grand-Combe,拉格朗-孔布
Coimères,夸梅雷
Cognat-Lyonne,科尼亚利翁
Cognac-la-Forêt,科尼亚克拉福雷
Coglès,科格莱
Coëx,科厄
Cœuvres-et-Valsery,克夫尔瓦尔瑟里
Coësmes,科厄斯梅
Coat-Méal,科阿梅阿
Coarraze,科阿尔拉兹
Coaraze,科阿拉兹
Clugnat,克吕尼亚
Cléry-sur-Somme,索姆河畔克莱里
Cléry-Saint-André,克莱里圣昂德雷
