stefano cerioni,스테파노 체리오니,seutepano cerioni
fondi,폰디,pondi
formia,포르미아,poreumia
viareggio,비아레조,biarejo
gaeta,가에타,gaeta
agnone,아뇨네,anyone
seravezza,세라베차,serabeca
priverno,프리베르노,peuribereuno
prossedi,프로세디,peurosedi
italdesign giugiaro,이탈디자인 주지아로,italdijain jujiaro
decimomannu,데시모마누,desimomanu
pozzilli,포칠리,pocilri
roccagorga,로카고르가,rokagoreuga
sabaudia,사바우디아,sabaudia
ascrea,아스크레아,aseukeurea
accumoli,아쿠몰리,akumolri
elmas,엘마스,elmaseu
sezze,세체,sece
sermoneta,세르모네타,sereumoneta
sperlonga,스페를론가,seupereulronga
sonnino,손니노,sonnino
antrodoco,안트로도코,anteurodoko
amatrice,아마트리체,amateurice
thales alenia space,탈레스 알레니아 스페이스,talreseu alrenia seupeiseu
casperia,카스페리아,kaseuperia
monastir,모나스티르,monaseutireu
ultima cena,최후의 만찬,coehuyi mancan
casaprota,카사프로타,kasapeurota
ollastra,올라스트라,olraseuteura
sforza,스포르차가,seuporeucaga
terracina,테라치나,teracina
ventotene,벤토테네,bentotene
borbona,보르보나,boreubona
borgorose,보르고로세,boreugorose
cantalice,칸탈리체,kantalrice
futurismo,미래주의,miraejuyi
cento,첸토,cento
cittaducale,치타두칼레,citadukalre
cittareale,치타레알레,citarealre
merano,메라노,merano
contigliano,콘틸리아노,kontilriano
configni,콘피니,konpini
cottanello,코타넬로,kotanelro
forano,포라노,porano
pula,풀라,pulra
collevecchio,콜레베키오,kolrebekio
collegiove,콜레조베,kolrejobe
concerviano,콘체르비아노,koncereubiano
derby di genova,데르비 델라 란테르나,dereubi delra rantereuna
marcetelli,마르체텔리,mareucetelri
micigliano,미칠리아노,micilriano
mompeo,몸페오,mompeo
pantheon,판테온,panteon
leonessa,레오네사,reonesa
libia italiana,이탈리아령 리비아,italriaryeong ribia
basilica palladiana,바실리카 팔라디아나,basilrika palradiana
cinisi,치니지,ciniji
suvereto,수베레토,subereto
cesenatico,체세나티코,cesenatiko
stadio giuseppe meazza,스타디오 주세페 메아차,seutadio jusepe meaca
arco,아르코,areuko
labro,라브로,rabeuro
greccio,그레초,geureco
montasola,몬타솔라,montasolra
farnese,파르네세,pareunese
nespolo,네스폴로,neseupolro
zagarolo,차가롤로,cagarolro
montebuono,몬테부오노,montebuono
pescorocchiano,페스코로키아노,peseukorokiano
monteflavio,몬테플라비오,montepeulrabio
orvinio,오르비니오,oreubinio
posta,포스타,poseuta
rivodutri,리보두트리,riboduteuri
ardara,아르다라,areudara
branzi,브란치,beuranci
panavia tornado,파나비아 토네이도,panabia toneido
salisano,살리사노,salrisano
roccantica,로칸티카,rokantika
scandriglia,스칸드릴리아,seukandeurilria
vacone,바코네,bakone
turania,투라니아,turania
selci,셀치,selci
stimigliano,스티밀리아노,seutimilriano
toffia,토피아,topia
tarano,타라노,tarano
tirolo,티롤,tirol
alitalia,알리탈리아,alritalria
bibbona,비보나,bibona
carpi,카르피,kareupi
capoliveri,카폴리베리,kapolriberi
trenitalia,트렌이탈리아,teurenitalria
portofino,포르토피노,poreutopino
collesalvetti,콜레살베티,kolresalbeti
marciana,마르차나,mareucana
cecina,체치나,cecina
sant'antioco,산안티오카섬,sanantiokaseom
cefalù,체팔루,cepalru
maranello,마라넬로,maranelro
piombino,피옴비노,piombino
portoferraio,포르토페라이오,poreutoperaio
martis,마르티스,mareutiseu
diesel,디젤,dijel
sassetta,사세타,saseta
albenga,알벤가,albenga
affile,아필레,apilre
rothschild,로스차일드가,roseucaildeuga
acquapendente,아콰펜덴테,akwapendente
via dell'ambra,호박의 길,hobagyi gil
bagnoregio,바뇨레조,banyorejo
arbus,아르부스,areubuseu
bomarzo,보마르초,bomareuco
bolsena,볼세나,bolsena
tivoli,티볼리,tibolri
agosta,아고스타,agoseuta
blera,블레라,beulrera
allumiere,알루미에레,alrumiere
anzio,안치오,ancio
calcata,칼카타,kalkata
ardea,아르데아,areudea
canepina,카네피나,kanepina
canino,카니노,kanino
cappuccino,카푸치노,kapucino
ariccia,아리차,arica
arsoli,아르솔리,areusolri
bellegra,벨레그라,belregeura
artena,아르테나,areutena
carbognano,카르보냐노,kareubonyano
friuli,프리울리,peuriulri
stadio olimpico,스타디오 올림피코,seutadio olrimpiko
capodimonte,카포디몬테,kapodimonte
capranica,카프라니카,kapeuranika
canterano,칸테라노,kanterano
capena,카페나,kapena
bracciano,브라차노,beuracano
caprarola,카프라롤라,kapeurarolra
sarzana,사르차나,sareucana
celleno,첼레노,celreno
cellere,첼레레,celrere
casape,카사페,kasape
ciampino,참피노,campino
cerveteri,체르베테리,cereubeteri
gallese,갈레세,galrese
gradoli,그라돌리,geuradolri
corchiano,코르키아노,koreukiano
graffignano,그라피냐노,geurapinyano
faleria,팔레리아,palreria
ciciliano,치칠리아노,cicilriano
air dolomiti,에어 돌로미티,eeo dolromiti
civitavecchia,치비타베키아,cibitabekia
gerano,제라노,jerano
gorga,고르가,goreuga
baia,바이아이,baiai
sestiere,세스티에레,seseutiere
procuratie,프로쿠라티에,peurokuratie
agustawestland,아구스타웨스틀랜드,aguseutaweseuteulraendeu
formello,포르멜로,poreumelro
ansaldo,안살도,ansaldo
genazzano,제나차노,jenacano
gavignano,가비냐노,gabinyano
alghero,알게로,algero
canale d'otranto,오트란토 해협,oteuranto haehyeob
colleferro,콜레페로,kolrepero
colonna,콜론나,kolronna
filacciano,필라차노,pilracano
grottaferrata,그로타페라타,geurotaperata
bitti,비티,biti
ladispoli,라디스폴리,radiseupolri
labico,라비코,rabiko
lariano,라리아노,rariano
lanuvio,라누비오,ranubio
jenne,옌네,yenne
bortigali,보르티갈리,boreutigalri
lupa capitolina,카피톨리나 늑대상,kapitolrina neugdaesang
fidenza,피덴차,pidenca
coppa italia,코파 이탈리아,kopa italria
aceto balsamico,발사믹 식초,balsamig sigco
mortadella,모르타델라,moreutadelra
scuderia ferrari,스쿠데리아 페라리,seukuderia perari
manziana,만치아나,manciana
licenza,리첸차,ricenca
campo marzio,캄푸스 마르티우스,kampuseu mareutiuseu
mandela,만델라,mandelra
marcellina,마르첼리나,mareucelrina
marino,마리노,marino
montelibretti,몬텔리브레티,montelribeureti
monterotondo,몬테로톤도,monterotondo
moricone,모리코네,morikone
mentana,멘타나,mentana
montelanico,몬텔라니코,montelraniko
'ndrangheta,드랑게타,deuranggeta
morlupo,모를루포,moreulrupo
palestrina,팔레스트리나,palreseuteurina
nemi,네미,nemi
nerola,네롤라,nerolra
nazzano,나차노,nacano
de tomaso,드 토마소,deu tomaso
nettuno,네투노,netuno
pisoniano,피소니아노,pisoniano
poli,폴리,polri
pomezia,포메치아,pomecia
ferrovia torinomilano,토리노밀라노 철도,torinomilrano ceoldo
percile,페르칠레,pereucilre
riano,리아노,riano
riofreddo,리오프레도,riopeuredo
dossena,도세나,dosena
sacrofano,사크로파노,sakeuropano
roccagiovine,로카조비네,rokajobine
roiate,로이아테,roiate
roviano,로비아노,robiano
sambuci,삼부치,sambuci
gandino,간디노,gandino
castell'azzara,카스텔라차라,kaseutelracara
sant'oreste,산토레스테,santoreseute
cuma,쿠마에,kumae
saracinesco,사라치네스코,saracineseuko
montefiascone,몬테피아스코네,montepiaseukone
marta,마르타,mareuta
lubriano,루브리아노,rubeuriano
montevago,몬테바고,montebago
licata,리카타,rikata
vallinfreda,발린프레다,balrinpeureda
vallepietra,발레피에트라,balrepieteura
valmontone,발몬토네,balmontone
repubblica romana,로마 공화국,roma gonghwagug
subiaco,수비아코,subiako
segni,세니,seni
naro,나로,naro
tolfa,톨파,tolpa
leffe,레페,repe
orte,오르테,oreute
lupara,루파라,rupara
vicovaro,비코바로,bikobaro
nepi,네피,nepi
onano,오나노,onano
stracchino,스트라키노,seuteurakino
via traiana,트라이아나 가도,teuraiana gado
realmonte,레알몬테,realmonte
lucito,루치토,rucito
proceno,프로체노,peuroceno
piansano,피안사노,piansano
ronciglione,론칠리오네,roncilrione
sciacca,시아카,siaka
gianicolo,자니콜로,janikolro
mozzo,모초,moco
cave,카베,kabe
sutri,수트리,suteuri
il volo,일 볼로,il bolro
bellagio,벨라조,belrajo
intimissimi,인티미시미,intimisimi
isole eolie,에올리에 제도,eolrie jedo
gucci,구찌,gujji
david,다비드,dabideu
tessennano,테센나노,tesennano
tarquinia,타르퀴니아,tareukwinia
corriere della sera,코리에레 델라 세라,koriere delra sera
canal grande,카날 그란데,kanal geurande
vallerano,발레라노,balrerano
vasanello,바사넬로,basanelro
valentano,발렌타노,balrentano
tuscania,투스카니아,tuseukania
vejano,베야노,beyano
foro romano,포룸 로마눔,porum romanum
vetralla,베트랄라,beteuralra
vignanello,비냐넬로,binyanelro
vitorchiano,비토르키아노,bitoreukiano
sillano,실라노,silrano
camorra,카모라,kamora
piazza navona,나보나 광장,nabona gwangjang
sannio,삼니움,samnium
gondola,곤돌라,gondolra
railjet,레일젯,reiljes
tesero,테세로,tesero
pesche,페스케,peseuke
loacker,로아케르,roakereu
romagna,로마냐,romanya
bressanone,브릭센,beurigsen
arzachena,아르차케나,areucakena
arcidosso,아르치도소,areucidoso
campagnatico,캄파냐티코,kampanyatiko
aqua iulia,아쿠아 율리아,akua yulria
capalbio,카팔비오,kapalbio
gavorrano,가보라노,gaborano
velletri,벨레트리,belreteuri
cinigiano,치니자노,cinijano
follonica,폴로니카,polronika
valgoglio,발고글리오,balgogeulrio
stadio san nicola,스타디오 산 니콜라,seutadio san nikolra
paestum,파에스툼,paeseutum
eurostar italia,에우로스타 이탈리아,euroseuta italria
palazzo ducale,두칼레 궁전,dukalre gungjeon
via appia,아피아 가도,apia gado
alba longa,알바 롱가,alba rongga
musei capitolini,카피톨리니 미술관,kapitolrini misulgwan
costa concordia,코스타 콘코르디아,koseuta konkoreudia
slow food,슬로 푸드,seulro pudeu
levanto,레반토,rebanto
gallerie dell'accademia,아카데미아 미술관,akademia misulgwan
pachino,파키노,pakino
brunico,브루네크,beurunekeu
cucina italiana,이탈리아 요리,italria yori
caltagirone,칼타지로네,kaltajirone
pordenone calcio,포르데노네 칼초,poreudenone kalco
caldes,칼데스,kaldeseu
aggius,아주스,ajuseu
agliana,알리아나,alriana
abetone,아베토네,abetone
comuni d'italia per popolazione,이탈리아의 인구순 도시 목록,italriayi ingusun dosi mogrog
frascati,프라스카티,peuraseukati
pampepato,판페파토,panpepato
cariddi,카리브디스,karibeudiseu
cutigliano,쿠틸리아노,kutilriano
lamporecchio,람포레키오,ramporekio
buggiano,부자노,bujano
prada,프라다,peurada
larciano,라르차노,rareucano
marliana,마를리아나,mareulriana
patti lateranensi,라테라노 조약,raterano joyag
brigate rosse,붉은 여단,bulgeun yeodan
montale,몬탈레,montalre
monete euro italiane,이탈리아의 유로 주화,italriayi yuro juhwa
pescia,페시아,pesia
bortigiadas,보르티지아다스,boreutijiadaseu
piteglio,피텔리오,pitelrio
vipiteno,비피테노,bipiteno
quarrata,콰라타,kwarata
airole,아이롤레,airolre
uzzano,우차노,ucano
nebbiolo,네비올로,nebiolro
pianura padana,포 계곡,po gyegog
mole antonelliana,몰레 안토넬리아나,molre antonelriana
marsala,마르살라,mareusalra
alcamo,알카모,alkamo
lira italiana,이탈리아 리라,italria rira
fila,휠라,hwilra
pantelleria,판텔레리아,pantelreria
fiamignano,피아미냐노,piaminyano
etruria,에트루리아,eteururia
corleone,코를레오네,koreulreone
lentini,렌티니,rentini
tirrenoadriatico,티레노아드리아티코,tirenoadeuriatiko
noto,노토,noto
sassofeltrio,사소펠트리오,sasopelteurio
mediaset,메디아셋,mediases
aldino,알디노,aldino
andriano,안드리안,andeurian
anterivo,안테리보,anteribo
chiavari,키아바리,kiabari
via flaminia,플라미니아 가도,peulraminia gado
brennero,브렌네로,beurennero
volterra,볼테라,boltera
barghe,바르게,bareuge
aeroporto di trevisosant'angelo,트레비소 산탄젤로 공항,teurebiso santanjelro gonghang
borno,보르노,boreuno
bordighera,보르디게라,boreudigera
aeronautica militare,이탈리아 공군,italria gonggun
ales,알레스,alreseu
palazzo strozzi,스트로치 궁전,seuteuroci gungjeon
piazzale loreto,로레토 광장,roreto gwangjang
dobbiaco,도비아코,dobiako
fontina,폰티나,pontina
domus flavia,플라비아 궁전,peulrabia gungjeon
occitania,옥시타니아,ogsitania
dello,델로,delro
aqua alsietina,아쿠아 알시에티나,akua alsietina
gavardo,가바르도,gabareudo
ghedi,게디,gedi
ponte rotto,로토 다리,roto dari
stadio friuli,스타디오 프리울리,seutadio peuriulri
ranzo,란초,ranco
istria,이스트라반도,iseuteurabando
rollerblade,롤러블레이드,rolreobeulreideu
ponte pietra,피에트라 교,pieteura gyo
idro,이드로,ideuro
mestre,메스트레,meseuteure
arena di verona,아레나 디 베로나,arena di berona
arena,아레나,arena
ferrero,페레로,perero
seborga,세보르가,seboreuga
vasia,바시아,basia
luigi lavazza,루이지 라바짜,ruiji rabajja
comitati olimpici europei,유럽 올림픽 위원회,yureob olrimpig wiweonhoe
vessalico,베살리코,besalriko
ponte santa trinita,산타 트리니타 다리,santa teurinita dari
corona ferrea,랑고바르드의 철관,ranggobareudeuyi ceolgwan
gelato napoletano,나폴리 아이스크림,napolri aiseukeurim
primavera,봄,bom
via salaria,살라리아 가도,salraria gado
obelisco lateranense,라테라노 오벨리스크,raterano obelriseukeu
stabia,스타비아에,seutabiae
reusch,로이쉬,roiswi
miu miu,미우 미우,miu miu
riomaggiore,리오마조레,riomajore
obelisco flaminio,플라미니오 오벨리스크,peulraminio obelriseukeu
benevento calcio,베네벤토 칼초,benebento kalco
strade europee,유럽 고속도로,yureob gosogdoro
valentino,발렌티노,balrentino
vernazza,베르나차,bereunaca
isole egadi,에가디 제도,egadi jedo
isole pelagie,펠라지에 제도,pelrajie jedo
rimini baseball club,리미니 베이스볼 클럽,rimini beiseubol keulreob
antemnae,안템나이,antemnai
enel,에넬,enel
stadio artemio franchi,스타디오 아르테미오 프란키,seutadio areutemio peuranki
andora,안도라,andora
stadio marcantonio bentegodi,스타디오 마르칸토니오 벤테고디,seutadio mareukantonio bentegodi
biblioteca nazionale marciana,국립 마르차나 도서관,gugrib mareucana doseogwan
italia nordorientale,이탈리아 북동부,italria bugdongbu
denominazione di origine controllata,데노미나치오네 디 오리지네 콘트롤라타,denominacione di orijine konteurolrata
rayban,레이밴,reibaen
loggia rucellai,로자 루첼라이,roja rucelrai
dego,데고,dego
via sacra,비아 사크라,bia sakeura
minestrone,미네스트로네,mineseuteurone
loano,로아노,roano
palazzo davanzati,다반차티 궁전,dabancati gungjeon
moschino,모스키노,moseukino
sfogliatella,스폴리아텔라,seupolriatelra
pizza napoletana,나폴리 피자,napolri pija
dialetto algherese,알게로 방언,algero bangeon
rialto,리알토,rialto
villa adriana,빌라 아드리아나,bilra adeuriana
gangi,간지,ganji
stadio pier luigi penzo,스타디오 피에르 루이지 펜초,seutadio piereu ruiji penco
comune,코무네,komune
villa d'este,빌라 데스테,bilra deseute
cosmoskymed,코스모스카이메드,koseumoseukaimedeu
stadio luigi ferraris,스타디오 루이지 페라리스,seutadio ruiji perariseu
ducati,두카티,dukati
eleavelia,벨리아,belria
cinque terre,친퀘 테레,cinkwe tere
borsalino,보르살리노,boreusalrino
baranello,바라넬로,baranelro
bojano,보야노,boyano
bonefro,보네프로,bonepeuro
gonzaga,곤차가가,goncagaga
busso,부소,buso
campochiaro,캄포키아로,kampokiaro
campolieto,캄폴리에토,kampolrieto
campodipietra,캄포디피에트라,kampodipieteura
campomarino,캄포마리노,kampomarino
villa almerico capra,빌라 알메리코 카프라,bilra almeriko kapeura
villa romana del casale,빌라 로마나 델 카살레,bilra romana del kasalre
padania,파다니아,padania
castelbottaccio,카스텔보타초,kaseutelbotaco
casalciprano,카살치프라노,kasalcipeurano
casacalenda,카사칼렌다,kasakalrenda
castelmauro,카스텔마우로,kaseutelmauro
castropignano,카스트로피냐노,kaseuteuropinyano
corniglia,코르닐리아,koreunilria
colletorto,콜레토르토,kolretoreuto
duronia,두로니아,duronia
ferrazzano,페라차노,peracano
fossalto,포살토,posalto
wind jet,윈드 제트,windeu jeteu
cercepiccola,체르체피콜라,cereucepikolra
cercemaggiore,체르체마조레,cereucemajore
civitacampomarano,치비타캄포마라노,cibitakampomarano
retignano,레티그나노,retigeunano
aqua virgo,아쿠아 비르고,akua bireugo
olivetti,올리베티,olribeti
chianti,키안티,kianti
tinetto,티네토섬,tinetoseom
rupe tarpea,타르페아 절벽,tareupea jeolbyeog
bulgari,불가리,bulgari
larino,라리노,rarino
limosano,리모사노,rimosano
mafalda,마팔다,mapalda
thurii,투리이,turii
guerra sociale,동맹시 전쟁,dongmaengsi jeonjaeng
prealpi luganesi,루가노 프레알프스,rugano peurealpeuseu
lega pro prima divisione,레가 프로 프리마 디비시오네,rega peuro peurima dibisione
stadio sant'elia,스타디오 산텔리아,seutadio santelria
montecilfone,몬테칠포네,montecilpone
montagano,몬타가노,montagano
gambatesa,감바테사,gambatesa
gildone,질도네,jildone
guardiaregia,구아르디아레자,guareudiareja
guardialfiera,구아르디알피에라,guareudialpiera
montelongo,몬텔론고,montelrongo
montemitro,몬테미트로,montemiteuro
matrice,마트리체,mateurice
stadio renato dall'ara,스타디오 레나토 달라라,seutadio renato dalrara
palmaria,팔마리아섬,palmariaseom
ca' pesaro,카 페사로,ka pesaro
molise,몰리세,molrise
beauharnais,보아르네가,boareunega
monacilioni,모나칠리오니,monacilrioni
zamperla,잠펠라,jampelra
palata,팔라타,palrata
oratino,오라티노,oratino
grotta azzurra,푸른 동굴,pureun donggul
battaglie dell'isonzo,이손초 전투,isonco jeontu
campi flegrei,캄피 플레그레이,kampi peulregeurei
acquedotto carolino,반비텔리 수도교,banbitelri sudogyo
petacciato,페타차토,petacato
cittaslow,치타슬로,citaseulro
raschera,라스케라,raseukera
villa borghese,빌라 보르게세,bilra boreugese
barilla,바릴라,barilra
loggia della signoria,로자 데이 란치,roja dei ranci
piaggio,피아지오,piajio
galleria borghese,보르게세 미술관,boreugese misulgwan
pietracupa,피에트라쿠파,pieteurakupa
provvidenti,프로비덴티,peurobidenti
portocannone,포르토칸노네,poreutokannone
ripalimosani,리팔리모사니,ripalrimosani
riccia,리차,rica
superga,수페르가,supereuga
euronext,유로넥스트,yuronegseuteu
rotello,로텔로,rotelro
roccavivara,로카비바라,rokabibara
salcito,살치토,salcito
stadio via del mare,스타디오 비아 델 마레,seutadio bia del mare
valtellina,발텔리나,baltelrina
stadio ennio tardini,스타디오 엔니오 타르디니,seutadio ennio tareudini
stadio angelo massimino,스타디오 안젤로 마시미노,seutadio anjelro masimino
caprera,카프레라,kapeurera
frosinone calcio,프로시노네 칼초,peurosinone kalco
basilica giulia,바실리카 율리아,basilrika yulria
acqua marcia,아쿠아 마르키아,akua mareukia
acquedotto alessandrino,아쿠아 알렉산드리나,akua alregsandeurina
acquedotto claudio,아쿠아 클라우디아,akua keulraudia
aperol,아페롤,aperol
segesta,세게스타,segeseuta
bernina express,베르니나 익스프레스,bereunina igseupeureseu
stone island,스톤 아일랜드,seuton ailraendeu
aeroporto di veneziamarco polo,베네치아 마르코 폴로 공항,benecia mareuko polro gonghang
aqua tepula,아쿠아 테풀라,akua tepulra
stadio armando picchi,스타디오 아르만도 피키,seutadio areumando piki
brioni,브리오니,beurioni
taleggio,탈레조,talrejo
selinunte,셀리눈테,selrinunte
bocconotto,보코노토,bokonoto
ara pacis,평화의 제단,pyeonghwayi jedan
carso,크라스,keuraseu
mura aureliane,아우렐리아누스 방벽,aurelrianuseu bangbyeog
lotto sport italia,로토 스포르트 이탈리아,roto seuporeuteu italria
campionato italiano di calcio,이탈리아 축구 리그 시스템,italria cuggu rigeu siseutem
derby d'italia,데르비 디탈리아,dereubi ditalria
calciopoli,칼초폴리,kalcopolri
aeroporto di baripalese,바리카롤 보이티와 공항,barikarol boitiwa gonghang
gewiss stadium,게비스 스타디움,gebiseu seutadium
biblioteca medicea laurenziana,메디체아 라우렌치아나 도서관,medicea raurenciana doseogwan
biblioteca riccardiana,리카르디 도서관,rikareudi doseogwan
operazione achse,악세 작전,agse jagjeon
scandalo lockheed,록히드 사건,roghideu sageon
alenia aermacchi,알레니아 아에르마키,alrenia aereumaki
economia d'italia,이탈리아의 경제,italriayi gyeongje
kamarina,카마리나,kamarina
bidone d'oro,비도네 도로,bidone doro
ca' foscari,카 포스카리,ka poseukari
sambuca,삼부카,sambuka
valtellina casera,발텔리나 카세라,baltelrina kasera
catenaccio,카테나치오,katenacio
derby di milano,데르비 델라 마돈니나,dereubi delra madonnina
caffè florian,카페 플로리안,kape peulrorian
cacciucco,카추코,kacuko
rete ferroviaria italiana,레테 페로비아리아 이탈리아나,rete perobiaria italriana
galleria palatina,팔라티나 미술관,palratina misulgwan
birra moretti,비라 모레티,bira moreti
pigazzano,피가차노,pigacano
trebbiano,트레비아노,teurebiano
asinara,아시나라섬,asinaraseom
legionari di cristo,그리스도의 레지오 수도회,geuriseudoyi rejio sudohoe
illycaffè,일리카페,ilrikape
ponte sant'angelo,산탄젤로 다리,santanjelro dari
prosecco,프로세코,peuroseko
kappa,카파,kapa
badia fiorentina,바디아 피오렌티나,badia piorentina
piazza san lorenzo,산 로렌초 광장,san rorenco gwangjang
piazza venezia,베네치아 광장,benecia gwangjang
esercito italiano,이탈리아 육군,italria yuggun
villa barbaro,빌라 바르바로,bilra bareubaro
italia centrale,이탈리아 중부,italria jungbu
ponte milvio,밀비오 다리,milbio dari
centostazioni,첸토스타치오니,centoseutacioni
francofonia,프랑스어권,peurangseueogweon
palazzo gondi,곤디 궁전,gondi gungjeon
amatriciana,아마트리차나,amateuricana
bitto,비토,bito
blue panorama airlines,블루 파노라마 항공,beulru panorama hanggong
borromeo,보로메오가,boromeoga
bottega veneta,보테가 베네타,botega beneta
frecce tricolori,프레체 트리콜로리,peurece teurikolrori
biblioteca ambrosiana,암브로시아나 도서관,ambeurosiana doseogwan
benetton,베네통,benetong
l'ulivo,올리브나무,olribeunamu
ca' d'oro,카 도로,ka doro
teatro olimpico,테아트로 올림피코,teateuro olrimpiko
piazza santa croce,산타 크로체 광장,santa keuroce gwangjang
palazzo grassi,그라시 궁전,geurasi gungjeon
fortitudo baseball bologna,포르티투도 베이스볼 볼로냐,poreutitudo beiseubol bolronya
costa crociere,코스타 크루즈,koseuta keurujeu
corridoio vasariano,바사리 회랑,basari hoerang
spedale degli innocenti,오스페달레 델리 인노첸티,oseupedalre delri innocenti
oplontis,오플론티스,opeulrontiseu
leonardo,레오나르도,reonareudo
crustumerium,크루스투에리움,keuruseutuerium
corriere dello sport  stadio,코리에레 델로 스포르트  스타디오,koriere delro seuporeuteu  seutadio
frazione,프라치오네,peuracione
aeroporto di romaciampino,로마 참피노 공항,roma campino gonghang
camposanto monumentale,캄포산토 모누멘탈레,kamposanto monumentalre
ferrovia romalido,로마리도 선,romarido seon
marina militare,이탈리아 해군,italria haegun
via della conciliazione,비아 델라 콘칠리아치오네,bia delra koncilriacione
breuilcervinia,브로이유체르비니아,beuroiyucereubinia
villa san michele,빌라 산 미켈레,bilra san mikelre
aeroporto di rimini,페데리코 펠리니 국제공항,pederiko pelrini gugjegonghang
l'unione,연합,yeonhab
villa foscari,빌라 포스카리,bilra poseukari
fortezza da basso,포르테차 다 바소,poreuteca da baso
casciotta d'urbino,카시오타 두르비노,kasiota dureubino
latium,라티움,ratium
poveglia,포베글리아,pobegeulria
lambrusco,람브루스코,rambeuruseuko
loggia del mercato nuovo,로자 델 메르카토 누오보,roja del mereukato nuobo
manarola,마나롤라,manarolra
castra praetoria,카스트라 프라이토리아,kaseuteura peuraitoria
peggy guggenheim collection,페기 구겐하임 컬렉션,pegi gugenhaim keolregsyeon
arsenale di venezia,아르세날레 디 베네치아,areusenalre di benecia
ca' loredan,카 로레단,ka roredan
cotechino modena,코테키노 모데나,kotekino modena
ca' rezzonico,카 레초니코,ka reconiko
mani pulite,마니 풀리테,mani pulrite
meridiana,메리디아나,meridiana
ca' vendramin calergi,카 벤드라민 칼레르지,ka bendeuramin kalrereuji
dallara,달라라,dalrara
operazione ladbroke,래드브로크 작전,raedeubeurokeu jagjeon
celio,첼리오,celrio
fendi,펜디,pendi
laurea,라우레아,raurea
alitalia express,알리탈리아 익스프레스,alritalria igseupeureseu
maresciallo d'italia,이탈리아 원수,italria weonsu
alitalia cityliner,알리탈리아 시티라이너,alritalria sitiraineo
funicolare comobrunate,푸니콜라레 코모브루나테,punikolrare komobeurunate
piazza bra,브라 광장,beura gwangjang
certosa di firenze,피렌체 카르투시오회 수도원,pirence kareutusiohoe sudoweon
arena opera festival,베로나 오페라 축제,berona opera cugje
biblioteca malatestiana,말라테스티아나 도서관,malrateseutiana doseogwan
metaponto,메타폰툼,metapontum
comitato olimpico nazionale italiano,이탈리아 국가 올림픽 위원회,italria gugga olrimpig wiweonhoe
unidroit,국제사법위원회,gugjesabeobwiweonhoe
moscato d'asti,모스카토 다스티,moseukato daseuti
parlamento italiano,이탈리아 의회,italria yihoe
galleria doria pamphilj,도리아 팜필리 미술관,doria pampilri misulgwan
diadora,디아도라,diadora
de'longhi,드롱기,deuronggi
operazione slapstick,슬랩스틱 작전,seulraebseutig jagjeon
trenord,트레노르드,teurenoreudeu
fincantieri,핀칸티에리,pinkantieri
sidereus nuncius,시데레우스 눈치우스,sidereuseu nunciuseu
arte italiana,이탈리아의 미술,italriayi misul
museo correr,코레르 박물관,korereu bagmulgwan
borsa italiana,보르사 이탈리아나,boreusa italriana
grana padano,그라나 파다노,geurana padano
luxottica,룩소티카,rugsotika
intesa sanpaolo,인테사 상파울로,intesa sangpaulro
coppa angloitaliana,코파 안글로이탈리아나,kopa angeulroitalriana
tod's,토즈,tojeu
monte sacro,몬테 사크로,monte sakeuro
dogado,도가도,dogado
fidenae,피데나이,pidenai
piazzale michelangelo,미켈란젤로 광장,mikelranjelro gwangjang
mapei stadium  città del tricolore,마페이 스타디움  치타 델 트리콜로레,mapei seutadium  cita del teurikolrore
malatesta,말라테스타가,malrateseutaga
internet governance forum,인터넷 거버넌스 포럼,inteones geobeoneonseu poreom
cappelle medicee,메디치 예배당,medici yebaedang
villa medici,빌라 메디치,bilra medici
alenia aeronautica,알레니아 아에로나우티카,alrenia aeronautika
saeculum obscurum,종교 암흑시대,jonggyo amheugsidae
erreà,에레아,erea
magneti marelli,마그네티 마렐리,mageuneti marelri
horti sallustiani,살루스티우스 정원,salruseutiuseu jeongweon
naufragio della costa concordia,코스타 콘코르디아 침몰 사고,koseuta konkoreudia cimmol sago
scale gemonie,게모니아이 계단,gemoniai gyedan
pecorino romano,페코리노 로마노,pekorino romano
etro,에트로,eteuro
isotta fraschini,이소타 프라스키니,isota peuraseukini
oto melara,오토 멜라라,oto melrara
pala d'oro,팔라 도로,palra doro
saturnia,사투르니아,satureunia
acquedotti di roma,로마의 수도교 목록,romayi sudogyo mogrog
trattoria,트라토리아,teuratoria
loro piana,로로 피아나,roro piana
missoni,미소니,misoni
montepulciano d'abruzzo,몬테풀치아노 다브루초,montepulciano dabeuruco
albizzi,알비치가,albiciga
fratelli d'italia,이탈리아의 형제들,italriayi hyeongjedeul
università ca' foscari venezia,카 포스카리 베네치아 대학교,ka poseukari benecia daehaggyo
operazione corkscrew,코르크스크루 작전,koreukeuseukeuru jagjeon
medaglia matteucci,마테우치 메달,mateuci medal
ala littoria,알라 리토리아,alra ritoria
moncler,몽클레르,mongkeulrereu
alpini,알피니,alpini
mosè,모세,mose
parmalat,파르마라트,pareumarateu
aeroporto di veronavillafranca,베로나 빌라프란카 공항,berona bilrapeuranka gonghang
federazione industria musicale italiana,이탈리아 음악 산업 협회,italria eumag saneob hyeobhoe
stadio paolo mazza,스타디오 파올로 마차,seutadio paolro maca
macron,마크론,makeuron
