vika jigulina,ヴィカ・ジグリーナ,vika・jigurīna
dragoș băjenaru,ドラゴシュ・ベジェナル,doragoshu・bejenaru
simion stoilov,シミオン・ストイロフ,shimion・sutoirofu
adrian matei,アドリアン・マテイ,adorian・matei
boris ștefanov,ボリス・ステファンコフ,borisu・sutefankofu
eugen sârbu,ウジェーヌ・サルブ,ujēnu・sarubu
ion aldea teodorovici,イオン・アルデア・テオドロヴィチ,ion・arudea・teodorovichi
ion c ciobanu,イオン・コンスタンティン・チョバヌ,ion・konsutantin・chobanu
aurelia cionca,アウレリア・シオンカ,aureria・shionka
vitali holostenco,ヴィタリ・ホロステンコ,vitari・horosutenko
daniel ciugureanu,ダニエル・チュグレアヌ,danieru・chugureanu
andrei șerban,アンドレイ・セルバン,andorei・seruban
ștefan câlția,シュテファン・クルツィア,shutefan・kurutsia
ștefan tapalagă,シュテファン・タパラガ,shutefan・taparaga
eva mozes kor,エヴァ・モーゼス・コー,eva・mōzesu・kō
iustin moisescu,ジャスティン・モイセスク,jasutin・moisesuku
elisabeta bostan,エリザベータ・ボスタン,erizabēta・bosutan
octav băncilă,オクタヴ・バンキラ,okutavu・bankira
egon balas,エゴン・バラス,egon・barasu
florin constantinovici,フローリン・コンスタンティノヴィチ,furōrin・konsutantinovichi
constantin popovici,コンスタンティン・ポポビッチ,konsutantin・popobitchi
dumitru mazilu,ドゥミトル・マジル,dumitoru・majiru
decebal traian remeș,デチェバル・トライアン・レメシュ,dechebaru・toraian・remeshu
victor rebengiuc,ヴィクトル・レベンギュウク,vikutoru・rebengyuuku
constantin argetoianu,コンスタンティン・アルジェトイアヌ,konsutantin・arujetoianu
mitiță constantinescu,ミティツァ・コンスタンティネスク,mititsa・konsutantinesuku
dan pița,ダン・ピッツァ,dan・pittsa
esthera petre,エステラ・ペトル,esutera・petoru
ramona mănescu,ラモーナ・マネスク,ramōna・manesuku
ted dumitru,テッド・デュミトル,teddo・dyumitoru
ilarion ionescugalați,フローリン・ヨネスガラツィ,furōrin・yonesugaratsi
ciprian manolescu,シプリアン・マノレスク,shipurian・manoresuku
corneliu mănescu,コルネリウ・マネスク,koruneriu・manesuku
corneliu vadim tudor,コルネリウ・ヴァディム・チューダー,koruneriu・vadimu・chūdā
dan negru,ダン・ネグル,dan・neguru
florin bratu,フロリン・ブラトゥ,furorin・buratu
gabriel brezoianu,ガブリエル・ブレゾヤヌ,gaburieru・burezoyanu
hariclea darclée,エリクレア・ダルクレー,erikurea・darukurē
gabi luncă,ガビ・ルンカ,gabi・runka
dan alexa,ダン・アレクサ,dan・arekusa
marius gherman,マリウス・ゲルマン,mariusu・geruman
celestina popa,セレスティナ・ポパ,seresutina・popa
eugen țurcanu,エウジェン・ツォルカーノ,eujen・tsorukāno
mișu popp,ミシュ・ポプ,mishu・popu
dana nălbaru,ダナ・ナバルバ,dana・nabaruba
george sabin cutaș,ジョルジェ・サビン・クタシュ,joruje・sabin・kutashu
cristi puiu,クリスティ・プイウ,kurisuti・puiu
cristian mandeal,クリスティアン・マンデアル,kurisutian・mandearu
adrian avrămia,エイドリアン・アヴラミア,eidorian・avuramia
dumitru stângaciu,ドゥミトル・ストゥンガチウ,dumitoru・sutungachiu
mihaela ciobanu,ミアエラ・シオバヌ,miaera・shiobanu
nicolae lupu,ニコラエ・ルプ,nikorae・rupu
george constantinescu,ジェオルジェ・コンスタンティネスク,jeoruje・konsutantinesuku
george banu,ジョルジュ・バニュ,joruju・banyu
georges de bellio,ジョルジュ・ド・ベリオ,joruju・do・berio
roxana cocoș,ロクサナダニエラ・ココス,rokusanadaniera・kokosu
grigore antipa,グリゴーレ・アンティパ,gurigōre・antipa
gabriel oprea,ガブリエル・オプレア,gaburieru・opurea
gabriel sîncrăian,ガブリエル・シンクレヤン,gaburieru・shinkureyan
gabriela mărginean,ガブリエラ・マルジネアン,gaburiera・marujinean
daniel carpo,ダニエル・カルポ,danieru・karupo
daniel dociu,ダニエル・ドシウ,danieru・doshiu
alexandru manta,アレクサンドル・マンタ,arekusandoru・manta
mircea mureșan,ミルチャ・ミュアサン,mirucha・myuasan
cătălin predoiu,カタリン・プレドユ,katarin・puredoyu
hugo luz,ウーゴ・ルス,ūgo・rusu
adrian ursu,アドリアン・ウルス,adorian・urusu
dem i dobrescu,デメトル・イオン・ドブレスク,demetoru・ion・doburesuku
tudorel stoica,トゥドレル・ストイカ,tudoreru・sutoika
eugen trică,エウジェン・トリカ,eujen・torika
dan constantinescu,ダン・コンスタンティネスク,dan・konsutantinesuku
radu muntean,ラドゥ・ムンテアン,radu・muntean
jacques hérold,ジャック・エロルド,jakku・erorudo
sabin ilie,サビン・イリエ,sabin・irie
octavian bellu,オクタヴィアン・ベル,okutavian・beru
ionuț botezatu,イオヌーツ・ボテザトゥ,ionūtsu・botezatu
dimitrie bogos,ディミトリ・ボゴス,dimitori・bogosu
dean beța,ディーン・ベシャ,dīn・besha
ionuț dimofte,イオヌツ・ディモフテ,ionutsu・dimofute
augustin buzura,オーガスティン・ブズラ,ōgasutin・buzura
sergiu nicolaescu,セルジウ・ニコラエスク,serujiu・nikoraesuku
john de chastelain,ジョン・ド・シャステレン,jon・do・shasuteren
mircea diaconu,ミルセア・ディアコヌ,mirusea・diakonu
jules perahim,ジュール・ペラヒム,jūru・perahimu
moses gaster,モーゼス・ガスター,mōzesu・gasutā
dumitru chipăruș,デメートル・シパリュス,demētoru・shiparyusu
albert saritov,アルベルト・サリトフ,aruberuto・saritofu
vasile voiculescu,ヴァスィーレ・ヴォイコレスク,vasīre・vuォikoresuku
raul cătinaș,ラウル・カティナス,rauru・katinasu
doru isac,アイザック・ドール,aizakku・dōru
doru popovici,ドル・ポポヴィッチ,doru・popovitchi
dida drăgan,ディダ・ドラガン,dida・doragan
dumitru fărcaș,ドゥミトル・ファルカシュ,dumitoru・farukashu
dumitru mitriță,ドゥミトル・ミトリツァ,dumitoru・mitoritsa
alexandru bârlădeanu,アレクサンドル・ブーラダーノ,arekusandoru・būradāno
dov seltzer,ダヴ・セルツァー,davu・serutsā
cristian nemescu,クリスティアン・ネメスク,kurisutian・nemesuku
mariana simionescu,マリアナ・シミオネスク,mariana・shimionesuku
maria tescanu rosetti,マリア・テスカヌ・ロゼッティ,maria・tesukanu・rozetti
nicolae densusianu,ニコラエ・デンスシアヌ,nikorae・densushianu
traian lalescu,トライアン・ラレスク,toraian・raresuku
eliezer berkovits,エリーザー・バーコヴィッツ,erīzā・bākovittsu
alex mihai stoenescu,アレックス・ミハイ・ストエネスク,arekkusu・mihai・sutoenesuku
dumitru coliu,ドミートル・コーリュウ,domītoru・kōryuu
alexandru vlahuță,アレクサンドル・ヴラフタ,arekusandoru・vurafuta
petre leșcenco,ピョートル・レスチェンコ,pyōtoru・resuchenko
dumitru tinu,ドミトル・ティヌ,domitoru・tinu
gheorghe asachi,ゲオルゲ・アサキ,georuge・asaki
alexandru baltagă,アレクサンドル・バルタガ,arekusandoru・barutaga
maurice solovine,モーリス・ソロヴィン,mōrisu・sorovin
mircea rădulescu,ミルチェア・ラドゥレスク,miruchea・raduresuku
norman manea,ノーマン・マネア,nōman・manea
mihnea gheorghiu,ミフネア・ゲオルギウ,mifunea・georugiu
csaba gal,チャバ・ガル,chaba・garu
daniel timofte,ダニエル・ティモフテ,danieru・timofute
alexis nour,アレクシス・ヌール,arekushisu・nūru
alexandru moșanu,アレクサンドル・モサヌ,arekusandoru・mosanu
tiberiu olah,ティベリウ・オラフ,tiberiu・orafu
eduard iordănescu,エドワード・ヨルダネスク,edowādo・yorudanesuku
robert austerlitz,ロバート・アウステリッツ,robāto・ausuterittsu
alin toșca,アリン・トシュカ,arin・toshuka
daniel pancu,ダニエル・パンク,danieru・panku
dumitru mitu,ドゥミトル・ミトゥ,dumitoru・mitu
elena postică,エレナ・ポスティカ,erena・posutika
paulică ion,イオン・パウリカ,ion・paurika
silviu brucan,シルビュ・ブルカン,shirubyu・burukan
kemal karpat,ケマル・カルパト,kemaru・karupato
ana guțu,アナ・グトゥ,ana・gutu
marius popa,マリウス・ポパ,mariusu・popa
mihail sturza,ミハイル・ストゥルザ,mihairu・suturuza
emil hoștină,エミール・ホスティナ,emīru・hosutina
andrea faciu,アンドレア・ファシウ,andorea・fashiu
eugen aburel,オイゲン・アブレル,oigen・abureru
pascal bentoiu,パスカル・ベントイウ,pasukaru・bentoiu
sorin copilul de aur,ソリン・コピルル・デ・アウル,sorin・kopiruru・de・auru
sorin socol,ソリン・ソコル,sorin・sokoru
andreea esca,アンドレエア・エスカ,andoreea・esuka
adrian sînă,エイドリアン・シーナ,eidorian・shīna
marian drăgulescu,マリアン・ドラグレスク,marian・doraguresuku
andrei boncea,アンドレイ・ボンカー,andorei・bonkā
alina gorghiu,アリーナ・ゴルギウ,arīna・gorugiu
ernest urdărianu,エルネスト・ウルダリアヌ,erunesuto・urudarianu
mircea baniciu,ミアーセア・バニシウ,miāsea・banishiu
mircea daneliuc,ミルチャ・ダネリウツ,mirucha・daneriutsu
olga nagy,ナジ・オルガ,naji・oruga
mircea drăgan,ミルセア・ドラガン,mirusea・doragan
anatol șalaru,アナトール・シャラル,anatōru・shararu
stelian burcea,ステリアン・ブルチェア,suterian・buruchea
vasile blaga,ヴァシレ・ブラガ,vashire・buraga
nicolae tonitza,ニコラエ・トニツァ,nikorae・tonitsa
teodor baconschi,テオドア・バコンスキ,teodoa・bakonsuki
teodor meleșcanu,テオドル・メレシュカーヌ,teodoru・mereshukānu
francisc șirato,フランチスク・シラト,furanchisuku・shirato
adrian minune,アドリアン・ミヌーネ,adorian・minūne
anamaria tămârjan,アナマリア・タマルジャン,anamaria・tamarujan
amos guttman,エイモス・グットマン,eimosu・guttoman
sandu eliad,サンドゥ・エリアド,sandu・eriado
miron constantinescu,ミロン・コンスタンティネスク,miron・konsutantinesuku
théodore brauner,テオドール・ブローネル,teodōru・burōneru
andrei lupan,アンドレイ・ルパン,andorei・rupan
virgil magherusan,ヴィルギル・マゲルサン,virugiru・magerusan
andreea bănică,アンドレエア・バニカ,andoreea・banika
vladimir ghica,ウラジミール・ギカ,urajimīru・gika
vladimir nemțeanu,ヴラディミール・ネメツヌー,vuradimīru・nemetsunū
ion oblemenco,ヨン・オブレメンコ,yon・oburemenko
steliana nistor,ステリアナ・ニストル,suteriana・nisutoru
elek köblös,エレク・ケブレス,ereku・keburesu
andreea doană,アンドレエア・ペレイ,andoreea・perei
ion flueraș,イオアン・フルワラーシュ,ioan・furuwarāshu
gabriel cotabiță,ガブリエル・コタビータ,gaburieru・kotabīta
aurel vernescu,オーレル・ヴェルネスク,ōreru・vuェrunesuku
alexandra dinu,アレクサンドラ・ディヌ,arekusandora・dinu
geo da silva,ジオ・ダ・シルバ,jio・da・shiruba
nicu paleru,ニチュ・パレル,nichu・pareru
francisc panet,フランチスク・パーネ,furanchisuku・pāne
andreea andrei,アンドレエア・アンドレイ,andoreea・andorei
ana bogdan,アナ・ボグダン,ana・bogudan
anton weissenbacher,アントン・ヴェイッセンバッケル,anton・vuェissenbakkeru
nikos barboudis,ニコス・バルブディス,nikosu・barubudisu
nicoleta luciu,ニコレッタ・ルシウ,nikoretta・rushiu
george scripcaru,ジョルジェ・スクリプカル,joruje・sukuripukaru
george burianu,ジョルジュ・ボウリアノ,joruju・bouriano
gabriel sudan,ガブリエル・スーダン,gaburieru・sūdan
dragoș bucur,ドラゴス・ブクル,doragosu・bukuru
horia creangă,ホーリャ・クレアンガ,hōrya・kureanga
nicolae martinescu,ニコラエ・マルティネスク,nikorae・marutinesuku
lucian bălan,ルチアン・バラン,ruchian・baran
nicolae zamfir,ニコラエ・ザムフィール,nikorae・zamufīru
oleg andronic,オレグ・アンドロニク,oregu・andoroniku
balint miklos,バリント・ミクロース,barinto・mikurōsu
gheorghe băgulescu,ジョルジェ・バグレスコ,joruje・baguresuko
nicolae ciupercă,ニコラエ・チュペルカ,nikorae・chuperuka
petre cristea,ペトレ・クリステア,petore・kurisutea
ovidiu raețchi,オヴィディウ・ライチ,ovidiu・raichi
daniel minea,ダニエル・ミネア,danieru・minea
bujor hălmăgeanu,ブジョル・ハルマゲアヌ,bujoru・harumageanu
valeriu munteanu,ヴァレリ・ムンテアヌ,vareri・munteanu
gheorghe ghimpu,ゲオルゲ・ギンプ,georuge・ginpu
paul einzig,ポール・アインツィヒ,pōru・aintsihi
laura cosoi,ローラ・コソイ,rōra・kosoi
paula kinikinilau,パウラ・キニキニラウ,paura・kinikinirau
pavel bartoș,パベル・バルトシュ,paberu・barutoshu
lászló barabási,バラバーシ・ラースロー,barabāshi・rāsurō
george copos,ゲオルゲ・コポス,georuge・koposu
grigore ion răceanu,グリゴーレ・イオン・ラチャーノ,gurigōre・ion・rachāno
petre borilă,ペトレ・ボリラ,petore・borira
cezar bolliac,チェーザル・ボリアック,chēzaru・boriakku
caius brediceanu,カイウス・ブレディツェアヌ,kaiusu・bureditseanu
mária berde,ベルデ・マーリア,berude・māria
gheorghe vasilichi,ゲオルゲ・ヴァスィリキ,georuge・vasiriki
bernard natan,ベルナール・ナタン,berunāru・natan
ciprian petre porumb,チプリアン・ペトレ・ポルンブ,chipurian・petore・porunbu
lászló borbély,ボールビー・ラースロー,bōrubī・rāsurō
adela popescu,アデラ・ポペスク,adera・popesuku
bartolomeu anania,バルトロメウ・アナニア,barutoromeu・anania
clement pălimaru,クレメント・パリマル,kuremento・parimaru
horațiu pungea,ホラツィウ・プンジェア,horatsiu・punjea
harry gottlieb,ハリー・ゴットリーブ,harī・gottorību
ștefan foriș,シュテファン・フォリシュ,shutefan・forishu
lucrețiu pătrășcanu,ルクレツィウ・パトラシュカヌ,rukuretsiu・patorashukanu
constantin antoniade,コンスタンティン・アントニアデ,konsutantin・antoniade
iuliana măceșeanu,イウリアナ・マチェシャヌ,iuriana・macheshanu
horia moculescu,ホリア・モクレスク,horia・mokuresuku
constantin vișoianu,コンスタンティン・ヴィショイアヌ,konsutantin・vishoianu
horia brenciu,ホリア・ブレンシウ,horia・burenshiu
horia agarici,ホリア・アガリチ,horia・agarichi
corneliu dragalina,コルネリウ・ドラガリナ,koruneriu・doragarina
radu timofte,ラドー・ティモフティエ,radō・timofutie
ion vinea,イオン・ヴィネア,ion・vinea
constantin schumacher,コンスタンティン・シューマッハ,konsutantin・shūmahha
cornelia druțu,コルネリア・デュルテュ,koruneria・dyurutyu
victoraș astafei,ビクトラス・アスタフェイ,bikutorasu・asutafei
radu florescu,ラドゥ・フロレスク,radu・furoresuku
anca țurcașiu,アンカ・トゥルカシウ,anka・turukashiu
roxana boamfă,ログザナ・ボアムファ,roguzana・boamufa
réka albert,レカ・アルバート,reka・arubāto
andreea raicu,アンドレエア・ライク,andoreea・raiku
andreea bibiri,アンドレエア・ビビリ,andoreea・bibiri
oleg mutu,オレグ・ムトゥ,oregu・mutu
cosmin mărginean,コスミン・マルジネアン,kosumin・marujinean
sabina măriuță,サビーナ・マリウタ,sabīna・mariuta
răzvan theodorescu,ラズヴァン・テオドレスキュー,razuvan・teodoresukyū
angel tîlvăr,エンジェル・ティルヴァー,enjeru・tiruvā
sandu tudor,サンド・トゥドル,sando・tudoru
petru cazacu,ペトル・カザク,petoru・kazaku
dan anghelescu,ダン・アンヘレスク,dan・anheresuku
ion nistor,イオン・ニストル,ion・nisutoru
ion pelivan,イオン・ペリバン,ion・periban
ion vințe,イオン・ヴィンスゼ,ion・vinsuze
sorin vlaicu,ソリン・ヴライク,sorin・vuraiku
stana izbașa,スタナ・イズバシャ,sutana・izubasha
ioanel sinescu,イオアネル・シネスク,ioaneru・shinesuku
ionut avram,マリウス・アヴラム,mariusu・avuramu
stere gulea,ステレ・グレア,sutere・gurea
dan diaconescu,ダン・ディアコネスク,dan・diakonesuku
aurel bulgariu,ブルガリウ・アウレル,burugariu・aureru
aurel cojan,アウレル・コージャン,aureru・kōjan
cătălin lichioiu,カタリン・リキオイユ,katarin・rikioiyu
cătălin mitulescu,カタリン・ミツレスク,katarin・mitsuresuku
aurel decei,アウレル・デチェイ,aureru・dechei
ernest broșteanu,エルネスト・ブロスティアヌ,erunesuto・burosutianu
teofil ioncu,テオフィル・ヨンク,teofiru・yonku
iurie colesnic,イウリエ・コレスニク,iurie・koresuniku
tora vasilescu,トーラ・ヴァシレスク,tōra・vashiresuku
iosif dan,ダン・ヨシフ,dan・yoshifu
alexandru potocean,アレクサンドル・ポトチェアン,arekusandoru・potochean
traian cihărean,トライアン・チハリアン,toraian・chiharian
tudor istodor,トゥドル・イストドル,tudoru・isutodoru
istrate micescu,イストラテ・ミツェスク,isutorate・mitsesuku
andra,アンドラ,andora
tudor postelnicu,トゥドル・ポステルニク,tudoru・posuteruniku
iulian arhire,ユリアン・アルヒレ,yurian・aruhire
herta anitaș,ヘルタ・アニタシュ,heruta・anitashu
horia hulubei,ホリア・フルベイ,horia・furubei
ion caramitru,イオン・カラミトル,ion・karamitoru
csaba kőrösi,コロシ・チャバ,koroshi・chaba
csaba ciugulitu,チャバ・シウグリトゥ,chaba・shiuguritu
vasile gafencu,ヴァシル・ガフェンス,vashiru・gafensu
florian coldea,フロリアン・コルディア,furorian・korudia
valentin rusu,ヴァリ・ヴィイェリエ,vari・viyerie
vlad ivanov,ヴラド・イヴァノフ,vurado・ivanofu
miron nicolescu,ミロン・ニコレスク,miron・nikoresuku
florica bagdasar,フロリカ・バグダサル,furorika・bagudasaru
vasile șoimaru,ヴァシレ・ソイマル,vashire・soimaru
cezar florin ouatu,フロリン・チェザル・オワトゥ,furorin・chezaru・owatu
laura codruța kövesi,ローラ・コドルツァ・コヴェシ,rōra・kodorutsa・kovuェshi
viorel hrebenciuc,ヴィオレル・フレベンチュク,vioreru・furebenchuku
camelia zorlescu,カメリア・ゾレスク,kameria・zoresuku
israel zinger,イスラエル・ジネガル,isuraeru・jinegaru
lea lexis,リー・レクシス,rī・rekushisu
cella delavrancea,チェラ・デラブランチャ,chera・deraburancha
liviu dragnea,リヴィウ・ドラグネア,riviu・doragunea
virgil măgureanu,ヴァージル・マグレアヌ,vājiru・magureanu
vitalia pavlicenco,ヴィタリア・パブリセンコ,vitaria・paburisenko
francisc pécsi,フランチスク・ペクシ,furanchisuku・pekushi
ősz jános,エース・ヤーノシュ,ēsu・yānoshu
lorena bogza,ロレナ・ボグザ,rorena・boguza
vladimir cristi,ウラジミール・クリスティ,urajimīru・kurisuti
virgil madgearu,ヴァージル・マジェール,vājiru・majēru
gabriel spahiu,ガブリエル・スパイユ,gaburieru・supaiyu
cazimir ionescu,カズィミール・イオネスク,kazimīru・ionesuku
zigu ornea,ジグ・オルネア,jigu・orunea
zsolt kosz,コス・ジョルト,kosu・joruto
gelu voican voiculescu,ジェル・ヴォイカン・ヴォイコレスク,jeru・vuォikan・vuォikoresuku
lothar rădăceanu,ロタル・ラダチェアヌ,rotaru・radacheanu
maria antonescu,マリア・アントネスク,maria・antonesuku
maria rosetti,マリア・ロゼッティ,maria・rozetti
ștefan stănculescu,シュテファン・スタンクレスク,shutefan・sutankuresuku
ștefan de la bărbulești,シュテファン・デ・ラ・バルブレシュティ,shutefan・de・ra・barubureshuti
teodora albon,テオドラ・アルボン,teodora・arubon
ștefan voitec,シュテファン・ヴォイテク,shutefan・vuォiteku
marian iancu,マリアン・ヤンク,marian・yanku
carmen șerban,カルメン・シェルバン,karumen・sheruban
george ivașcu,ジョージ・イヴァスク,jōji・ivasuku
irina loghin,イリーナ・ログン,irīna・rogun
márta károlyi,カーロイ・マールタ,kāroi・māruta
georgiana drumen,ジョージアナ・ドルメン,jōjiana・dorumen
constantin mișelăricu,コンスタンティン・ミシェリク,konsutantin・misheriku
matei pavel haiducu,マテイ・パベル・ハイドゥク,matei・paberu・haiduku
corina dănilă,コリーナ・ダニラ,korīna・danira
mihai cimpoi,ミハイ・チンポイ,mihai・chinpoi
francisc șimon,フランチスク・シモン,furanchisuku・shimon
mihai balan,ミハイ・バラン,mihai・baran
francisc nemeș,フランチスク・ネメシュ,furanchisuku・nemeshu
francisc zimmermann,フランチスク・ツィンメルマン,furanchisuku・tsinmeruman
max auschnitt,マックス・アウシュニット,makkusu・aushunitto
mihai morar,ミハイ・モラール,mihai・morāru
mihai pătrașcu,ミハイ・パトラシュク,mihai・patorashuku
mihail starenki,ミハイル・スタレンキ,mihairu・sutarenki
gheorghe săsărman,ギョルゲ・ササルマン,gyoruge・sasaruman
corvin radovici,コルヴィン・ラドヴィチ,koruvin・radovichi
ada condeescu,エイダ・コンディースク,eida・kondīsuku
lora,ロラ,rora
mihai șora,ミハイ・ショラ,mihai・shora
mihail stelescu,ミハイ・ステレスク,mihai・suteresuku
mihai stoica,ミハイ・ストイカ,mihai・sutoika
francisc cociș,フランチスク・コチシュ,furanchisuku・kochishu
costin georgescu,コスティン・ジョルジュク,kosutin・jorujuku
serafina moritz,セラフィナ・モーリツ,serafina・mōritsu
vasilicaviorica dăncilă,ヴィオリカ・ダンチラ,viorika・danchira
grigore nandriș,グリゴーレ・ナンドリシュ,gurigōre・nandorishu
adrian păduraru,エイドリアン・パーダル,eidorian・pādaru
adrian titieni,アドリアン・ティティエニ,adorian・titieni
gianu bucurescu,ジャヌ・ブクレスク,janu・bukuresuku
maria cârneci,マリア・カルネッチ,maria・karunetchi
manuela hărăbor,マヌエラ・ハラバー,manuera・harabā
william amorim,ウィリアム・アモリム,wiriamu・amorimu
alexandra bădoi,アレクサンドラ・バドイ,arekusandora・badoi
alexandra ungureanu,アレクサン・ドラウングレアヌ,arekusan・doraungureanu
călin vlasie,カリン・ヴラシエ,karin・vurashie
elena ilinoiu codreanu,エレナ・イリノイウ・コドレアヌ,erena・irinoiu・kodoreanu
ionuț badea,ヨヌツ・バデア,yonutsu・badea
maria gheorghiu,マリア・グオルギュー,maria・guorugyū
dinu sânmărtean,ディヌ・スンマルテアン,dinu・sunmarutean
marin barbu,マリン・バーブ,marin・bābu
alexandru darie,アレクサンドル・ダリー,arekusandoru・darī
dale băsescu,デイル・バセスク,deiru・basesuku
valentin sinescu,ヴァレンティン・シネスク,varentin・shinesuku
mariana mihuț,マリアナ・ミフット,mariana・mifutto
marian crișan,マリアン・クリサン,marian・kurisan
gheorghe țițeica,ゲオルゲ・ティツェイカ,georuge・titseika
marius bodochi,マリウス・ボドチ,mariusu・bodochi
smiley,スマイリー,sumairī
nicușor dan,ニクショル・ダン,nikushoru・dan
alexandru repan,アレクサンドル・レパン,arekusandoru・repan
jasmine black,ジャスミン・ブラック,jasumin・burakku
mihaela gabriela delcea,デルチャ・ミハエラ・ガブリエラ,derucha・mihaera・gaburiera
mihai bobocica,ミハイ・ボボチーカ,mihai・bobochīka
ilinca goia,イリンカ・ゴヤ,irinka・goya
francisc cocoș,フランチスク・ココシュ,furanchisuku・kokoshu
marta trancurainer,マルタ・レイナー,maruta・reinā
mihai constantinescu,ミハイ・コンスタンティネスク,mihai・konsutantinesuku
ioan moța,ヤン・モタ,yan・mota
doina aldea teodorovici,ドイナ・アルデア・テオドロヴィチ,doina・arudea・teodorovichi
mihai petre,ミハイ・ペトレ,mihai・petore
mihai tudose,ミハイ・トゥドセ,mihai・tudose
guccifer,グッチファー,gutchifā
alexandru papadopol,アレクサンドル・パパドポル,arekusandoru・papadoporu
sorin vieru,ソリン・ヴィエル,sorin・vieru
alexandru tomescu,アレクサンドル・トメスコウ,arekusandoru・tomesukou
minodora,ミノドーラ,minodōra
mitzura arghezi,ミツラ・アルゲジ,mitsura・arugeji
ion monoran,イオン・モノラン,ion・monoran
ovidiu savin,オヴィディウ・サヴィン,ovidiu・savin
bogdan dumitrache,ボグダン・ドゥミトラケ,bogudan・dumitorake
erlend krauser,エルレンド・クラウザー,erurendo・kurauzā
emil lassaria,エミール・ラッサリア,emīru・rassaria
ion traian ștefănescu,イオン・トライアン・ステファネスク,ion・toraian・sutefanesuku
nae caranfil,ナー・カランフィル,nā・karanfiru
simona pop,シモナ・ポップ,shimona・poppu
amna,アムナ,amuna
tudor caranfil,チューダー・カランフィル,chūdā・karanfiru
natașa raab,ナターシャ・ラーブ,natāsha・rābu
traian bratu,トライアン・ブラトゥ,toraian・buratu
aurora cornu,オーロラ・コルニュ,ōrora・korunyu
nelu ploieșteanu,ネル・プロイエスタエヌ,neru・puroiesutaenu
isidor sârbu,イシドール・サルブ,ishidōru・sarubu
valentin cojocaru,ヴァレンティン・コジョカル,varentin・kojokaru
iulian mincu,ユリアン・ミンク,yurian・minku
valeria seciu,ヴァレリア・セシウ,vareria・seshiu
iustin marchiș,ユスティン・マルキシュ,yusutin・marukishu
eugen chebac,エウゼン・チェバック,euzen・chebakku
daniel buzdugan,ダニエル・ブズゥガン,danieru・buzuゥgan
nicolae malaxa,ニコラエ・マラクサ,nikorae・marakusa
marius stan,マリウス・スタン,mariusu・sutan
andrian candu,アンドリアン・カンドゥ,andorian・kandu
cătălin carp,カタリン・カルプ,katarin・karupu
lia olguța vasilescu,リア・オルグツァ・バシレスク,ria・orugutsa・bashiresuku
mihnea constantinescu,ミフネア・コンスタンティネスク,mifunea・konsutantinesuku
andrei rădoi,アンドレイ・ラドイ,andorei・radoi
cornelia catangă,コルネリア・カタンガ,koruneria・katanga
octavian fodor,フォドル・オクタヴィアン,fodoru・okutavian
valentin popârlan,バレンティン・ポパルラン,barentin・poparuran
ionuț ursu,ヨヌツ・ウルス,yonutsu・urusu
victor socaciu,ビクター・ソカシウ,bikutā・sokashiu
anca damian,アンカ・ダミアン,anka・damian
paul bujor,ポール・ビュジョール,pōru・byujōru
poliana cristescu,ポリアナ・クリステスク,poriana・kurisutesuku
constantin pristăvița,コンスタンティン・プリスタヴィツァ,konsutantin・purisutavitsa
tudorița chidu,ツドリタ・キドウ,tsudorita・kidou
ionuț dumitru,イオヌツ・デュミトゥル,ionutsu・dyumituru
sorin dumitrescu,ソーリン・ドミトレスク,sōrin・domitoresuku
adrian fochi,アドリアン・フォキ,adorian・foki
cătălin ilea,カタリン・イレア,katarin・irea
eugen simion,エウゼン・シミオン,euzen・shimion
bogdan stanoevici,ボグダン・スタノエヴィッチ,bogudan・sutanoevitchi
șerban pavlu,サーバン・パブルー,sāban・paburū
șerban marinescu,セルバン・マリネスク,seruban・marinesuku
radu mironovici,ラドゥ・ミロノヴィッチ,radu・mironovitchi
ionel tudorache,イオネル・トゥドゥラチェ,ioneru・tudurache
theodor munteanu,テオドール・ムンテアヌ,teodōru・munteanu
aristide teică,アリスティド・テイカ,arisutido・teika
ștefan hepites,シュテファン・ヘピテス,shutefan・hepitesu
ion țurai,イオン・ジュライ,ion・jurai
anamaria prodan,アナマリア・プロダン,anamaria・purodan
mihai ungheanu,ミハイ・ウンゲアヌ,mihai・ungeanu
richard franasovici,リチャード・フランソヴィチ,richādo・furansovichi
eduardmichael grosu,エドワード・グロス,edowādo・gurosu
george homoștean,ジョルジェ・ホモシュタン,joruje・homoshutan
remus kofler,レムス・コフレー,remusu・kofurē
gheorghe vlăduțescu,ゲオルゲ・ヴラドゥシェスク,georuge・vuradushesuku
carmen galin,カルメン・ガリン,karumen・garin
răzvan rădulescu,ラズヴァン・ラドゥレスク,razuvan・raduresuku
mirela oprișor,ミレーラ・オプリショル,mirēra・opurishoru
oana orlea,オアナ・オルレア,oana・orurea
olimpia melinte,オリンピア・メリンテ,orinpia・merinte
maria ploae,マリア・フロエ,maria・furoe
carmen iohannis,カルメン・ヨハニス,karumen・yohanisu
gabriel marinescu,ガブリエル・マリネスク,gaburieru・marinesuku
andreea iridon,アンドレエア・イリドン,andoreea・iridon
mirela zeța,ミレラ・ゼッタ,mirera・zetta
gabriela firea,ガブリエラ・フィーラ,gaburiera・fīra
irina margareta nistor,イリーナ・マルガレータ・ニストル,irīna・marugarēta・nisutoru
albert kitzl,アルバート・キツル,arubāto・kitsuru
