angela,앙겔라,anggelra
haff,석호,seogho
ladenburg,라덴부르크,radenbureukeu
flughafen,뮌헨,mwinhen
münchen,뮌헨,mwinhen
petting,페팅,peting
volksparkstadion,폴크스파르크슈타디온,polkeuseupareukeusyutadion
börse,프랑크푸르트,peurangkeupureuteu
frankfurt,프랑크푸르트,peurangkeupureuteu
eurowings,유로윙스,yurowingseu
crytek,크라이텍,keuraiteg
wuppertaler,부퍼탈,bupeotal
schwebebahn,슈베베반,syubebeban
holstein,홀슈타인,holsyutain
nürburgring,뉘르부르크링,nwireubureukeuring
fernsehturm,텔레비전탑,telrebijeontab
bückeburg,뷔케부르크,bwikebureukeu
merck,머크,meokeu
kgaa,그룹,geurub
pangermanismus,범독일주의,beomdogiljuyi
brita,브리타,beurita
zeughaus,초이그하우스,coigeuhauseu
bundesnachrichtendienst,연방정보원,yeonbangjeongboweon
amoklauf,비넨덴,binenden
winnenden,총기,conggi
wendlingen,사건,sageon
staatsbibliothek,밤베르크,bambereukeu
abtei,네레스하임,nereseuhaim
neresheim,수도원,sudoweon
heubach,호이바흐,hoibaheu
kickers,키커스,kikeoseu
emden,엠덴,emden
telefunken,텔레풍켄,telrepungken
achern,아헤른,ahereun
reichswehrministerium,국가방위부,guggabangwibu
am,암,am
harz,하르츠,hareuceu
konz,콘츠,konceu
mözen,모젠,mojen
münchner,뮌헨,mwinhen
stadtderby,더비,deobi
filmfest,뮌헨,mwinhen
berlinbritz,브리츠,beuriceu
eckernförde,에케른푀르데,ekereunpoereude
rathenow,라테노,rateno
hennigsdorf,헤니히스도르프,henihiseudoreupeu
staedtler,스테들러,seutedeulreo
morgenpost,모르겐포스트,moreugenposeuteu
westdeutsche,베스트도이체,beseuteudoice
rendsburg,렌츠부르크,renceubureukeu
sachsenross,작센로스,jagsenroseu
seeheimjugenheim,제하임유겐하임,jehaimyugenhaim
rollei,롤라이,rolrai
swr,바덴바덴과,badenbadengwa
sinfonieorchester,프라이부르크,peuraibureukeu
freiburg,교향악단,gyohyangagdan
bayreuth,대학교,daehaggyo
filmpreis,영화상,yeonghwasang
erfurter,에르푸르트,ereupureuteu
focus,포쿠스,pokuseu
hotel,호텔,hotel
vechelde,페헬데,pehelde
nuklearer,핵무기,haegmugi
holocaust,홀로코스트,holrokoseuteu
baltische,발트,balteu
landeswehr,향토방위군,hyangtobangwigun
muspilli,무스필리,museupilri
lich,리히,rihi
heereswaffenamt,육군무기청,yuggunmugiceong
hamburg,함부르크,hambureukeu
international,국제항공,gugjehanggong
mathematisches,오버볼파흐,obeobolpaheu
forschungsinstitut,수학,suhag
franziskaner,작은형제회,jageunhyeongjehoe
kröpcke,크룁케,keuroebke
call,콜,kol
a,어,eo
bike,바이크,baikeu
happy,행복의,haengbogyi
science,과학,gwahag
rimowa,리모와,rimowa
plan,플랜,peulraen
luftwaffenamt,공군청,gonggunceong
köthen,쾨텐,koeten
neoplan,네오플란,neopeulran
centroliner,센트로라이너,senteuroraineo
streitbare,방어적,bangeojeog
demokratie,민주주의,minjujuyi
seebataillon,해상대대,haesangdaedae
wasserschutzpolizei,수상보호경찰,susangbohogyeongcal
dingo,딩고,dinggo
pictures,픽처스,pigceoseu
darmstadt,다름슈타트,dareumsyutateu
karlsruhe,카를스루에,kareulseurue
detmold,데트몰트,deteumolteu
mönchengladbach,묀헨글라트바흐,moenhengeulrateubaheu
reutlingen,로이틀링겐,roiteulringgen
rheine,라이네,raine
fußballoberliga,오버리가,obeoriga
ulmer,울름,ulreum
zweibrücken,츠바이브뤼켄,ceubaibeurwiken
ravensburg,라벤스부르크,rabenseubureukeu
rastatt,라슈타트,rasyutateu
altenburg,알텐부르크,altenbureukeu
naumburg,나움부르크,naumbureukeu
glyptothek,글립토테크,geulribtotekeu
grimms,그림,geurim
märchen,동화,donghwa
hanomag,하노마크,hanomakeu
montblanc,몽블랑,mongbeulrang
pariser,파리저,parijeo
platz,광장,gwangjang
nassau,나사우,nasau
bremerhaven,브레머하펜,beuremeohapen
oldenburg,올덴부르크,oldenbureukeu
erlangen,에를랑겐,ereulranggen
stolberg,슈톨베르크,syutolbereukeu
stralsund,슈트랄준트,syuteuraljunteu
wismar,비스마르,biseumareu
amberg,암베르크,ambereukeu
arte,아르테,areute
herrenberg,헤렌베르크,herenbereukeu
solingen,졸링겐,jolringgen
donauwörth,도나우뵈르트,donauboereuteu
bank,방크,bangkeu
paderborn,파더보른,padeoboreun
tübingen,튀빙겐,twibinggen
kleve,클레베,keulrebe
plauen,플라우엔,peulrauen
kölner,쾰른,koelreun
hof,호프,hopeu
norderney,노르더나이,noreudeonai
gemeinsame,게마인자메,gemainjame
normdatei,노름다타이,noreumdatai
regional,리저널,rijeoneol
märklin,메르클린,mereukeulrin
eishockey,아이스하키,aiseuhaki
liga,리가,riga
garmischpartenkirchen,가르미슈파르텐키르헨,gareumisyupareutenkireuhen
städelsches,슈테델,syutedel
kunstinstitut,미술관,misulgwan
millennium,밀레니엄,milrenieom
tower,타워,taweo
mecklenburg,메클렌부르크,mekeulrenbureukeu
europapark,유로파파크,yuropapakeu
artern,아르테른,areutereun
leipzig,라이프치히,raipeucihi
weserstadion,베저슈타디온,bejeosyutadion
geographie,독일의,dogilyi
deutschlands,지리,jiri
grünenthal,그뤼넨탈,geurwinental
rotweiss,로트바이스,roteubaiseu
westwall,지크프리트선,jikeupeuriteuseon
bertelsmann,베르텔스만,bereutelseuman
jüdisches,베를린,bereulrin
rotweiß,로트바이스,roteubaiseu
erfurt,에르푸르트,ereupureuteu
post,포스트,poseuteu
prosieben,프로지벤,peurojiben
internationales,국제,gugje
paralympisches,패럴림픽,paereolrimpig
komitee,위원회,wiweonhoe
göttingen,천문대,ceonmundae
steinheim,슈타인하임,syutainhaim
brabus,브라부스,beurabuseu
museumsinsel,박물관섬,bagmulgwanseom
tour,태양광,taeyanggwang
sol,경주대회,gyeongjudaehoe
vogelsberg,포겔스베르크산맥,pogelseubereukeusanmaeg
bayerisches,바이에른,baiereun
alpenvorland,산록지대,sanrogjidae
bad,바트,bateu
tölz,퇼츠,toelceu
frankfurtniederursel,니더우어젤,nideoueojel
justusliebiguniversität,기센,gisen
kissing,키싱,kising
reichspartei,국가당,guggadang
don,돈,don
karlos,카를로스,kareulroseu
enercon,에네르콘,enereukon
stuttgarter,슈투트가르트,syututeugareuteu
ballett,발레단,balredan
altenkirchen,알텐키르헨,altenkireuhen
anklam,앙클람,angkeulram
brest,브레스트,beureseuteu
meiningen,마이닝겐,maininggen
dingelstädt,딩겔슈테트,dinggelsyuteteu
ringbahn,순환선,sunhwanseon
tierpark,하겐베크,hagenbekeu
hagenbeck,동물원,dongmulweon
worldcon,월드콘,weoldeukon
sangerhausen,장거하우젠,janggeohaujen
illertissen,일러티센,ilreotisen
daimlerbenz,다임러벤츠,daimreobenceu
staatsangehörigkeit,국적법,gugjeogbeob
fh,뮌스터,mwinseuteo
stadthagen,슈타트하겐,syutateuhagen
airways,항공,hanggong
gelnhausen,겔른하우젠,gelreunhaujen
hersbruck,허스부르크,heoseubureukeu
beeskow,베스코,beseuko
escada,에스카다,eseukada
kempinski,켐핀스키,kempinseuki
qimonda,키몬다,kimonda
lexisnexis,렉시스,regsiseu
miniatur,미니어처,minieoceo
wunderland,분더란트,bundeoranteu
radio,라디오,radio
nationalpark,슐레스비히홀슈타인,syulreseubihiholsyutain
schleswigholsteinisches,바텐메어,batenmeeo
wattenmeer,국립공원,gugribgongweon
landespolizei,지방경찰,jibanggyeongcal
edeka,에데카,edeka
europaturm,유로파투름,yuropatureum
ostrach,오스트라흐,oseuteuraheu
recht,독일의,dogilyi
hapaglloyd,하파크로이트,hapakeuroiteu
gelbe,옐로,yelro
seiten,페이지,peiji
modern,모던,modeon
creation,크리에이션,keurieisyeon
dance,무용,muyong
gallia,갈리아,galria
comata,코마타,komata
operation,바시티,basiti
varsity,작전,jagjeon
feldheim,펠트하임,pelteuhaim
gaming,게이밍,geiming
deutschsüdkoreanische,한독,handog
beziehungen,관계,gwangye
flix,플릭스버스,peulrigseubeoseu
airbus,에어버스,eeobeoseu
defence,디펜스,dipenseu
and,앤드,aendeu
space,스페이스,seupeiseu
heilbronn,하일브론,hailbeuron
hemer,헤머,hemeo
halle,할레,halre
nürnberg,뉘른베르크,nwireunbereukeu
gladbeck,글라트베크,geulrateubekeu
rostock,로스토크,roseutokeu
dachau,다하우,dahau
piratenpartei,독일,dogil
adidas,아디다스,adidaseu
iserlohn,이절론,ijeolron
eschweiler,에슈바일러,esyubailreo
wesel,베젤,bejel
eberswalde,에베르스발데,ebereuseubalde
erzgebirge,에르츠산맥,ereuceusanmaeg
elmshorn,엘름스호른,elreumseuhoreun
stendal,슈텐달,syutendal
dresden,드레스덴,deureseuden
herne,헤르네,hereune
fehmarn,페마른섬,pemareunseom
hameln,하멜른,hamelreun
düren,뒤렌,dwiren
eisenhüttenstadt,아이젠휘텐슈타트,aijenhwitensyutateu
erding,에르딩,ereuding
kassel,카셀,kasel
wolfsburg,볼프스부르크,bolpeuseubureukeu
speyerer,슈파이어,syupaieo
bottrop,보트로프,boteuropeu
witten,비텐,biten
sandhausen,잔트하우젠,janteuhaujen
wilhelmshaven,빌헬름스하펜,bilhelreumseuhapen
rundfunk,베를린브란덴부르크,bereulrinbeurandenbureukeu
berlinbrandenburg,방송,bangsong
ruprechtkarlsuniversität,하이델베르크,haidelbereukeu
heidelberg,대학교,daehaggyo
hansa,한자,hanja
nuclear,뉴클리어,nyukeulrieo
blast,블래스트,beulraeseuteu
schlacht,휘르트겐,hwireuteugen
im,숲,sup
hürtgenwald,전투,jeontu
volksempfänger,국민라디오,gugminradio
messegelände,하노버,hanobeo
oberfranken,오버프랑켄현,obeopeurangkenhyeon
aue,아우에,aue
bundesverfassungsgericht,연방헌법재판소,yeonbangheonbeobjaepanso
freiberg,프라이베르크,peuraibereukeu
fallschirmjägertruppe,강하엽병,ganghayeobbyeong
lidl,리들,rideul
neue,노이에,noie
wache,바헤,bahe
ostdeutsche,오스트도이치,oseuteudoici
eisenbahn,철도,ceoldo
signal,지그날,jigeunal
iduna,이두나,iduna
park,파르크,pareukeu
eifel,아이펠,aipel
friedrichschilleruniversität,예나,yena
humboldtuniversität,베를린,bereulrin
zollkriminalamt,관세형사청,gwansehyeongsaceong
atomwaffensperrvertrag,핵확산방지조약,haeghwagsanbangjijoyag
volkswagen,폭스바겐,pogseubagen
ag,그룹,geurub
zähringer,체링겐가,ceringgenga
haribo,하리보,haribo
xanten,크산텐,keusanten
herrnhuter,모라비아,morabia
brüdergemeine,형제회,hyeongjehoe
kloster,마울브론,maulbeuron
maulbronn,수도원,sudoweon
rock,록,rog
ring,링,ring
scorpions,스콜피언스,seukolpieonseu
weimarer,바이마르,baimareu
verfassung,헌법,heonbeob
bundesbank,연방은행,yeonbangeunhaeng
air,에어,eeo
eurotower,유로타워,yurotaweo
burghausen,부르크하우젠,bureukeuhaujen
gamescom,게임스컴,geimseukeom
bitburg,비트부르크,biteubureukeu
konradadenauerstiftung,아데나워재단,adenaweojaedan
karneval,사육제,sayugje
unterhaching,운터하힝,unteohahing
lanxess,랑세스,rangseseu
arena,아레나,arena
warnemünde,바르네뮌데,bareunemwinde
heliotrop,헬리오트롭,helrioteurob
tamron,탐론,tamron
autobahn,아우토반,autoban
reiskirchen,라이스키르헨,raiseukireuhen
bayerischer,바이에른,baiereun
sinn,진,jin
kicker,키커,kikeo
wittenberge,비텐베르게,bitenbereuge
arnstadt,아른슈타트,areunsyutateu
st,구세주,guseju
salvator,교회,gyohoe
ablösungsrecht,대위변제,daewibyeonje
helmstadt,헬름슈타트,helreumsyutateu
kunstsammlung,노르트라인베스트팔렌,noreuteurainbeseuteupalren
nordrheinwestfalen,미술전시관,misuljeonsigwan
thalys,탈리스,talriseu
bischofsheim,비쇼프스하임,bisyopeuseuhaim
nördlingen,뇌르틀링겐,noereuteulringgen
oberkrämer,오베르크래머,obereukeuraemeo
verdienstorden,공로장,gongrojang
berenberg,베렌베르크,berenbereukeu
mainzer,마인츠,mainceu
film,영화,yeonghwa
marktl,마르크틀,mareukeuteul
jako,자코,jako
eintrachtstadion,아인트라흐트슈타디온,ainteuraheuteusyutadion
waldorf,발도르프,baldoreupeu
speicherstadt,슈파이허슈타트,syupaiheosyutateu
rostocklaage,공항,gonghang
researchgate,리서치게이트,riseocigeiteu
forschungsgemeinschaft,연구협회,yeonguhyeobhoe
trolli,트롤리,teurolri
nomos,노모스,nomoseu
glashütte,글라슈테,geulrasyute
reichsmarineamt,국가해군청,guggahaegunceong
setra,세트라,seteura
bundessicherheitsrat,연방안전보장평의회,yeonbanganjeonbojangpyeongyihoe
fachhochschule,응용학문대학,eungyonghagmundaehag
energiewirtschaft,에너지,eneoji
normalität,노멀,nomeol
biontech,바이온텍,baionteg
extinction,멸종에의,myeoljongeyi
rebellion,반란,banran
braunschweig,브라운슈바이크,beuraunsyubaikeu
schwerin,슈베린,syuberin
ostsee,발트해,balteuhae
flensburg,플렌스부르크,peulrenseubureukeu
torgau,토르가우,toreugau
krefeld,크레펠트,keurepelteu
sendenhorst,젠덴호르스트,jendenhoreuseuteu
dessauroßlau,데사우로슬라우,desauroseulrau
lüdenscheid,뤼덴샤이트,rwidensyaiteu
delmenhorst,델멘호르스트,delmenhoreuseuteu
neuss,노이스,noiseu
eintracht,아인트라흐트,ainteuraheuteu
gelsenkirchen,겔젠키르헨,geljenkireuhen
leverkusen,레버쿠젠,rebeokujen
worms,보름스,boreumseu
bodensee,보덴호,bodenho
offenburg,오펜부르크,openbureukeu
lüneburg,뤼네부르크,rwinebureukeu
neubrandenburg,노이브란덴부르크,noibeurandenbureukeu
greifswald,그라이프스발트,geuraipeuseubalteu
neuulm,노이울름,noiulreum
riesa,리자,rija
langenscheidt,랑엔샤이트,rangensyaiteu
bernburg,베른부르크,bereunbureukeu
siegburg,지크부르크,jikeubureukeu
ketsch,케치,keci
audi,아우디,audi
helicopters,헬리콥터,helrikobteo
documenta,도큐멘타,dokyumenta
fußballbundesliga,분데스리가,bundeseuriga
alemannia,알레마니아,alremania
kempten,켐프텐,kempeuten
herborn,헤르보른,hereuboreun
cherry,체리,ceri
mauser,마우저,maujeo
regnum,독일,dogil
teutonicum,왕국,wanggug
stuttgart,공항,gonghang
charité,샤리테,syarite
checkpoint,체크포인트,cekeupointeu
charlie,찰리,calri
küche,요리,yori
pommern,포메라니아,pomerania
commerzbank,코메르츠방크,komereuceubangkeu
einbeck,아인베크,ainbekeu
sigmaringen,지크마링겐,jikeumaringgen
puma,푸마,puma
vaalserberg,팔제르베르크,paljereubereukeu
philippsuniversität,마르부르크,mareubureukeu
marburg,대학교,daehaggyo
oberhausen,오버하우젠,obeohaujen
bayreuther,바이로이트,bairoiteu
festspiele,축제,cugje
zentrumspartei,중앙당,jungangdang
bundesarbeitsgericht,연방노동법원,yeonbangnodongbeobweon
gendarmenmarkt,잔다르멘마르크트,jandareumenmareukeuteu
fußballnationalmannschaft,여자,yeoja
frauen,국가대표팀,guggadaepyotim
ägyptisches,베를린,bereulrin
hauzenberg,하우첸베르크,haucenbereukeu
prüm,프륌,peurwim
fujitsu,후지쯔,hujijjeu
computers,컴퓨터스,keompyuteoseu
obersalzberg,오버잘츠베르크,obeojalceubereukeu
walhalla,발할라,balhalra
göllheim,괼하임,goelhaim
deep,딥,dib
silver,실버,silbeo
rugbybundesliga,럭비분데스리가,reogbibundeseuriga
greiz,그라이츠,geuraiceu
eutin,오이틴,oitin
alter,괴팅겐,goetinggen
botanischer,대학교,daehaggyo
garten,식물원,sigmulweon
demag,데마그,demageu
geisenheim,가이젠하임,gaijenhaim
südwestrundfunk,남서독일방송,namseodogilbangsong
knds,크라우스마파이,keurauseumapai
exzellenzinitiative,우수대학육성정책,usudaehagyugseongjeongcaeg
original,오리기날,original
emporis,엠포리스,emporiseu
ettal,에탈,etal
sportpark,슈포르트파르크,syuporeuteupareukeu
ronhof,론호프,ronhopeu
justizvollzugsanstalt,란츠베르크,ranceubereukeu
landsberg,교도소,gyodoso
schlosskirche,슐로스키르헤,syulroseukireuhe
kidsco,키즈코,kijeuko
tropical,트로피컬,teuropikeol
islands,아일랜즈,ailraenjeu
kaufhaus,카우프하우스,kaupeuhauseu
des,데스,deseu
westens,베스텐스,beseutenseu
rotring,로트링,roteuring
käthe,캐테,kaete
wohlfahrt,볼파르트,bolpareuteu
mystik,신비주의,sinbijuyi
erima,에리마,erima
herzogenaurach,헤르초게나우라흐,hereucogenauraheu
niederbarnimer,니더바르님,nideobareunim
preußische,독일,dogil
hauptkadettenanstalt,육군사관학교,yuggunsagwanhaggyo
gamesa,가메사,gamesa
techno,테크노,tekeuno
viking,바이킹,baiking
reisewarnung,여행경보,yeohaenggyeongbo
top,톱,tob
ten,텐,ten
club,클럽,keulreob
munich,뮌헨,mwinhen
school,스쿨,seukul
mastodon,마스토돈,maseutodon
ionity,아이오니티,aioniti
lippstadt,립슈타트,ribsyutateu
rügen,뤼겐섬,rwigenseom
mauer,장벽,jangbyeog
borgward,보그바르트,bogeubareuteu
bielefeld,빌레펠트,bilrepelteu
marine,해군,haegun
ludwigmaximiliansuniversität,뮌헨,mwinhen
chiemsee,킴호,kimho
gifhorn,기프호른,gipeuhoreun
rötha,뢰타,roeta
chaos,카오스,kaoseu
computer,컴퓨터,keompyuteo
pirmasens,피르마젠스,pireumajenseu
dülmen,뒬멘,dwilmen
stade,슈타데,syutade
hamburghafencity,하펜시티,hapensiti
mittelfranken,미텔프랑켄현,mitelpeurangkenhyeon
memmingen,메밍겐,meminggen
koblenz,코블렌츠,kobeulrenceu
bundesgrenzschutz,연방국경경비대,yeonbangguggyeonggyeongbidae
bundeskriminalamt,연방형사청,yeonbanghyeongsaceong
sinsheim,진스하임,jinseuhaim
jülich,율리히,yulrihi
gütersloh,귀터슬로,gwiteoseulro
neumünster,노이뮌스터,noimwinseuteo
starnberg,슈타른베르크,syutareunbereukeu
bayarena,바이아레나,baiarena
reichenau,라이헤나우섬,raihenauseom
bundestag,연방의회,yeonbangyihoe
siegen,지겐,jigen
sylt,질트섬,jilteuseom
prähistorische,알프스,alpeuseu
pfahlbauten,주변의,jubyeonyi
um,선사시대,seonsasidae
die,디,di
alpen,주거지,jugeoji
euro,유로,yuro
welthauptstadt,세계수도,segyesudo
germania,게르마니아,gereumania
brandenburg,공항,gonghang
rottweil,로트바일,roteubail
arminia,아르미니아,areuminia
ruhrgebiet,루르,rureu
barclaycard,바클리카드,bakeulrikadeu
haldensleben,할덴슬레벤,haldenseulreben
justizpalast,정의궁,jeongyigung
olympiastadion,올림피아슈타디온,olrimpiasyutadion
irminsul,이르민술,ireuminsul
kieler,킬,kil
friede,조약,joyag
alte,알테,alte
pinakothek,피나코테크,pinakotekeu
germanwings,저먼윙스,jeomeonwingseu
bundeswappen,독일의,dogilyi
dynamo,뒤나모,dwinamo
franken,프랑켄,peurangken
potsdamer,포츠담,poceudam
völkischer,푈키셔,poelkisyeo
beobachter,베오바흐터,beobaheuteo
albertludwigsuniversität,프라이부르크,peuraibureukeu
falknerei,매사냥,maesanyang
süddeutsche,쥐트도이체,jwiteudoice
oderneißegrenze,오데르나이세선,odereunaiseseon
kabel,카벨,kabel
eins,아인스,ainseu
tadano,타다노,tadano
faun,파운,paun
dreisamstadion,드라이잠슈타디온,deuraijamsyutadion
oberstdorf,오베르스트도르프,obereuseuteudoreupeu
moldauhafen,몰다우하펜,moldauhapen
uber,메르세데스벤츠,mereusedeseubenceu
asics,아식스,asigseu
east,이스트,iseuteu
side,사이드,saideu
gallery,갤러리,gaelreori
hallescher,할레셔,halresyeo
herbolzheim,헤르볼츠하임,hereubolceuhaim
nivea,니베아,nibea
aerologic,에어로로직,eeororojig
olympiapark,올륌피아파르크,olrwimpiapareukeu
railjet,레일젯,reiljes
bundeskartellamt,연방담합청,yeonbangdamhabceong
evonik,에보닉,ebonig
industries,인더스트리스,indeoseuteuriseu
senftenberg,젠프텐베르크,jenpeutenbereukeu
dessau,데사우,desau
günzburg,귄츠부르크,gwinceubureukeu
ensemble,앙상블,angsangbeul
sieper,시쿠,siku
schleswig,슐레스비히,syulreseubihi
innotrans,이노트란스,inoteuranseu
jerichow,예리호,yeriho
sassnitz,자스니츠,jaseuniceu
hünfeld,휜펠트,hwinpelteu
voigtländer,보이그랜더,boigeuraendeo
simplicissimus,심플리치시무스,simpeulricisimuseu
außenminister,외무장관,oemujanggwan
netinera,네티네라,netinera
weingarten,바인가르텐,baingareuten
lübben,뤼벤,rwiben
sächsische,드레스덴,deureseuden
staatskapelle,국립,gugrib
waldi,발디,baldi
tennis,테니스,teniseu
autostadt,아우토슈타트,autosyutateu
nationalsozialistischer,민족사회주의,minjogsahoejuyi
studentenbund,학생동맹,hagsaengdongmaeng
realschule,레알슐레,realsyulre
nadrensee,나드렌제,nadeurenje
hauptschule,하우프트슐레,haupeuteusyulre
bambi,밤비상,bambisang
rheinstadion,라인슈타디온,rainsyutadion
echo,에코상,ekosang
deutschlandfunk,도이칠란트푼크,doicilranteupunkeu
nielebock,니엘레보크,nielrebokeu
duisburgessen,대학교,daehaggyo
german,저먼,jeomeon
wings,윙스,wingseu
franckhkosmos,코스모스,koseumoseu
alpidischer,알프스히말라야,alpeuseuhimalraya
gebirgsgürtel,조산대,josandae
internationale,국제,gugje
mathematische,수학,suhag
union,연맹,yeonmaeng
buttbrunnen,버트브루넨,beoteubeurunen
kirche,고통받는,gotongbadneun
not,돕기,dobgi
statkraft,스태트크래프트,seutaeteukeuraepeuteu
vollstreckbarkeit,집행력,jibhaengryeog
baden,바덴,baden
aktienbuch,주주명부,jujumyeongbu
nordhausen,노르트하우젠,noreuteuhaujen
bautzen,바우첸,baucen
aalen,알렌,alren
celle,첼레,celre
schwetzingen,슈베칭겐,syubecinggen
ludwigsburg,루트비히스부르크,ruteubihiseubureukeu
zeithain,자이틴,jaitin
mainz,마인츠,mainceu
suhl,줄,jul
wernigerode,베르니게로데,bereunigerode
orden,기사단,gisadan
zschopau,초파우,copau
welt,벨트,belteu
rheinfelden,라인펠덴,rainpelden
ufa,우파,upa
singen,징겐,jinggen
wiedervereinigung,재통일,jaetongil
nürnberger,의사,yisa
ärzteprozess,재판,jaepan
fortuna,포르투나,poreutuna
zalando,잘란도,jalrando
recklinghausen,레클링하우젠,rekeulringhaujen
ratingen,라팅엔,ratingen
bocholt,보홀트,boholteu
minden,민덴,minden
landshut,란츠후트,ranceuhuteu
wedel,베델,bedel
bamberger,밤베르크,bambereukeu
energie,에네르기,enereugi
bauhaus,바우하우스,bauhauseu
abkommen,협정,hyeobjeong
chemnitzer,켐니츠,kemniceu
werkbund,공작연맹,gongjagyeonmaeng
rheinmetall,라인메탈,rainmetal
juliusmaximiliansuniversität,뷔르츠부르크,bwireuceubureukeu
rheinland,라인란트,rainranteu
georgaugustuniversität,괴팅겐,goetinggen
allianz,알리안츠,alrianceu
welle,벨레,belre
lindau,린다우,rindau
füssen,퓌센,pwisen
cargo,카고,kago
germany,저머니,jeomeoni
romantische,로맨틱,romaentig
straße,가도,gado
generalgouvernement,벨기에,belgie
belgien,총독부,congdogbu
löwenbräu,뢰벤브로이,roebenbeuroi
hamburger,함부르거,hambureugeo
abendblatt,아벤트블라트,abenteubeulrateu
tokio,토쿄,tokyo
cannstatter,칸슈타트,kansyutateu
volksfest,축제,cugje
tokyopop,토쿄팝,tokyopab
berchtesgaden,베르히테스가덴,bereuhiteseugaden
agfa,아그파게바트,ageupagebateu
osram,오스람,oseuram
bereitschaftspolizei,상비경찰,sangbigyeongcal
hertie,헤르티,hereuti
pilz,필츠,pilceu
glückstadt,글뤼크슈타트,geulrwikeusyutateu
grimmepreis,그림메상,geurimmesang
boppard,보파르트,bopareuteu
syke,쉬케,swike
gap,간격,gangyeog
soltau,졸타우,joltau
oberkochen,오버코헨,obeokohen
reichsbank,국가은행,guggaeunhaeng
fabercastell,파버카스텔,pabeokaseutel
salzwedel,잘츠베델,jalceubedel
luftschiffbau,체펠린,cepelrin
zeppelin,비행조선,bihaengjoseon
interregio,인터레기오,inteoregio
perleberg,페를레베르크,pereulrebereukeu
halstenbek,할슈텐베크,halsyutenbekeu
neckarsulm,네카르줄름,nekareujulreum
ratzeburg,라체부르크,racebureukeu
völkerschlachtdenkmal,전승기념비,jeonseungginyeombi
meersburg,메어스부르크,meeoseubureukeu
kulturlandschaft,드레스덴,deureseuden
dresdner,엘베,elbe
elbtal,계곡,gyegog
kunstakademie,쿤스트아카데미,kunseuteuakademi
mödlareuth,뫼들라로이트,moedeulraroiteu
sony,소니,soni
center,센터,senteo
fresenius,프레제니우스,peurejeniuseu
parkstadion,파르크슈타디온,pareukeusyutadion
minox,미녹스,minogseu
sicherheitspolizei,보안경찰,boangyeongcal
nassauweilburg,나사우바일부르크가,nasaubailbureukeuga
jägermeister,예거마이스터,yegeomaiseuteo
business,비즈니스,bijeuniseu
wandervogel,반더포겔,bandeopogel
wormser,보름스,boreumseu
balda,발다,balda
neunkirchen,노인키르헨,noinkireuhen
hanser,한저,hanjeo
verlag,출판사,culpansa
kunsthochschule,마인츠,mainceu
hyundai,현대,hyeondae
motorsport,모터스포츠,moteoseupoceu
fußballregionalliga,레기오날리가,regionalriga
schneeball,슈네발,syunebal
kreisleiter,군구지휘자,gungujihwija
baumkuchen,바움쿠헨,baumkuhen
deutschuruguayische,독일우루과이,dogilurugwai
alternative,독일을,dogileul
für,위한,wihan
atotech,아토텍,atoteg
eisenach,아이제나흐,aijenaheu
gerhardfieselerwerke,피젤러,pijelreo
gotha,고타,gota
grevenbroich,그레벤브로이흐,geurebenbeuroiheu
bochum,보훔,bohum
lünen,뤼넨,rwinen
remscheid,렘샤이트,remsyaiteu
arnsberg,아른스베르크,areunseubereukeu
rosenheim,로젠하임,rojenhaim
schwarzwald,슈바르츠발트,syubareuceubalteu
marsberg,마르스베르크,mareuseubereukeu
straubing,슈트라우빙,syuteuraubing
wirtschaft,독일의,dogilyi
kallstadt,칼슈타트,kalsyutateu
quedlinburg,크베들린부르크,keubedeulrinbureukeu
köln,쾰른,koelreun
fürth,퓌르트,pwireuteu
helgoland,헬골란트섬,helgolranteuseom
salzgitter,잘츠기터,jalceugiteo
cuxhaven,쿡스하펜,kugseuhapen
hafen,항,hang
hamm,함,ham
auto,아우토,auto
opel,오펠,opel
gallien,갈리아,galria
arri,아리,ari
basf,바스프,baseupeu
teutoburger,토이토부르크,toitobureukeu
wald,숲,sup
buchmesse,도서전,doseojeon
hiddenhausen,히덴하우젠,hidenhaujen
oberpfalz,오버팔츠현,obeopalceuhyeon
saarlouis,자를루이,jareulrui
filmfestspiele,국제,gugje
deutsches,독일,dogil
sudeten,수데티산맥,sudetisanmaeg
brandenburger,브란덴부르크,beurandenbureukeu
tor,문,mun
thyssenkrupp,티센크루프,tisenkeurupeu
vorpommern,포어포메른,poeopomereun
aeg,아에게,aege
rheinenergiestadion,라인에네르기슈타디온,rainenereugisyutadion
brobergen,브로베르겐,beurobereugen
münchener,뮤닉,myunig
rück,리,ri
heinzvonheidenarena,니더작센슈타디온,nideojagsensyutadion
schule,학파,hagpa
grammophon,그라모폰,geuramopon
zeit,차이트,caiteu
heimat,국민민주당,gugminminjudang
taunus,타우누스산맥,taunuseusanmaeg
kurfürstendamm,쿠르퓌르스텐담,kureupwireuseutendam
offenbach,오펜바흐,openbaheu
sennheiser,젠하이저,jenhaijeo
zoo,라이프치히,raipeucihi
photokina,포토키나,potokina
main,마인,main
fastnacht,사육제,sayugje
mewa,메바,meba
uhlsport,울스포츠,ulseupoceu
französischer,프랑스,peurangseu
büdingen,뷔딩겐,bwidinggen
radiosinfonieorchester,슈투트가르트,syututeugareuteu
aida,아이다,aida
cruises,크루즈,keurujeu
