éverton,艾华顿
baião,拜昂
itapira,伊塔皮拉
viradouro,维拉多鲁
aguaí,阿瓜伊
barreirinha,巴雷里纳
quebrangulo,克布兰古卢
salesópolis,萨利索波利斯
taquaritinga,塔夸里廷加
teresópolis,特雷索波利斯
caruaru,卡鲁阿鲁
ibirataia,伊比拉塔亚
barrinha,巴里尼亚
taguaí,塔瓜伊
miracatu,米拉卡图
timburi,廷布里
iperó,伊佩罗
aragoiânia,阿拉戈亚尼亚
araguapaz,阿拉瓜帕兹
camacan,卡马坎
anagé,阿纳热
pracuúba,普拉库乌巴
apuarema,阿普阿雷马
apucarana,阿普卡拉纳
holambra,奥兰布拉
parnaíba,巴纳伊巴
jaguariúna,雅瓜里乌纳
coribe,科里比
abaíra,阿巴伊拉
mirandópolis,米兰多波利斯
urubici,乌鲁比西
belém,贝伦
araguari,阿拉瓜里
rifaina,里法伊纳
avanhandava,阿瓦年达瓦
iguape,伊瓜佩
taquari,塔夸里
andradina,安德拉迪纳
pedregulho,佩德雷古柳
sarapuí,萨拉普伊
taiúva,泰乌瓦
colômbia,哥伦比亚
ubirajara,乌比拉雅拉
eirunepé,埃鲁内佩
cantá,坎塔
arapiraca,阿拉皮拉卡
araguaína,阿拉瓜伊纳
araranguá,阿拉兰瓜
araricá,阿拉里卡
araraquara,阿拉拉夸拉
araripina,阿拉里皮纳
atibaia,阿蒂巴亚
araçu,戈亚斯阿拉苏
uiramutã,维拉穆唐
mucajaí,穆卡雅伊
muriaé,穆里亚埃
araçatuba,阿拉萨图巴
cruzália,克鲁扎利亚
guanambi,瓜南比
avelinópolis,阿韦利诺波利斯
barretos,巴雷图斯
adamantina,阿达曼蒂纳
quaraí,夸拉伊
itaúna,伊塔乌纳
reriutaba,雷里乌塔巴
pescador,佩斯卡多
baliza,巴利萨
bandeirantes,巴西奴隶猎取队
ariquemes,阿里克米斯
pacaraima,帕卡赖马
itamari,伊塔马里
abaré,阿巴雷
arealva,阿雷阿尔瓦
ibirapitanga,伊比拉皮坦加
pariqueraaçu,帕里克拉阿苏
floreal,弗洛雷亚尔
tejupá,特茹帕
joanópolis,若阿诺波利斯
penedo,佩内杜
itaparica,伊塔帕里卡
barcelos,巴塞洛斯
barbacena,巴巴塞纳
conchas,孔查斯
amargosa,阿马戈萨
palmital,帕尔米塔尔
cajuru,卡茹鲁
cajamar,卡雅马尔
quatá,夸塔
narandiba,纳兰迪巴
lupionópolis,卢皮奥诺波利斯
dianópolis,迪亚诺波利斯
muricilândia,穆里西兰迪亚
itamonte,伊塔蒙蒂
traipu,特赖普
autazes,奥塔济斯
belmonte,贝尔蒙蒂
juquiá,茹基亚
itatiaia,伊塔蒂亚亚
juquitiba,茹基蒂巴
mococa,莫科卡
araucária,阿劳卡里亚
severínia,塞韦里尼亚
renascença,雷纳斯森萨
goianorte,戈亚诺特
goiatins,戈亚廷斯
lavandeira,拉万代拉
cambé,坎贝
silvanópolis,锡尔瓦诺波利斯
guaraí,瓜拉伊
taiaçu,塔亚苏
piaçabuçu,皮亚萨布苏
itirapuã,伊蒂拉普昂
ibiquera,伊比克拉
apiaí,阿皮亚伊
amaturá,阿马图拉
jequié,热基耶
caucaia,考卡亚
chapecó,沙佩科
poloni,波洛尼
vargem,瓦尔任
rancharia,兰沙里亚
zacarias,扎卡里亚斯
pirapozinho,皮拉波齐纽
piracaia,皮拉卡亚
jaci,雅西
itaoca,伊塔奥卡
cajati,卡亚蒂
marmeleiro,马尔梅莱鲁
maracaí,马拉卡伊
sarutaiá,萨鲁塔亚
cubatão,库巴唐
iepê,耶佩
ibirarema,伊比拉雷马
clevelândia,克莱韦兰迪亚
paranavaí,帕拉纳瓦伊
pequizeiro,佩基泽鲁
figueirópolis,菲盖罗波利斯
caxambu,卡尚布
tupirama,图皮拉马
bertioga,贝尔蒂奥加
tupiratins,图皮拉廷斯
talismã,塔利斯芒
amaporã,阿马波朗
cafeara,卡费阿拉
lagoão,拉戈昂
itá,伊塔
luzinópolis,卢齐诺波利斯
paranapanema,帕拉纳帕内马
ibaté,伊巴特
magé,马热
natividade,纳蒂维达德
paranã,帕拉南
pugmil,普格米尔
silveiras,锡尔韦拉斯
luiziânia,卢伊齐亚尼亚
descalvado,德斯卡尔瓦杜
coroados,科罗阿杜斯
piquerobi,皮克罗比
sertãozinho,塞尔唐济纽
icaraíma,伊卡拉伊马
ubiretama,乌比雷塔马
florínea,弗洛里尼亚
siriri,西里里
ibirapuitã,伊比拉普伊唐
monções,蒙松伊斯
tocantínia,托坎蒂尼亚
jaguapitã,雅瓜皮塔
mucuri,穆库里
maragogipe,马拉戈日皮
caiapônia,卡亚波尼亚
lucélia,卢塞利亚
rinópolis,里诺波利斯
araruama,阿拉鲁阿马
colina,科利纳
areal,阿雷亚尔
guapimirim,瓜皮米林
caseara,卡塞阿拉
babaçulândia,巴巴苏兰迪亚
barrolândia,巴罗兰迪亚
araguacema,阿拉瓜塞马
canhoba,卡尼奥巴
carmópolis,卡莫波利斯
aragominas,阿拉戈米纳斯
cariacica,卡里亚西卡
cacoal,卡夸尔
salmourão,萨尔莫朗
itabaianinha,伊塔巴亚尼尼亚
guaramiranga,瓜拉米兰加
colmeia,科尔梅亚
carmolândia,卡尔穆兰迪亚
brejetuba,布雷热图巴
itaguajé,伊塔瓜热
uniflor,乌尼夫洛尔
sabáudia,萨鲍迪亚
kaloré,卡洛雷
toledo,托莱杜
teixeirópolis,特谢罗波利斯
arauá,阿劳阿
limeira,利梅拉
itaboraí,伊塔博拉伊
camaragibe,卡马拉吉贝
matutina,马图蒂纳
viçosa,维索萨
ibotirama,伊博蒂拉马
arraias,阿拉亚斯
augustinópolis,奥古斯蒂诺波利斯
beneditinos,贝内迪蒂努斯
unaí,乌纳伊
lambari,兰巴里
itajaí,伊达贾伊
parapuã,帕拉普昂
pracinha,普拉西尼亚
iturama,伊图拉马
raposos,拉波苏斯
pérola,佩罗拉
araguatins,阿拉瓜廷斯
goianinha,戈亚尼尼亚
venhaver,韦尼亚韦尔
mangueirinha,曼盖里尼亚
sanharó,萨尼亚罗
petrolina,彼得罗利纳
quitandinha,基坦迪尼亚
ibicuitinga,伊比库伊廷加
angelim,安热利姆
maricá,马里卡
campanha,坎帕尼亚
rolador,罗拉多尔
coluna,科卢纳
goioerê,戈约埃雷
mansidão,曼西当
macajuba,马卡茹巴
jeremoabo,热雷莫阿布
piracema,皮拉塞马
porciúncula,波尔西温库拉
lajes,拉热斯
prados,普拉杜斯
lapão,拉庞
jaguaripe,雅瓜里皮
guaratuba,瓜拉图巴
berizal,贝里扎尔
luz,鲁兹
angicos,安日库斯
marapanim,马拉帕宁
rebouças,雷波萨斯
itutinga,伊图廷加
gurinhém,古里年
lajedinho,拉热迪纽
motuca,莫图卡
uibaí,维巴伊
jacuí,雅库伊
adrianópolis,阿德里亚诺波利斯
aguiarnópolis,阿圭亚尔诺波利斯
paracambi,帕拉坎比
ouro,欧鲁
seara,塞阿拉
ibiam,伊比安
laurentino,劳伦蒂努
descanso,德斯坎苏
salete,萨莱蒂
lontras,隆特拉斯
iomerê,约梅雷
indaial,因达亚尔
irineópolis,伊里内奥波利斯
penha,佩尼亚
garuva,加鲁瓦
cezarina,切扎里娜
bodó,博多
teolândia,特奥兰迪亚
paripiranga,帕里皮兰加
iranduba,伊兰杜巴
anguera,安格拉
biritinga,比里廷加
varig,里约格朗德航空
cristópolis,克里斯托波利斯
pureza,普雷扎
mauriti,毛里蒂
maxaranguape,马沙兰瓜皮
umarizal,乌马里扎尔
guarani,瓜拉尼
constantina,孔斯坦蒂纳
alegrete,阿莱格雷特
buerarema,布埃拉雷马
acajutiba,阿卡茹蒂巴
forquilhinha,福库利尼亚
calmon,卡尔蒙
brejolândia,布雷若兰迪亚
itabaiana,伊塔巴亚纳
orleans,奥尔良
guatambu,瓜坦布
ciríaco,锡里阿科
gurupi,古鲁皮
tupãssi,图庞西
mariluz,马里卢斯
banzaê,班扎埃
baianópolis,巴亚诺波利斯
tuparendi,图帕伦蒂
abreulândia,阿布雷乌朗迪亚
seberi,塞贝里
muliterno,穆利特努
tucunduva,图昆杜瓦
pranchita,普兰希塔
pitanga,皮坦加
realeza,雷阿莱扎
roncador,龙卡多尔
carpina,卡皮纳
salto,萨尔图
grossos,格罗苏斯
feijó,费若
tapes,塔皮斯
giruá,吉鲁阿
quevedos,克韦杜斯
travesseiro,特拉韦塞鲁
selbach,塞尔巴什
guabiju,瓜比茹
ibarama,伊巴拉马
varresai,瓦雷赛
cujubim,库茹比姆
quissamã,基萨马
estação,埃斯塔桑
cerejeiras,塞雷热拉斯
xambrê,尚布雷
cerrito,塞里托
itati,伊塔蒂
castanheiras,卡斯塔涅拉斯
pinhal,皮尼亚尔
guaíra,瓜伊拉
perobal,佩罗巴尔
miraguaí,米拉瓜伊
iracema,伊拉塞马
forquetinha,福克蒂尼亚
caetanos,卡埃塔努斯
aramari,阿拉马里
codajás,科达雅斯
ubaitaba,乌拜塔巴
iaçu,亚苏
botuporã,博图波朗
xiquexique,希克希克
almadina,阿马迪纳
gaurama,高拉马
soledade,索莱达德
parecis,帕雷西斯
charrua,沙鲁瓦
ivaté,伊瓦特
esmeralda,埃斯梅拉达
gongogi,贡戈吉
araçás,阿拉萨斯
adustina,阿杜斯蒂纳
irecê,伊雷塞
mucugê,穆库热
tunas,图纳斯
progresso,普罗格雷苏
itaperuçu,伊塔佩鲁苏
mandirituba,曼迪里图巴
ubiratã,乌比拉唐
jataizinho,雅泰济纽
catu,卡图
iguaí,伊瓜伊
candeias,坎德亚斯
aporá,阿波拉
cantagalo,坎塔加卢
dracena,德拉塞纳
turmalina,图尔马利纳
sengés,森热斯
capanema,卡帕内马
pinhalão,皮尼亚朗
contenda,孔滕达
lençóis,伦索伊斯
angical,安日卡尔
aratuípe,阿拉图伊皮
aracatu,阿拉卡图
cipó,锡波
lizarda,利扎达
redentora,雷登托拉
casca,卡斯卡
sombrio,松布里乌
cotegipe,科特日皮
ibiaçá,伊比亚萨
formigueiro,福米盖鲁
taipu,泰普
tibau,蒂鲍
marau,马劳
palmeira,帕尔梅拉
lucrécia,卢克雷西亚
cristinápolis,克里斯蒂纳波利斯
jandaíra,然达伊拉
parelhas,帕雷利亚斯
pendências,蓬登西亚斯
paraú,帕拉乌
maraã,马拉昂
açailândia,阿赛兰迪亚
verê,韦雷
ventania,文塔尼亚
bombinhas,邦比尼亚斯
caiçara,凯萨拉
candelária,坎德拉里亚
ramilândia,拉米兰迪亚
marumbi,马伦比
áurea,阿乌雷阿
missal,米萨尔
paranapoema,帕拉纳波埃马
guamiranga,瓜米兰加
ivaí,伊瓦伊
ampére,安佩雷
piraquara,皮拉夸拉
imbituva,因比图瓦
botuverá,博图韦拉
bossoroca,博索罗卡
upanema,乌帕内马
mariópolis,马里奥波利斯
piên,皮恩
manfrinópolis,曼夫里诺波利斯
itaiçaba,伊泰萨巴
rio,里奥
fortuna,富都那
brunópolis,布鲁诺波利斯
tupaciguara,图帕西瓜拉
taiobeiras,塔约贝拉斯
virgolândia,维尔戈兰迪亚
virgínia,维吉尼亚
goioxim,戈约欣
gravatal,格拉瓦塔尔
carambeí,卡兰贝
matelândia,马特兰迪亚
itaipulândia,伊泰普兰迪亚
floresta,弗洛雷斯塔
cambará,坎巴拉
porecatu,波雷卡图
bonfinópolis,邦菲诺波利斯
botafogo,博塔福古
jaguaruna,雅瓜鲁纳
armazém,阿尔马泽姆
grãopará,格朗帕拉
urupema,乌鲁佩马
ipanguaçu,伊潘瓜苏
taparuba,塔帕鲁巴
virginópolis,维尔日诺波利斯
varzelândia,瓦尔泽兰迪亚
jaboti,雅博蒂
astorga,阿斯托加
curiúva,库里乌瓦
içara,伊萨拉
painel,派内尔
jucurutu,茹库鲁图
florânia,弗洛拉尼亚
cruzeta,克鲁泽塔
canguaretama,坎瓜雷塔马
tanguá,坦瓜
jaguariaíva,雅瓜里亚伊瓦
guaraniaçu,瓜拉尼亚苏
parazinho,帕拉齐纽
macaíba,马卡伊巴
guamaré,瓜马雷
mamborê,曼波雷
farol,法罗尔
maripá,马里帕
janiópolis,雅尼奥波利斯
marquinho,马基尼奥
cianorte,夏诺特
cruzmaltina,克鲁兹马尔蒂纳
sertanópolis,塞塔诺波利斯
faxinal,法希纳尔
uraí,乌拉伊
paiçandu,派桑杜
ibaiti,伊巴伊蒂
carlópolis,卡洛波利斯
cruzaltense,克鲁扎尔滕塞
tombos,通布斯
jacutinga,雅库廷加
carapebus,卡拉佩布斯
cambuci,坎布西
igarassu,伊加拉苏
aperibé,阿佩里贝
agrestina,阿格雷斯蒂纳
borrazópolis,博拉佐波利斯
lunardelli,卢纳德利
guairaçá,瓜伊拉萨
arapuã,阿拉普阿
galinhos,加利纽斯
carnaubais,卡瑙拜什
urucuia,乌鲁库亚
verdelândia,韦尔德兰迪亚
urucânia,乌鲁卡尼亚
peabiru,佩阿比鲁
mandaguari,曼达瓜曼
lidianópolis,利迪亚诺波利斯
sapopema,萨波佩马
assaí,阿萨伊
brf,巴西食品公司
tomazina,托马齐纳
ibiporã,伊比波朗
tamarana,塔马拉纳
corbélia,科尔贝利亚
juranda,茹兰达
miracema,马拉塞马
venturosa,文图罗萨
itapissuma,伊塔皮苏马
japi,雅皮
itaocara,伊陶卡拉
tupanatinga,图帕纳廷加
ibimirim,伊比米林
tabira,塔比拉
palma,帕尔马
nazareno,纳扎雷努
japeri,雅佩里
canavieira,卡纳维埃拉
vanini,瓦尼尼
andirá,安迪拉
ibema,伊贝马
ubaporanga,乌巴波兰加
benevides,贝内维德斯
muaná,穆阿纳
anajás,阿纳雅斯
formoso,福莫苏
vera,薇拉
breves,布雷韦斯
vieiras,维埃拉斯
turvolândia,图尔沃兰迪亚
tumiritinga,图米里廷加
sobrália,索布拉利亚
sobrado,索布拉杜
bannach,班纳赫
moeda,莫埃达
acará,阿卡拉
pombal,蓬巴尔
itaquiraí,伊塔基拉伊
jaraguari,雅拉瓜里
vigia,维吉亚
bagre,巴格雷
cametá,卡梅塔
bituruna,比图鲁纳
marituba,马里图巴
tacuru,塔库鲁
toméaçu,托姆阿苏
jacareacanga,雅卡雷阿坎加
itupiranga,伊图皮兰加
jaçanã,雅萨南
apodi,阿波迪
guaraciaba,瓜拉西亚巴
extrema,埃斯特雷马
mantena,曼特纳
pilões,皮龙伊斯
patu,帕图
itambaracá,伊坦巴拉卡
lajedo,拉热杜
goianá,戈亚纳
ferreiros,费雷鲁斯
iretama,伊雷塔马
lindoeste,林多埃斯蒂
congonhinhas,康哥尼涅斯
sumidouro,苏米多鲁
macuco,马库库
itaporanga,伊塔波兰加
lucena,卢塞纳
italva,伊塔尔瓦
loanda,洛安达
itacuruba,伊塔库鲁巴
itaueira,伊陶埃拉
luiziana,卢伊齐亚纳
quatipuru,夸蒂普鲁
serranos,塞拉努斯
miradouro,米拉多鲁
galileia,加利莱亚
sapé,萨佩
pitimbu,皮廷布
silveirânia,锡尔韦拉尼亚
sericita,塞里西塔
silvianópolis,锡尔维亚诺波利斯
xinguara,欣瓜拉
curuá,卡鲁阿
moju,莫茹
tracuateua,特拉夸特瓦
piçarra,皮萨拉
coxixola,科希绍拉
leopoldina,利奥波尔迪纳
altônia,阿尔托尼亚
colares,科拉里斯
mocajuba,莫卡茹巴
acari,阿卡里
aripuanã,阿里普阿南
arapoti,阿拉波蒂
paud'arco,保达尔库
natuba,纳图巴
picuí,皮库伊
itatuba,伊塔图巴
peixeboi,佩谢博伊
sardoá,萨尔多阿
ipueira,伊普埃拉
sarzedo,萨尔泽杜
curionópolis,库里奥诺波利斯
portalegre,波尔塔莱格里
tesouro,特索鲁
igarapéaçu,伊加拉佩阿苏
medicilândia,梅迪西兰迪亚
ulianópolis,乌利亚诺波利斯
sumé,苏梅
pinhais,皮尼艾斯
assú,阿苏
sapezal,萨佩扎尔
japorã,雅波朗
bujaru,布雅鲁
uruará,乌鲁阿拉
muribeca,穆里贝卡
ribeirão,里贝朗
buritinópolis,布里蒂诺波利斯
mambaí,曼巴伊
irituia,伊里图亚
perolândia,佩罗兰迪亚
minaçu,米纳苏
sempeixe,森佩希
sapucaímirim,萨普卡伊米林
piranga,皮兰加
pequeri,佩克里
sinuca,巴西斯诺克
encanto,恩坎图
pavussu,帕武苏
montalvânia,蒙塔瓦尼亚
marilac,马里拉克
oratórios,奥拉托留斯
seritinga,塞里廷加
pirajuba,皮拉茹巴
piranguçu,皮兰古苏
papagaios,帕帕加尤斯
piraúba,皮拉乌巴
pintópolis,平托波利斯
paulistas,保利斯塔斯
vieirópolis,维埃罗波利斯
imaculada,伊马库拉达
piancó,皮安科
jerumenha,热鲁梅尼亚
simões,锡蒙伊斯
ibiara,伊比亚拉
desterro,德斯特罗
esperantina,埃斯佩兰蒂纳
jacaraú,雅卡拉乌
portel,波特尔
cumaru,库马鲁
carlinda,卡林达
arenápolis,阿雷纳波利斯
brasnorte,布拉斯诺特
torixoréu,托里绍雷乌
taquarussu,塔夸鲁苏
nobres,诺布里斯
bataguassu,巴塔瓜苏
douradina,多拉迪纳
confresa,孔夫雷萨
paranatinga,巴拉纳廷加
luciara,卢西亚拉
colíder,科利德尔
calçado,卡尔萨多
jaciara,雅西亚拉
juscimeira,茹斯西梅拉
itaporã,伊塔波朗
nioaque,尼瓦基
deodápolis,德奥达波利斯
paranaíta,巴拉纳伊塔
nortelândia,诺尔特兰迪亚
inocência,伊诺森西亚
juripiranga,茹里皮兰加
porteirinha,波尔泰里尼亚
perdões,佩尔东伊斯
pocrane,波克拉尼
pingod'água,平古达瓜
paineiras,派内拉斯
pratápolis,普拉塔波利斯
pompéu,蓬佩乌
cabrobó,卡布鲁博
iguaracy,伊瓜拉西
orocó,奥罗科
araçoiaba,阿拉索亚巴
romaria,罗马里亚
borba,博尔巴
bacuri,巴库里
silves,西尔韦斯
rubelita,鲁贝利塔
ritápolis,里塔波利斯
riachinho,里亚希纽
reduto,雷杜图
cubati,库巴蒂
nazarezinho,纳扎雷齐纽
lastro,拉斯特罗
manaíra,马纳伊拉
matureia,马图雷亚
trairão,特赖朗
barcarena,巴卡雷纳
rurópolis,鲁罗波利斯
prainha,普赖尼亚
congo,孔戈
mãed'água,芒埃达瓜
marcação,马卡桑
solânea,索拉内阿
tamandaré,塔曼达雷
palmeirina,帕尔梅里纳
cuitegi,库伊特吉
maracanã,马拉卡南
pirapemas,皮拉佩马斯
naque,纳基
natalândia,纳塔兰迪亚
consolação,孔索拉桑
chácara,沙卡拉
goiabeira,戈亚贝拉
serranópolis,塞拉诺波利斯
guarinos,瓜里努斯
aliança,阿利安加
uiraúna,维拉乌纳
olhosd'água,奥柳斯达瓜
luislândia,路易斯兰迪亚
patis,帕蒂斯
lassance,拉桑西
piau,皮奥
marilândia,马里兰迪亚
piúma,皮乌马
miravânia,米拉瓦尼亚
novorizonte,诺沃里藏特
miraí,米拉伊
mirabela,米拉贝拉
muzambinho,穆赞比纽
brasilândia,巴西兰迪亚
rianápolis,里亚纳波利斯
parauapebas,帕劳阿佩巴斯
vicência,维森西亚
sossego,索塞古
graça,格拉萨
calumbi,卡伦比
parnaguá,帕纳瓜
urupá,乌鲁帕
anaurilândia,阿瑙里兰迪亚
vassouras,瓦索拉斯
itapetim,伊塔佩廷
ribeirãozinho,里贝朗齐纽
ingazeira,因加泽拉
itaquitinga,伊塔基廷加
selvíria,塞尔维里亚
araputanga,阿拉普坦加
pirapetinga,皮拉佩廷加
queluzito,克卢济塔
munhoz,穆尼奥斯
ninheira,尼涅拉
araguainha,阿拉瓜伊尼亚
tabaporã,塔巴波朗
juara,茹阿拉
cassilândia,卡西兰迪亚
passira,帕西拉
moreilândia,莫雷兰迪亚
pilõezinhos,皮隆伊齐纽斯
igaracy,伊加拉西
itanhangá,伊塔年加
tacaratu,塔卡拉图
sertânia,塞塔尼亚
maraial,马拉亚尔
catende,卡滕德
quipapá,基帕帕
puxinanã,普希纳南
jaqueira,雅凯拉
fagundes,法贡德斯
itapuranga,伊塔普兰加
mantenópolis,曼特诺波利斯
sooretama,索奥雷塔马
japira,雅皮拉
itaíba,伊塔伊巴
mirandiba,米兰迪巴
bezerros,贝泽罗斯
paranatama,巴拉那塔马
iati,亚蒂
imbaú,因巴乌
cidadania,公民权
alexandria,亚历山大
milagres,米拉格雷斯
manhumirim,马纽米林
minduri,明杜里
moema,莫埃马
matipó,马蒂波
ijaci,伊雅西
bonópolis,博诺波利斯
lagamar,拉加马尔
juatuba,茹阿图巴
guaranésia,瓜拉内西亚
guaraíta,瓜拉伊塔
damianópolis,达米亚诺波利斯
porangatu,波兰加图
canápolis,卡纳波利斯
campinorte,坎皮诺特
iaciara,亚西亚拉
trombas,特龙巴斯
mutunópolis,穆图诺波利斯
simolândia,锡莫兰迪亚
marzagão,马扎冈
gurupá,古鲁帕
melgaço,梅尔加苏
oriximiná,奥里希米纳
curralinho,库拉利纽
ivinhema,伊维涅马
itapaci,伊塔帕西
união,乌尼昂
primavera,普里马韦拉
guiratinga,吉拉廷加
matinhas,马蒂尼亚斯
tapurah,塔普拉
itabirinha,伊塔比里尼亚
indaiabira,因达亚比拉
douradoquara,多拉多夸拉
canutama,卡努塔马
camocim,卡莫辛
estiva,埃斯蒂瓦
jaguaraçu,雅瓜拉苏
granito,格拉尼图
barreiros,巴雷鲁斯
ibiracatu,伊比拉卡图
itumirim,伊图米林
jurema,茹雷马
rochedo,罗谢杜
propriá,普罗普里亚
igaratinga,伊加拉廷加
itamogi,伊塔莫日
guidoval,吉多瓦尔
itaguara,伊塔瓜拉
sulina,苏利纳
guadalupe,瓜达卢佩
inhuma,伊纽马
serrolândia,塞罗兰迪亚
batalha,巴塔利亚
quilombo,基隆布
rodeio,罗德尤
itaobim,伊陶宾
eugenópolis,欧热诺波利斯
guiricema,吉里塞马
salgueiro,萨尔盖鲁
escada,埃斯卡达
parari,帕拉里
frutal,弗鲁塔尔
ipaumirim,伊帕乌米林
jatobá,雅托巴
apiacás,阿皮亚卡斯
monção,蒙桑
trairi,特赖里
loreto,洛雷图
cantanhede,坎塔涅迪
juruaia,茹鲁阿亚
lamim,拉明
guardamor,瓜达莫尔
juramento,茹拉门图
itapagipe,伊塔帕日皮
fervedouro,费尔韦多鲁
jampruca,然普鲁卡
iapu,亚普
ingaí,因加伊
itacarambi,伊塔卡兰比
ibiaí,伊比亚伊
ilicínea,伊利西内阿
ibiraci,伊比拉西
grupiara,格鲁皮亚拉
marataízes,马拉塔伊济斯
russas,鲁萨斯
bacabal,巴卡巴尔
itapemirim,伊塔佩米林
igaci,伊加西
japaratinga,雅帕拉廷加
itarana,伊塔拉纳
angico,安吉科
sucupira,苏库皮拉
piritiba,皮里蒂巴
tangará,坦加拉
barcelona,巴赛隆纳
ibitirama,伊比蒂拉马
pintadas,平塔达斯
itiúba,伊蒂乌巴
barrocas,巴罗卡斯
jaborandi,雅博兰迪
platina,普拉蒂纳
tutóia,图托亚
porto,波尔图
guimarânia,吉马拉尼亚
ipaba,伊帕巴
ipiaçu,伊皮亚苏
janaúba,雅纳乌巴
joanésia,若阿内夏
guapé,瓜佩
guaxupé,瓜舒佩
inhapim,伊尼亚平
ibiraçu,伊比拉苏
jesuânia,热苏阿尼亚
guaçuí,瓜苏伊
passagem,帕萨任
caracol,卡拉科尔
flores,弗洛里斯
ruy,鲁伊
açucena,阿苏塞纳
matupá,马图帕
rondolândia,龙多兰迪亚
icó,伊科
jauru,饶鲁
alcinópolis,阿尔西诺波利斯
itaúba,伊塔乌巴
logradouro,洛格拉多鲁
caranaíba,卡拉纳伊巴
careaçu,卡雷阿苏
itapecurumirim,伊塔佩库鲁米林
cotriguaçu,科特里瓜苏
gurinhatã,古里尼亚唐
aroeiras,阿罗埃拉斯
capim,卡平
manaquiri,马纳基里
irupi,伊鲁皮
itanhomi,伊塔尼奥米
alegre,阿莱格雷
rosário,罗萨里奥
moreno,莫雷努
marcelândia,马塞兰迪亚
sorriso,索里苏
corguinho,科尔吉纽
guarará,瓜拉拉
ferros,费鲁斯
itaverava,伊塔韦拉瓦
pains,佩恩斯
florestal,弗洛雷斯塔尔
jacinto,雅辛托
capinópolis,卡皮诺波利斯
capetinga,卡佩廷加
esmeraldas,埃斯梅拉达斯
formiga,福米加
pavão,帕旺
caiana,卡亚纳
matões,马通伊斯
corrente,科伦蒂
cristal,克里斯塔尔
baraúna,巴拉乌纳
delfinópolis,德尔菲诺波利斯
guajará,瓜雅拉
quixelô,基谢洛
aquidauana,阿基道阿纳
descoberto,德斯科贝图
baixio,拜肖
indiaroba,印第亚罗巴
esperantinópolis,埃斯佩兰蒂诺波利斯
montadas,蒙塔达斯
itapeva,伊塔佩瓦
cajazeiras,卡雅泽拉斯
maués,毛埃斯
maracaju,马拉卡茹
centralina,森特拉利纳
buritis,布里蒂斯
argirita,阿尔日里塔
buriticupu,布里蒂库普
codó,科多
macambira,马坎比拉
carmésia,卡梅西亚
buritizeiro,布里蒂泽鲁
caetanópolis,卡埃塔诺波利斯
biquinhas,比基尼亚斯
congonhal,孔戈尼亚尔
cuparaque,库帕拉克
gararu,加拉鲁
japaratuba,雅帕拉图巴
malhador,马利亚多尔
sidrolândia,锡德罗兰迪亚
araguaiana,阿拉瓜亚纳
datas,达塔斯
bicas,比卡斯
divino,迪维努
coqueiral,科凯拉尔
brumado,布鲁马杜
cafarnaum,卡法瑙恩
juru,茹鲁
alvarães,阿尔瓦朗伊斯
assaré,阿萨雷
junqueiro,容凯鲁
anapurus,阿纳普鲁斯
palmácia,帕尔马西亚
uruoca,乌鲁奥卡
itaitinga,伊泰廷加
pacoti,帕科蒂
paraipaba,帕赖帕巴
jupi,茹皮
custódia,库斯托迪亚
vicentina,维森蒂纳
alpercata,阿尔佩卡塔
cordislândia,科尔迪斯兰迪亚
carandaí,卡兰达伊
zabelê,扎贝莱
nazaré,纳扎雷
acarape,阿卡拉皮
fátima,法蒂玛
parnarama,帕纳拉马
belágua,贝拉瓜
buritirana,布里蒂拉纳
anajatuba,阿纳雅图巴
aquidabã,阿基达邦
carira,卡里拉
pedrinhas,佩德里尼亚斯
aricanduva,阿里坎杜瓦
naviraí,纳维拉伊
angélica,安热利卡
coxim,科欣
arapuá,阿拉普阿
carangola,卡兰戈拉
cocalinho,科卡利纽
jacuípe,雅库伊皮
ribeira,里贝拉
cacimbinhas,卡辛比尼亚斯
carneiros,卡尔内鲁斯
verdejante,韦尔德然蒂
toritama,托里塔马
pedra,佩德拉
monteirópolis,蒙泰罗波利斯
boqueirão,博凯朗
cajazeirinhas,卡雅泽里尼亚斯
poção,波康
pirambu,皮兰布
dormentes,多门蒂斯
buíque,布伊基
picos,皮科斯
jaguaruana,雅瓜鲁阿纳
itarema,伊塔雷马
quixadá,基沙达
aratuba,阿拉图巴
varjão,瓦尔让
panelas,帕内拉斯
serrita,塞里塔
orobó,奥罗博
barreira,巴雷拉
montanha,蒙塔尼亚
tacaimbó,塔卡因博
tonantins,托南廷斯
itatira,伊塔蒂拉
divinésia,迪维内西亚
comercinho,科梅西纽
bugre,布格雷
cristais,克里斯泰斯
cássia,卡西亚
amaralina,阿马拉利那
maurilândia,毛里兰迪亚
rubiataba,鲁比亚塔巴
pequi,佩基
mortugaba,莫尔图加巴
potiraguá,波蒂拉瓜
carutapera,卡鲁塔佩拉
roteiro,罗泰鲁
laje,拉日
paramirim,帕拉米林
anchieta,安谢塔
doverlândia,多韦兰迪亚
poções,波松伊斯
jandaia,然达亚
cajueiro,卡茹埃鲁
heliópolis,埃利奥波利斯
edealina,埃德阿利纳
palminópolis,帕尔米诺波利斯
nhamundá,尼亚蒙达
jacarezinho,雅卡雷济纽
camutanga,卡穆坦加
maravilha,马拉维利亚
tururu,图鲁鲁
curuçá,库鲁萨
umbuzeiro,温布泽鲁
