кирилл,基里尔,kirill
тарелкин,塔列尔金,tarelkin
трэвис,泰瑞斯,trevis
хансен,汉森,hansen
камилла,卡米拉,kamilla
гафурзянова,加富尔贾诺娃,gafurzyanova
брагин,布拉金,bragin
евгеньевич,叶夫根尼耶维奇,evgenevich
юрьевич,尤里耶维奇,yurevich
рогозин,罗戈津,rogozin
пахмутова,巴赫慕托娃,pahmutova
голикова,戈利科娃,golikova
мягков,米亚科夫,myagkov
баир,拜尔,bair
бадёнов,巴杰诺夫,badyonov
солопов,索洛波夫,solopov
зимин,兹明,zimin
яшин,雅辛,yashin
юлий,尤利,yuliy
сайнхо,珊蔻,saynho
намчылак,娜赤娅克,namchylak
прохоренко,普罗霍连科,prohorenko
сёмина,赛奥米娜,syomina
лаюшкин,拉宇甚坚,layushkin
квочур,克沃丘尔,kvochur
козырев,科济列夫,kozyrev
георгиевич,格奥尔基耶维奇,georgievich
андреев,安德烈耶夫,andreev
ильин,伊林,ilin
юлианна,尤利安娜,yulianna
авдеева,阿芙蒂耶娃,avdeeva
иосиф,约西夫,iosif
хейфиц,赫菲茨,heyfic
сергеев,谢尔盖耶夫,sergeev
богданов,波格丹诺夫,bogdanov
наговицын,纳戈维岑,nagovicyn
калентьева,卡伦捷耶娃,kalenteva
сюткин,舒特金,syutkin
голицын,果利钦,golicyn
рощин,罗辛,roshchin
белковский,别尔科夫斯基,belkovskiy
харитонов,哈里托诺夫,haritonov
громов,格罗莫夫,gromov
золотухин,佐洛图欣,zolotuhin
алишер,阿利舍尔,alisher
усманов,乌斯曼诺夫,usmanov
бутырская,布特尔斯卡娅,butyrskaya
матвей,马特维,matvey
прокопьевич,普罗科佩耶维奇,prokopevich
бурлаков,布尔拉科夫,burlakov
шендерович,申德罗维奇,shenderovich
меркушкин,梅尔库什金,merkushkin
катанандов,卡塔南多夫,katanandov
антон,安东,anton
голоцуцков,戈洛楚茨科夫,golocuckov
бирюкова,比留科娃,biryukova
журова,茹洛娃,zhurova
могильный,莫吉里尼,mogilnyy
пономарёв,波诺马廖夫,ponomaryov
забелинская,扎别林斯卡娅,zabelinskaya
максимович,马克西莫维奇,maksimovich
примаков,普里马科夫,primakov
трутнев,特鲁特内夫,trutnev
мутко,穆特古,mutko
магомедали,穆罕默达利,magomedali
магомедов,穆罕默多夫,magomedov
сорокина,索罗金娜,sorokina
мишин,米申,mishin
мальков,马尔科夫,malkov
фролов,弗罗洛夫,frolov
петерис,彼得,peteris
скудра,斯库德拉,skudra
вержбицкий,维日彼茨基,verzhbickiy
бурчалкин,布尔查金,burchalkin
наместников,纳梅斯特尼科夫,namestnikov
кареева,卡列耶娃,kareeva
бодров,波德洛夫,bodrov
родштейн,罗德斯坦因,rodshteyn
филатов,费拉托夫,filatov
валуев,瓦鲁耶夫,valuev
самойлова,萨莫伊洛娃,samoylova
абт,阿伯特,abt
яна,亚娜,yana
егорян,伊戈里岩,egoryan
пьеха,皮卡,peha
галиев,加利耶夫,galiev
уральцева,乌拉塞娃,uralceva
шведов,希夫道夫,shvedov
мамаев,马马耶夫,mamaev
замолодчиков,扎莫洛奇科夫,zamolodchikov
корнеев,科涅夫,korneev
гончарова,冈察洛娃,goncharova
слава,斯拉瓦,slava
макарова,马卡洛娃,makarova
алексеев,阿列克谢耶夫,alekseev
фрейндлих,弗罗因德利克,freyndlih
близнова,伊琳娜,bliznova
юрьевна,布利兹诺娃,yurevna
бестемьянова,别斯捷米雅诺娃,bestemyanova
соломенцев,索洛缅采夫,solomencev
дарькин,达利金,darkin
лисицын,利西岑,lisicyn
гуцериев,古切里耶夫,guceriev
истомин,伊斯托明,istomin
долгорукова,多尔戈鲁科娃,dolgorukova
колокольцев,科洛科利采夫,kolokolcev
фомина,佛米娜,fomina
элем,叶列姆,elem
гальперин,加尔佩林,galperin
ефим,叶菲姆,efim
бронфман,布朗夫曼,bronfman
львович,利沃维奇,lvovich
васильев,瓦西里耶夫,vasilev
рыбкина,雷布金娜,rybkina
кассини,卡西尼,kassini
иваницкий,伊万尼茨基,ivanickiy
анжелика,安热莉卡,anzhelika
агурбаш,阿吉巴什,agurbash
чайковская,柴可夫斯基,chaykovskaya
швыдкой,什维德科伊,shvydkoy
котенёв,科捷尼奥夫,kotenyov
юсупович,尤苏波维奇,yusupovich
абдрашитов,阿布德拉希托夫,abdrashitov
лавроненко,拉朗尼柯,lavronenko
батыршина,巴特尔希娜,batyrshina
джулия,茱莉亚,dzhuliya
локтев,罗克铁夫,loktev
михайлова,米凯洛娃,mihaylova
белохвостикова,别洛赫沃斯季科娃,belohvostikova
комбаров,科姆巴罗夫,kombarov
эдисон,爱迪生,edison
бортников,博尔特尼科夫,bortnikov
гусинский,古辛斯基,gusinskiy
костецкая,达维纳,kosteckaya
дайнеко,达伊尼科,dayneko
семенович,塞米诺维奇,semenovich
туктамышева,图克塔米谢娃,tuktamysheva
колыванов,柯利瓦诺夫,kolyvanov
неёлова,涅约洛娃,neyolova
корниенко,科尔尼延科,kornienko
батурин,巴图林,baturin
великая,韦利卡娅,velikaya
абалкин,阿巴尔金,abalkin
сиятвинда,西雅特文达,siyatvinda
гришковец,格里什科维茨,grishkovec
феликс,费利克斯,feliks
аксёненко,阿克肖年科,aksyonenko
зураб,祖拉布,zurab
церетели,采列捷利,cereteli
берберова,别尔别罗娃,berberova
симутенков,西穆滕科夫,simutenkov
даниил,丹尼尔,daniil
гранин,格兰宁,granin
щекочихин,谢科奇欣,shchekochihin
сень,森,sen
ян,伊恩,yan
шипулин,舒普林,shipulin
поляков,波利亚科夫,polyakov
бессмертных,别斯梅尔特内赫,bessmertnyh
немоляева,尼莫拉耶娃,nemolyaeva
лия,利亚,liya
ахеджакова,阿赫贾科娃,ahedzhakova
распутин,拉斯普京,rasputin
бородулина,博罗杜丽娜,borodulina
фадеев,法捷耶夫,fadeev
воронов,沃洛诺夫,voronov
аленичев,阿伦尼切夫,alenichev
артёмов,阿尔乔莫夫,artyomov
мурат,木拉提,murat
насыров,纳斯洛夫,nasyrov
бурлацкий,布尔拉茨基,burlackiy
орбакайте,奥尔巴凯特,orbakayte
салкинд,塞尔金德,salkind
круг,克鲁格,krug
волк,沃尔克,volk
моруков,莫鲁科夫,morukov
ивановский,伊万诺夫斯基,ivanovskiy
тищенко,季先科,tishchenko
бароев,巴罗耶夫,baroev
глуховский,格卢霍夫,gluhovskiy
алфёрова,阿尔费罗娃,alfyorova
мавроди,马夫迪,mavrodi
равиль,拉维尔,ravil
фаритович,法里托维奇,faritovich
гениатулин,格尼亚图林,geniatulin
бердников,别尔德尼科夫,berdnikov
антоник,安东尼克,antonik
свидлер,斯维德勒,svidler
вятчанин,维亚恰宁,vyatchanin
рената,蕾娜塔,renata
каллош,卡洛什,kallosh
эбзеев,埃布泽耶夫,ebzeev
буданов,布达诺夫,budanov
братчикова,布拉奇科娃,bratchikova
этери,叶杰里,eteri
гвазава,格瓦扎娃,gvazava
гайдарбек,盖达尔别克,gaydarbek
гайдарбеков,盖达尔别科夫,gaydarbekov
эдвард,爱德华,edvard
станиславович,斯坦尼斯拉沃维奇,stanislavovich
радзинский,斯坦尼斯拉沃维奇,radzinskiy
легков,列赫科夫,legkov
райзман,莱兹曼,rayzman
гнеденко,格涅坚科,gnedenko
пименов,皮缅诺夫,pimenov
вяльцев,维亚利采夫,vyalcev
шипачёв,希帕契夫,shipachyov
полищук,波利修克,polishchuk
собчак,索布恰克,sobchak
никитич,尼基季奇,nikitich
хрущёв,赫鲁晓夫,hrushchyov
викентьевич,维肯季耶维奇,vikentevich
скворцов,斯克沃尔佐夫,skvorcov
панова,潘诺娃,panova
шнуров,希纳罗维,shnurov
анисин,阿尼辛,anisin
кислов,基斯洛夫,kislov
важенина,瓦热宁娜,vazhenina
арина,阿琳娜,arina
толоконникова,托洛孔尼科娃,tolokonnikova
денисюк,杰尼修克,denisyuk
познер,波兹涅尔,pozner
карл,卡尔,karl
вайно,瓦伊诺,vayno
байбаков,巴伊巴科夫,baybakov
мамут,马穆特,mamut
рогожкин,罗戈日金,rogozhkin
говорухин,戈沃鲁辛,govoruhin
шестакова,谢斯塔科娃,shestakova
маркелов,马科洛夫,markelov
авербух,阿韦尔布赫,averbuh
козеев,科泽耶夫,kozeev
дежуров,德朱罗夫,dezhurov
моисей,米奇斯瓦夫,moisey
вайнберг,魏因贝格,vaynberg
скобцева,斯科布采娃,skobceva
цатевич,沙特维奇,catevich
торбинский,托尔宾斯基,torbinskiy
оганес,霍汉尼斯,oganes
гоарян,高哈里安,goaryan
джамал,德扎马尔,dzhamal
отарсултанов,奥塔苏尔塔诺夫,otarsultanov
ахмат,艾哈迈德,ahmat
стечкин,斯捷奇金,stechkin
алексеева,阿列克谢耶娃,alekseeva
корикова,科里科娃,korikova
федорченко,费多尔琴科,fedorchenko
глазьев,格拉济耶夫,glazev
карина,卡林娜,karina
разумовская,拉祖莫夫斯卡娅,razumovskaya
галкина,加尔金娜,galkina
ваганова,瓦岗诺娃,vaganova
синайский,西奈斯基,sinayskiy
хаджимурат,哈吉穆拉特,hadzhimurat
аккаев,阿卡耶夫,akkaev
светличная,斯维特利奇娜娅,svetlichnaya
лунгин,龙金,lungin
цзю,茨祖,czyu
трошев,特罗雪夫,troshev
шеригоол,舍里古尔,sherigool
ооржак,乌尔扎克,oorzhak
трошин,特罗申,troshin
селезнёв,谢列兹尼奥夫,seleznyov
спесивцев,斯佩西夫采夫,spesivcev
карэн,卡伦,karen
хачатурян,哈恰图良,hachaturyan
жижикин,捷积坚尼,zhizhikin
марлен,马连,marlen
хуциев,胡齐耶夫,huciev
семшов,塞姆绍夫,semshov
джабар,贾巴尔,dzhabar
аскеров,阿斯克罗夫,askerov
баков,巴科夫,bakov
иоланда,伊奥兰达,iolanda
евгеньевна,耶夫盖尼耶夫娜,evgenevna
чен,陈,chen
евтушенко,叶夫图申科,evtushenko
шубенков,舒本科夫,shubenkov
сычёв,瑟乔夫,sychyov
вертинская,维尔金斯卡娅,vertinskaya
гоша,戈莎,gosha
куценко,库琴科,kucenko
хакамада,袴田,hakamada
шуфутинский,舒夫廷斯基,shufutinskiy
костомаров,科斯托马罗夫,kostomarov
романова,弗拉基米洛夫娜,romanova
руслан,鲁斯兰,ruslan
имранович,伊姆拉诺维奇,imranovich
хасбулатов,哈斯布拉托夫,hasbulatov
лебедь,列别德,lebed
чирикова,奇里科娃,chirikova
гребенщиков,格列边希科夫,grebenshchikov
арбачаков,阿尔巴卡科夫,arbachakov
лимонов,利莫诺夫,limonov
артамонов,阿尔塔莫诺夫,artamonov
цуканов,祖甘诺夫,cukanov
лончаков,隆恰科夫,lonchakov
аринбасарова,阿瑞巴莎诺瓦,arinbasarova
пригов,普里戈夫,prigov
тина,蒂娜,tina
канделаки,坎德拉基,kandelaki
теодор,提奥多,teodor
курентзис,库伦奇思,kurentzis
ходченкова,霍德琴科娃,hodchenkova
данилович,丹尼洛维奇,danilovich
кирьяков,基里亚科夫,kiryakov
бахтиёр,柏提,bahtiyor
худойназаров,古杜纳佐诺夫,hudoynazarov
злобин,兹洛宾,zlobin
никулин,尼库林,nikulin
артюхин,阿蒂育空,artyuhin
викторович,维克托罗维奇,viktorovich
бережко,别列日科,berezhko
поздняков,波兹德尼亚科夫,pozdnyakov
лундстрем,伦德斯特列姆,lundstrem
леваев,里维夫,levaev
митта,米塔,mitta
коков,科科夫,kokov
тишанин,季沙宁,tishanin
лапшин,拉普申,lapshin
минько,明科,minko
киселёв,基谢廖夫,kiselyov
штефанко,斯特凡,shtefanko
сидорова,西多罗娃,sidorova
морозевич,莫洛泽维奇,morozevich
шаронов,沙罗诺夫,sharonov
смирнов,斯米尔诺夫,smirnov
турсунов,图尔苏诺夫,tursunov
аниш,阿尼什,anish
гири,吉里,giri
сенкевич,森克维奇,senkevich
крапивин,克拉皮温,krapivin
измайлов,伊兹迈洛夫,izmaylov
языков,亚济科夫,yazykov
байрамов,拜拉莫夫,bayramov
сурков,苏尔科夫,surkov
близнюк,布丽茨尤克,bliznyuk
канчельскис,坎切尔斯基,kanchelskis
панцов,潘佐夫,pancov
семак,谢马克,semak
ищенко,伊什琴科,ishchenko
онопко,奥诺普科,onopko
шунин,舒宁,shunin
тихонов,吉洪诺夫,tihonov
шенин,舍宁,shenin
чуркин,丘尔金,churkin
баскаков,巴斯卡科夫,baskakov
боярский,博亚尔斯基,boyarskiy
андриян,安德里扬,andriyan
николаев,尼古拉耶夫,nikolaev
шпак,什帕克,shpak
скардино,斯卡尔迪诺,skardino
веселаго,韦谢拉戈,veselago
рагулин,拉古林,ragulin
мовсар,莫夫萨尔,movsar
бухариевич,布哈里耶维奇,buharievich
бараев,巴拉耶夫,baraev
мордашов,莫尔达绍夫,mordashov
рустэм,鲁斯捷姆,rustem
хамитов,哈米托夫,hamitov
дибирова,波尔托拉茨卡娅,dibirova
янковский,扬科夫斯基,yankovskiy
шувалов,舒瓦洛夫,shuvalov
степашин,斯捷帕申,stepashin
харин,哈林,harin
сёмин,肖明,syomin
ширяев,什尔亚耶夫,shiryaev
кирсан,基尔桑,kirsan
илюмжинов,伊柳姆日诺夫,ilyumzhinov
гроссман,格罗斯曼,grossman
глазунов,格拉祖诺夫,glazunov
маслюков,马斯柳科夫,maslyukov
седых,谢迪赫,sedyh
набабкин,纳巴布金,nababkin
руцкой,鲁茨科伊,ruckoy
лобов,罗伯夫,lobov
порсев,波塞夫,porsev
муратов,穆拉托夫,muratov
анкваб,安克瓦布,ankvab
шаталов,沙塔洛夫,shatalov
невинный,涅温尼,nevinnyy
фетисов,费迪索夫,fetisov
стародубцев,斯塔罗杜布采夫,starodubcev
грищук,格里斯丘克,grishchuk
бут,布特,but
крикалёв,克里卡列夫,krikalyov
келдыш,克尔德什,keldysh
михельсон,米赫尔松,mihelson
козьмич,科兹米奇,kozmich
налич,纳利奇和朋友们,nalich
ваганович,瓦加诺维奇,vaganovich
петросян,彼得罗相,petrosyan
гайдай,盖代,gayday
воротников,沃罗特尼科夫,vorotnikov
джонс,钟斯,dzhons
алиев,阿利耶夫,aliev
вдовиченков,弗多维琴科夫,vdovichenkov
хряпа,卡亚帕,hryapa
калоев,卡罗耶夫,kaloev
алдонин,艾杜连,aldonin
коротышкин,科罗特什金,korotyshkin
криштоп,克里什托普,krishtop
бакулин,巴库林,bakulin
ковалёнок,科瓦廖诺克,kovalyonok
литвинов,李维诺夫,litvinov
быстров,巴斯托夫,bystrov
окуньков,奥昆科夫,okunkov
дерипаска,杰里帕斯卡,deripaska
слонимский,斯洛尼姆斯基,slonimskiy
али,阿卢,ali
алханов,阿尔哈诺夫,alhanov
манаков,马纳科夫,manakov
юнусбек,尤努斯别克,yunusbek
евкуров,叶夫库罗夫,evkurov
крылатов,克里拉托夫,krylatov
балабанов,巴拉巴诺夫,balabanov
хан,汗,han
балуевский,巴卢耶夫斯基,baluevskiy
франк,弗兰克,frank
эдуардович,爱德华多维奇,eduardovich
сердюков,谢尔久科夫,serdyukov
гудков,古德科夫,gudkov
глушаков,格卢沙科夫,glushakov
галкин,加尔金,galkin
магомедсалам,马格米萨拉姆,magomedsalam
кузьмин,库兹敏,kuzmin
амисулашвили,阿米萨拉什维利,amisulashvili
ролан,罗兰,rolan
пичушкин,皮丘希金,pichushkin
чебриков,切布里科夫,chebrikov
христенко,赫里斯坚科,hristenko
третьяк,特雷蒂亚克,tretyak
гранат,格拉纳特,granat
вик,维克,vik
уайлд,维尔德,uayld
миронова,米罗诺娃,mironova
судьбин,苏德宾,sudbin
гурлукович,古鲁科维奇,gurlukovich
таланкин,塔兰金,talankin
хабенский,卡班斯基,habenskiy
морис,莫里斯,moris
лапидус,拉皮迪斯,lapidus
медведчук,梅德韦丘克,medvedchuk
смолов,斯莫罗夫,smolov
кардашёв,卡尔达肖夫,kardashyov
шалимов,沙利莫夫,shalimov
аскольдов,阿斯寇多夫,askoldov
долина,多利纳,dolina
вильям,威廉,vilyam
похлёбкин,波赫列布金,pohlyobkin
собянин,索比亚宁,sobyanin
рошал,罗谢尔,roshal
муху,穆胡,muhu
бельков,贝尔科夫,belkov
такшина,塔克希娜,takshina
симеон,谢苗,simeon
полоцкий,波洛茨基,polockiy
харитон,哈里顿,hariton
дворкович,德沃尔科维奇,dvorkovich
бухаров,布哈罗夫,buharov
чакветадзе,恰克韦塔泽,chakvetadze
талгат,塔尔加特,talgat
мусабаев,穆萨巴耶夫,musabaev
феоктистов,费奥科迪斯托夫,feoktistov
кейлисборок,凯利斯波洛克,keylisborok
шолбан,绍尔班,sholban
караоол,卡拉乌尔,karaool
борзаковский,博尔扎科夫斯基,borzakovskiy
сорокин,索罗金,sorokin
марианна,玛丽安娜,marianna
максимовская,马克西莫夫斯卡娅,maksimovskaya
астафьев,阿斯塔菲耶夫,astafev
арбатов,阿尔巴托夫,arbatov
кочеткова,科切特科娃,kochetkova
щелканов,谢尔卡诺夫,shchelkanov
новицкий,诺维斯基,novickiy
гурий,古里,guriy
марчук,马尔丘克,marchuk
меньшиков,缅希科夫,menshikov
эргартович,叶加尔托维奇,ergartovich
россель,罗塞尔,rossel
майкл,迈克尔,maykl
лукас,卢卡斯,lukas
бугаев,布加耶夫,bugaev
воронцов,沃伦特索夫,voroncov
новиков,诺维科夫,novikov
эдгар,埃德加,edgar
приб,普里布,prib
термен,特雷门,termen
цукановакотт,茨卡诺瓦,cukanovakott
брумель,布鲁梅尔,brumel
листьев,利斯季耶夫,listev
базаревич,巴扎尔耶维奇,bazarevich
мозякин,莫扎金,mozyakin
якеменко,亚克缅科,yakemenko
окунь,奥昆,okun
швед,舍维德,shved
родионов,拉奇奥诺夫,rodionov
янукович,亚努科维奇,yanukovich
каряка,卡里亚卡,karyaka
хворостовский,霍洛斯托夫斯基,hvorostovskiy
бастрыкин,巴斯特雷金,bastrykin
назаренко,纳扎仁科,nazarenko
рябова,里亚博娃,ryabova
темникова,杰姆尼科娃,temnikova
кара,卡拉,kara
ренат,雷纳塔,renat
ибрагимов,易卜拉欣莫,ibragimov
бордюжа,博尔久扎,bordyuzha
шейн,沙恩,sheyn
перкинс,珀金斯,perkins
спиваков,斯皮瓦科夫,spivakov
кульков,库里括夫,kulkov
жжёнов,日茹诺夫,zhzhyonov
ахрик,艾赫利克,ahrik
цвейба,茨维巴,cveyba
будыко,布迪科,budyko
аджубей,阿朱别伊,adzhubey
бехтерева,贝赫捷列娃,behtereva
тимур,铁木尔,timur
бекмамбетов,贝克曼比托夫,bekmambetov
игнатьев,伊格纳季耶夫,ignatev
германович,格尔马诺维奇,germanovich
силуанов,西卢安诺夫,siluanov
мудрик,穆德里克,mudrik
дементьев,德门季耶夫,dementev
хазанов,哈萨诺威,hazanov
баталов,巴塔洛夫,batalov
деревянко,杰列维扬科,derevyanko
маленченко,马连琴科,malenchenko
буяновский,布亚诺夫斯基,buyanovskiy
теймураз,泰穆拉兹,teymuraz
габашвили,加巴什维利,gabashvili
капранов,卡普拉诺夫,kapranov
кинчев,金奇维,kinchev
домогаров,多莫加罗夫,domogarov
чумаков,楚马科夫,chumakov
каноков,卡诺科夫,kanokov
таисия,泰西娅,taisiya
повалий,波瓦尔利,povaliy
джугашвили,朱加什维利,dzhugashvili
гарри,加里,garri
бардин,巴尔丁,bardin
горин,戈林,gorin
бабурин,巴布林,baburin
сихарулидзе,西哈鲁利泽,siharulidze
резник,雷兹尼克,reznik
меньшикова,门希科瓦,menshikova
десятников,戴西亚特尼科夫,desyatnikov
маликов,马里科夫,malikov
ник,尼克,nik
перумов,佩鲁莫夫,perumov
укк,乌卡卡,ukk
муравьёва,穆拉维耶娃,muravyova
броневой,布罗涅沃伊,bronevoy
карлин,卡林,karlin
швейцер,施韦泽,shveycer
миткова,米特科娃,mitkova
парфёнов,帕尔菲奥诺夫,parfyonov
афанасьева,阿法纳西耶娃,afanaseva
губенко,古边科,gubenko
беглов,别格洛夫,beglov
збруев,兹布吕耶夫,zbruev
позгалёв,波兹加廖夫,pozgalyov
антонов,安东诺夫,antonov
тахтаджян,塔赫塔江,tahtadzhyan
юрчихин,雅奇金,yurchihin
велько,韦利科,velko
кадиевич,卡迪耶维奇,kadievich
устюгов,乌斯秋戈夫,ustyugov
ильич,伊里奇,ilich
тайманов,泰马诺夫,taymanov
горбатко,戈尔巴特科,gorbatko
ерохин,亚历山大,erohin
ерёменко,叶廖缅科,eryomenko
остроумова,奥斯特罗乌莫娃,ostroumova
митяев,米佳耶夫,mityaev
гафт,佳夫特,gaft
этуш,埃图什,etush
заворотнюк,扎沃罗特纽克,zavorotnyuk
гвердцители,格维尔济介里,gverdciteli
крылов,克雷洛夫,krylov
бурляев,布尔利亚耶夫,burlyaev
лановой,兰诺沃依,lanovoy
светозаров,斯韦托扎罗夫,svetozarov
шагалова,莎加洛娃,shagalova
николаенко,尼科拉恩科,nikolaenko
ервандович,叶尔万多维奇,ervandovich
кургинян,库尔吉扬,kurginyan
жук,祖克,zhuk
бурцев,布尔采夫,burcev
гармаш,加尔马什,garmash
буковский,布科夫斯基,bukovskiy
рашид,拉希德,rashid
нургалиев,努尔加利耶夫,nurgaliev
литвинова,利特维诺娃,litvinova
меткина,麦金娜,metkina
кир,柯,kir
булычёв,布利乔夫,bulychyov
евсеев,埃夫塞夫,evseev
радченко,拉德琴科,radchenko
ливанов,利瓦诺夫,livanov
колобнев,科洛布涅夫,kolobnev
меладзе,梅拉德泽,meladze
некрасов,涅克拉索夫,nekrasov
соловей,索洛维,solovey
друбич,德鲁比奇,drubich
мозгов,莫兹戈夫,mozgov
егоров,叶戈罗夫,egorov
кизим,奇兹米,kizim
хиль,吉尔,hil
арбенина,阿贝尼纳,arbenina
жванецкий,日瓦涅茨基,zhvaneckiy
сафонова,萨福诺娃,safonova
затулин,扎特林,zatulin
мартынович,马丁诺维奇,martynovich
веретенников,维雷杰尼科夫,veretennikov
петренко,彼得连科,petrenko
сурганова,苏尔加诺娃,surganova
абдурахман,阿卜杜拉赫曼,abdurahman
авторханов,阿夫托尔汉诺夫,avtorhanov
кот,科特,kot
аранович,阿拉诺维奇,aranovich
гусман,古斯曼,gusman
зурабов,祖拉博夫,zurabov
шапошников,沙波什尼科夫,shaposhnikov
хотиненко,霍季年科,hotinenko
долгих,多尔吉赫,dolgih
михалкова,米哈尔科娃,mihalkova
солонин,索洛宁,solonin
яковлевич,雅科夫列维奇,yakovlevich
бакланов,巴克拉诺夫,baklanov
ляйсан,利亚桑,lyaysan
утяшева,乌蒂亚谢娃,utyasheva
фарход,法尔霍德,farhod
васиев,瓦谢耶夫,vasiev
бовин,鲍文,bovin
гаев,加耶夫,gaev
баркашов,巴尔卡绍夫,barkashov
скляр,斯克利亚尔,sklyar
шакуров,沙库洛夫,shakurov
краско,克拉斯科,krasko
яковлева,雅科夫列娃,yakovleva
пореченков,波列琴科夫,porechenkov
евтушенков,叶夫图申科夫,evtushenkov
олегович,奥列格维奇,olegovich
авен,埃文,aven
пороховщиков,波罗霍夫什奇科夫,porohovshchikov
булдаков,布尔达科夫,buldakov
анофриев,阿诺弗里耶夫,anofriev
афонин,阿福宁,afonin
немцов,涅姆佐夫,nemcov
котёночкин,科琼诺奇金,kotyonochkin
рудольф,鲁道夫,rudolf
баршай,巴尔沙伊,barshay
серебров,谢列布罗夫,serebrov
белявский,贝里亚夫斯奇,belyavskiy
яковенко,雅科文科,yakovenko
береговой,贝雷戈瓦,beregovoy
скуратов,斯库拉托夫,skuratov
тихон,吉洪,tihon
хренников,赫连尼科夫,hrennikov
балл,波,ball
щетинина,谢季宁娜,shchetinina
пичул,皮楚尔,pichul
минтимер,明季梅尔,mintimer
шарипович,沙里波维奇,sharipovich
шаймиев,沙伊米耶夫,shaymiev
лерика,莱里卡,lerika
концевич,孔采维奇,koncevich
пацкевич,帕茨克维奇,packevich
меседа,梅塞达,meseda
багаудинова,贝戈迪诺瓦,bagaudinova
эммануэль,埃米尔,emmanuel
брагинский,布拉金斯基,braginskiy
ахсарбек,阿赫萨尔别克,ahsarbek
хаджимурзаевич,哈吉穆尔扎耶维奇,hadzhimurzaevich
галазов,加拉佐夫,galazov
байдачный,拜达奇尼,baydachnyy
падалка,帕达尔卡,padalka
летов,莱托夫,letov
богораз,波哥拉兹,bogoraz
алёшин,阿列申,alyoshin
бурбулис,布尔布利斯,burbulis
крунич,古努尼克,krunich
цискаридзе,齐斯卡里泽,ciskaridze
крутой,克鲁托伊,krutoy
курбан,古尔班,kurban
бердыев,贝尔迪耶夫,berdyev
миронов,米罗诺夫,mironov
макашов,马卡绍夫,makashov
валдис,瓦尔迪斯,valdis
эйженович,艾热诺维奇,eyzhenovich
пельш,佩尔什,pelsh
эдмонд,埃德蒙,edmond
феклисов,费克利索夫,feklisov
трифонов,特里福诺夫,trifonov
филиппов,菲利波夫,filippov
красова,克拉索娃,krasova
седов,赛德伍,sedov
лолита,洛莉塔,lolita
милявская,米亚维斯卡亚,milyavskaya
кулиджанов,库利扎诺夫,kulidzhanov
баранников,巴兰尼科夫,barannikov
тодоровский,托多洛夫斯基,todorovskiy
илизаров,伊里扎洛夫,ilizarov
рапота,拉波塔,rapota
дуркин,杜尔金,durkin
каун,考恩,kaun
чичерина,奇切里纳,chicherina
буцаев,布沙耶夫,bucaev
баренблатт,巴伦布拉特,barenblatt
кобец,科别茨,kobec
бероев,别罗耶夫,beroev
мартынов,马丁诺夫,martynov
голованова,阿尔汉格尔斯卡亚,golovanova
деникина,邓尼金娜,denikina
снигирь,斯尼吉尔,snigir
вассерман,瓦瑟曼,vasserman
махмут,马赫穆特,mahmut
ахметович,艾哈迈托维奇,ahmetovich
гареев,加列耶夫,gareev
невзоров,涅夫佐罗夫,nevzorov
пионтковский,皮翁特科夫斯基,piontkovskiy
богословский,博戈斯洛夫斯基,bogoslovskiy
миансарова,米安萨罗娃,miansarova
школьник,什科尔尼克,shkolnik
звонарёва,兹沃纳列娃,zvonaryova
караулов,卡劳洛夫,karaulov
фортов,福尔托夫,fortov
чекасин,切卡西纳斯,chekasin
чазов,恰佐夫,chazov
лапиков,拉皮科夫,lapikov
берл,贝雷尔,berl
лазар,拉扎尔,lazar
груздев,格鲁兹杰夫,gruzdev
эфрос,埃夫罗斯,efros
логинов,洛吉诺夫,loginov
холево,霍尔沃,holevo
смертин,斯梅尔金,smertin
немов,涅莫夫,nemov
бугорский,布戈尔斯基,bugorskiy
серебренников,谢列布连尼科夫,serebrennikov
зимянин,齐米亚宁,zimyanin
носков,诺斯科夫,noskov
чилингаров,阿尔图尔,chilingarov
маркунцев,马坤特索夫,markuncev
меркурьев,麦克尔耶夫,merkurev
пасечник,帕谢奇尼克,pasechnik
ульянов,乌里扬诺夫,ulyanov
геворк,格沃尔克,gevork
вартанян,瓦尔塔尼扬,vartanyan
быков,贝科夫,bykov
алипов,阿利波夫,alipov
ткачёв,特卡乔夫,tkachyov
почепа,波奇帕,pochepa
копин,科平,kopin
альбина,奥宾娜,albina
джанабаева,桑娜贝瓦,dzhanabaeva
хрулёв,赫鲁廖夫,hrulyov
джигурда,吉古尔达,dzhigurda
бутиков,布提科夫,butikov
эмиль,埃米尔,emil
лотяну,洛泰纳,lotyanu
баландин,贝里亚夫斯奇,balandin
роланд,罗兰,roland
добрушин,多布鲁申,dobrushin
дацюк,达祖克,dacyuk
иннокентий,因诺肯季,innokentiy
смоктуновский,斯莫克图诺夫斯基,smoktunovskiy
шатунов,沙图诺夫,shatunov
алимжан,阿里木江,alimzhan
турсунович,吐尔逊诺维奇,tursunovich
тохтахунов,托合塔洪诺夫,tohtahunov
данелия,达涅利亚,daneliya
макин,马金尼,makin
цекало,茨卡洛,cekalo
кобзон,卡布松,kobzon
янин,亚宁,yanin
елисеев,叶利谢耶夫,eliseev
чернышёв,车尔尼雪夫,chernyshyov
левичев,列维切夫,levichev
