inna,茵娜
bârsănești,伯尔格瑟内什蒂乡
bârgăuani,伯尔格瓦尼乡
bicazchei,比卡兹凯乡
balcani,巴尔卡尼乡
bârna,伯尔纳乡
vârfuri,沃尔富里乡
bertea,贝尔泰亚乡
beriu,贝里乌乡
belinț,贝林茨乡
cărbunești,克尔布内什蒂乡
călugăreni,克卢格雷尼乡
șibot,希博特乡
birda,比尔达乡
bethausen,贝特哈乌森乡
jucu,约库
dobra,多布拉乡
adevărul,阿德瓦鲁尔
balinț,巴林茨乡
dofteana,多夫泰亚纳乡
bistra,比斯特拉乡
blăjeni,布勒热尼乡
densuș,登苏什乡
bărcănești,伯尔克内什蒂乡
banloc,班洛克乡
dalnic,达尔尼克乡
drajna,德拉伊纳乡
saturn,萨图恩
tătărani,特特拉尼乡
dolhești,多尔海什蒂乡
drăgănești,德勒格内什蒂乡
săhăteni,瑟赫泰尼乡
vidra,维德拉
balaciu,巴拉丘乡
brazi,布拉济乡
ciorogârla,乔罗格尔拉乡
adâncata,阿登卡塔乡
bordești,博尔代什蒂乡
chiojdeanca,基奥伊代安卡乡
strei,斯特雷
vârteșcoiu,沃尔泰什科尤乡
ploscuțeni,普洛斯库采尼乡
vizantealivezi,维赞泰亚利韦济乡
holbav,霍尔巴夫乡
bucov,布科夫乡
bățani,伯察尼乡
biled,比莱德乡
checea,凯恰乡
câlnic,克尔尼克乡
banca,班卡乡
poșaga,波沙加乡
cotuș,科图什
bran,布兰
brestovăț,布雷斯托沃茨乡
ghimeșfăget,吉梅什弗杰特乡
agapia,阿加皮亚乡
salcia,萨尔恰乡
ciolănești,乔勒内什蒂乡
măneciu,默内丘乡
cenad,切纳德乡
cornu,科尔努乡
agigea,阿吉贾乡
ludești,卢代什蒂乡
trotuș,特罗图什河谷
târnava,塔纳瓦
mică,米卡
bucovăț,布科沃茨乡
liești,列什蒂
sărulești,瑟鲁莱什蒂乡
pipera,丕巴赫
cergău,切尔格乌乡
hobița,霍比察
boldeștigradiștea,博尔代什蒂格勒迪什泰亚乡
boldur,博尔杜尔乡
sărățel,萨拉特尔
rădoiești,勒多耶什蒂乡
șotrile,绍特里莱乡
solocma,索罗科马
potlogi,波特洛吉乡
merei,梅雷伊乡
mera,梅拉乡
năruja,讷鲁亚乡
horgești,霍尔杰什蒂乡
măeriște,默埃里什泰乡
comăna,科默纳乡
milcovul,米尔科武尔乡
brănișca,布勒尼什卡乡
găiceana,格伊恰纳乡
borș,博尔什乡
gorgota,戈尔戈塔乡
agăș,阿格什乡
garoafa,加罗阿法乡
boșorod,博绍罗德乡
minimax,匈牙利极小电视台
camăr,卡默尔乡
robănești,罗伯内什蒂乡
borod,博罗德乡
gârleni,格尔莱尼乡
baia,巴亚乡
tanacu,塔纳库乡
răchitoasa,勒基托阿萨乡
florești,弗洛雷什蒂乡
ardeoani,阿尔代瓦尼乡
parincea,帕林恰乡
teliu,泰利乌乡
nereju,内雷茹乡
brănești,布纳内什蒂
săvârșin,瑟沃尔欣乡
almăj,阿尔默日乡
stângăceaua,斯滕格恰瓦乡
roșiești,罗谢什蒂乡
bârsești,伯尔塞什蒂乡
pucheni,普凯尼乡
ciucurova,丘库罗瓦乡
brusturi,布鲁斯图里乡
abram,阿布拉姆乡
cărpiniș,克尔皮尼什乡
dudaepureni,杜达埃普雷尼乡
gornești,格尼耶塞格
albeștipaleologu,阿尔贝什蒂帕莱奥洛古乡
viișoara,维什瓦拉乡
vețel,韦采尔乡
băleni,伯莱尼乡
cenade,切纳德乡
prejmer,普雷日梅尔
bârsău,伯尔瑟乌德乡
tâmboești,滕博埃什蒂乡
tătăranu,鞑靼拉努乡
pârgărești,珀尔格雷什蒂乡
albac,阿尔巴克
crângurile,克伦古里莱乡
buciumeni,布丘梅尼乡
oituz,欧伊图兹
hoghiz,霍吉兹乡
racoș,拉科什乡
cața,卡察乡
vulcanabăi,武尔卡纳伯伊乡
lădești,勒代什蒂乡
cârjiți,克尔日齐乡
modelu,莫代卢乡
ruginești,鲁吉内什蒂乡
solonț,索隆茨乡
vânjuleț,文茹莱茨乡
mândra,门德拉乡
talpa,塔尔帕乡
negrilești,内格里莱什蒂乡
sânpetru,圣彼得鲁乡
părău,珀勒乌乡
bunești,布内什蒂乡
crizbav,克里兹巴夫乡
apața,阿帕察乡
gurasada,古拉萨达乡
sârbiimăgura,瑟尔比默古拉乡
curcani,库尔卡尼乡
balotești,巴洛泰什蒂乡
homoroade,霍莫罗阿代乡
plenița,普莱尼察乡
sarmizegetusa,萨尔米泽杰图萨乡
ghelari,盖拉里乡
gornetcricov,戈尔内特克里科夫乡
tărlungeni,特尔伦杰尼乡
uliești,乌列什蒂乡
golești,戈莱什蒂乡
dornaarini,多尔纳阿里尼乡
sântămăriaorlea,圣特默里亚奥尔莱亚乡
pui,普伊乡
olari,奥拉里乡
perișani,佩里沙尼乡
ștefești,什泰费什蒂乡
drăgăneștivlașca,德勒格内什蒂弗拉什卡乡
crucea,克鲁恰乡
sângeru,圣杰鲁乡
râfov,勒福夫乡
hărău,赫勒乌乡
aștileu,阿什蒂莱乌乡
dumbrava,敦布拉瓦乡
păulești,珀乌莱什蒂乡
teișani,泰伊沙尼乡
iordăcheanu,伊奥尔德凯亚努乡
bahna,巴赫纳乡
sălciile,瑟尔西莱乡
secăria,塞克里亚乡
predealsărari,普雷代亚尔瑟拉里乡
nănești,讷内什蒂乡
culciu,库尔丘乡
ruginoasa,鲁吉诺阿萨乡
lipănești,利珀内什蒂乡
hârseni,赫尔塞尼乡
șoimari,绍伊米里乡
măgureni,默古雷尼乡
moftin,莫夫廷乡
bodești,博代什蒂乡
ulmi,乌尔米乡
telega,泰莱加乡
plopu,普洛普乡
bălțătești,伯尔策泰什蒂乡
pădina,大珀迪纳乡
tomșani,塔姆沙尼乡
vărbilău,沃尔比勒乌乡
balta,巴尔塔乡
orlești,奥尔莱什蒂乡
bezdead,贝兹代亚德乡
dumbrăvița,敦布勒维察乡
dănicei,德尼切伊乡
țifești,齐费什蒂乡
cacica,卡奇卡乡
stroești,斯特罗埃什蒂乡
luica,卢伊卡乡
șinca,欣卡乡
ciomăgești,乔默杰什蒂乡
pietrari,彼得拉里乡
drăgești,德勒杰什蒂乡
mătăsaru,默特萨鲁乡
vulturești,武尔图雷什蒂乡
lisa,利萨乡
răzvad,勒兹瓦德乡
cașin,卡欣乡
tamași,塔马希乡
raciu,拉丘乡
dragomireștivale,德拉戈米雷什蒂瓦莱乡
priponești,普里波内什蒂乡
homorod,霍莫罗德乡
tomești,托梅什蒂乡
moroeni,莫罗埃尼乡
râmeț,勒梅茨乡
cernătești,切尔讷泰什蒂乡
măgura,默古拉乡
vișani,维沙尼乡
parava,帕拉瓦乡
palanca,帕兰卡乡
răchitova,勒基托瓦乡
pârjol,珀尔若尔乡
sascut,萨斯库特乡
mărgineni,默尔吉内尼乡
sărata,瑟拉塔乡
ucea,乌恰乡
coșoveni,科绍韦尼乡
bistreț,比斯特雷茨乡
sălcioara,瑟尔乔阿拉乡
cosâmbești,科圣贝什蒂乡
săbăreni,瑟伯雷尼乡
tulucești,图卢切什蒂乡
mărăcineni,默勒奇内尼乡
bilciurești,比尔丘雷什蒂乡
turdaș,图尔达什乡
platonești,普拉托内什蒂乡
scânteiești,斯肯泰耶什蒂乡
sinești,锡内什蒂乡
bărăști,伯勒什蒂乡
păușeștimăglași,珀乌谢什蒂默格拉希乡
optașimăgura,奥普塔希默古拉乡
sâmburești,森布雷什蒂乡
milcov,米尔科夫乡
scânteia,斯肯泰亚乡
șirna,锡尔纳乡
negri,内格里乡
filipeni,菲利佩尼乡
sărățeni,瑟勒采尼乡
sohatu,索哈图乡
lunca,伦卡乡
gârnic,格尔尼克乡
strejești,斯特雷热什蒂乡
scorțeni,斯科尔采尼乡
padeș,帕代什乡
bolotești,博洛泰什蒂乡
vrâncioaia,弗伦乔阿亚乡
cornățelu,科尔讷泰卢乡
pietroasele,皮耶特罗阿塞莱乡
câineni,克伊内尼乡
bratca,布拉特卡乡
sânmartin,圣马丁乡
bogdănești,博格德内什蒂乡
buduslău,布杜斯勒乌乡
tărtășești,特尔特谢什蒂乡
lungulețu,伦古莱图乡
itești,伊特什蒂乡
țițești,茨采什蒂乡
drăgotești,德勒戈泰什蒂乡
dobrești,多布雷什蒂乡
șuletea,舒莱泰亚乡
amaru,阿马鲁乡
voicești,沃伊切什蒂乡
boțești,博采什蒂乡
cepari,切帕里乡
apostolache,阿波斯托拉凯乡
stoicănești,斯托伊克内什蒂乡
vișina,维希纳乡
petreu,阿布勒穆茨乡
mihăești,米赫埃什蒂乡
dămienești,德米耶内什蒂乡
vedea,韦代亚乡
căiuți,克尤齐乡
cleja,克莱扎乡
huruiești,胡鲁耶什蒂乡
bereștibistrița,贝雷什蒂比斯特里察乡
pietroșani,彼得罗沙尼乡
șelimbăr,谢林伯尔乡
mărtinești,默尔蒂内什蒂乡
doicești,多伊切什蒂乡
finta,芬塔乡
glodeni,格洛代尼乡
cocu,科库乡
covăsânț,科沃圣茨乡
uda,乌达乡
belciugatele,贝尔丘加泰莱乡
adunați,阿杜纳蒂乡
luizicălugăra,卢济克卢格拉乡
lehliu,莱赫柳乡
bucșani,布克沙尼乡
vlădești,弗勒代什蒂乡
vorța,沃尔察乡
boghești,博盖什蒂乡
ticușu,蒂库舒乡
buneștiaverești,布内什蒂阿韦雷什蒂乡
galbenu,加尔贝努乡
popești,波佩什蒂乡
ulpia,乌尔比亚
traiana,图拉亚那
prislav,别列雅斯拉维茨
crăiești,克勒耶什蒂乡
dorobanțu,多罗班楚乡
batăr,巴特尔乡
vernești,韦尔内什蒂乡
mărașu,默拉舒乡
robeasca,罗贝亚斯卡乡
surdilagăiseanca,苏尔迪拉格伊塞安卡乡
calvini,卡尔维尼乡
pâncești,彭切什蒂乡
rușețu,鲁谢楚乡
romanu,罗马努乡
giulvăz,久尔沃兹乡
produlești,普罗杜莱什蒂乡
husnicioara,胡斯尼乔阿拉乡
tursib,图锡布
jirlău,日尔勒乌乡
recea,雷恰乡
vârtop,沃尔托普
berghin,贝尔金乡
godeni,戈代尼乡
cănești,克内什蒂乡
chiscani,基斯卡尼乡
râmnicelu,勒姆尼切卢乡
nucșoara,努克什瓦拉乡
giulești,久莱什蒂乡
mioarele,米瓦雷莱乡
budeasa,布迪亚萨乡
coțofănești,科措弗内什蒂乡
bereștitazlău,贝雷什蒂塔兹勒乌乡
trifești,特里费什蒂乡
padina,帕迪纳乡
berca,贝尔卡乡
brădeanu,布勒迪亚努乡
cornești,科尔内什蒂乡
măxineni,默克西内尼乡
zăvoaia,泽瓦亚乡
gemenele,杰梅内莱乡
șoimuș,绍伊穆什乡
totești,托泰什蒂乡
zăbrani,泽布拉尼乡
șoldanu,绍尔达努乡
siriu,锡里乌乡
cincu,钦库乡
hălchiu,赫尔基乌乡
vâlcelele,沃尔切莱莱乡
mogoșani,莫戈沙尼乡
malaia,马拉亚乡
feldioara,费尔迪瓦拉乡
bod,博德乡
biharia,比哈里
scutelnici,斯库泰尔尼奇乡
săgeata,瑟贾塔乡
tisău,蒂瑟乌乡
scorțoasa,斯科尔茨瓦萨乡
topliceni,托普利切尼乡
mărgăritești,默尔格里特什蒂乡
bozioru,布济奥鲁乡
voila,沃伊拉乡
brețcu,布雷茨库乡
ilia,伊利亚乡
podgoria,波德戈里亚乡
racovițeni,拉科维采尼乡
mânzălești,门泽莱什蒂乡
runcu,伦库乡
bâra,伯拉乡
surdilagreci,苏尔迪拉格雷奇乡
radovanu,拉多瓦努乡
vârlezi,沃尔莱济乡
ciocănești,乔克内什蒂乡
cobia,科比亚乡
vălenidâmbovița,沃莱尼登博维察乡
unirea,乌尼雷亚乡
bisoca,比索卡乡
pârscov,珀尔斯科夫乡
țintești,钦泰什蒂乡
perișoru,佩里绍鲁乡
mitreni,米特雷尼乡
galiciuica,加利西维卡乡
plătărești,普勒特雷什蒂乡
viperești,维佩雷什蒂乡
săpoca,瑟波察乡
moacșa,莫阿克沙乡
hărman,赫尔曼乡
ungra,温格拉乡
șotânga,绍滕加乡
spanțov,斯潘措夫乡
adășeni,阿德谢尼乡
vasilați,瓦西拉齐乡
gurbănești,古尔伯内什蒂乡
brezoaele,布雷佐阿埃莱乡
jegălia,热格利亚乡
lupșanu,卢普沙努乡
colonești,科洛内什蒂乡
blăgești,布勒杰什蒂乡
prăjești,普勒热什蒂乡
periș,佩里什乡
cornetu,科尔内图乡
corbeanca,科尔贝安卡乡
bengeșticiocadia,本杰什蒂乔卡迪亚乡
moieciu,莫耶丘乡
floreștistoenești,弗洛雷什蒂斯托埃内什蒂乡
orbeni,奥尔贝尼乡
secuieni,塞库耶尼乡
verbița,韦尔比察乡
urzicuța,乌尔济库察乡
jilava,伊希拉瓦
gruiu,格鲁尤乡
brateș,布拉泰什乡
șercaia,谢尔卡亚乡
pătulele,珀图莱莱乡
dobroești,多布罗埃什蒂乡
rebrișoara,雷布里什瓦拉乡
mogoșoaia,莫戈什瓦亚
corbasca,科尔巴斯卡乡
chiojdu,基奥伊杜乡
ciochina,乔基纳乡
bărăganul,伯勒加努尔乡
stăncuța,斯滕库察乡
frecăței,弗雷克采伊乡
domnești,多姆内什蒂乡
grădiștea,格勒迪什泰亚乡
niculești,尼库莱什蒂乡
zemeș,泽梅什乡
siliștea,锡利什泰亚乡
racovița,拉科维察乡
logrești,洛格雷什蒂乡
glogova,格洛戈瓦乡
ciocârlia,乔克尔利亚乡
muntenibuzău,蒙泰尼布泽乌乡
argetoaia,阿尔杰托阿亚乡
godeanu,戈迪亚努乡
dodești,多代什蒂乡
frumușița,弗鲁穆希察乡
corni,科尔尼乡
braniștea,布拉尼什泰亚乡
vădăstrița,沃德斯特里察乡
poduri,波杜里乡
plopana,普洛帕纳乡
stănișești,斯特尼谢什蒂乡
dichiseni,迪基塞尼乡
gârbovi,格尔博维乡
bordușani,博尔杜沙尼乡
stelnica,斯泰尔尼卡乡
fundeni,丰代尼乡
independența,独立乡
snagov,斯纳戈夫乡
crișcior,克里什乔尔乡
nistorești,尼斯托雷什蒂乡
câmpuri,肯普里乡
cuca,库卡乡
boghicea,博吉恰乡
dobrotești,多布罗泰什蒂乡
fârțănești,弗尔策内什蒂乡
racova,拉科瓦乡
smârdan,斯马尔丹乡
rediu,雷迪乌乡
rădulești,勒杜莱什蒂乡
andrășești,安德勒谢什蒂乡
iedera,耶代拉乡
petrăchioaia,佩特勒基瓦亚乡
cislău,奇斯勒乌乡
tunari,图纳里乡
văcărești,沃克雷什蒂乡
helegiu,海莱久乡
ivești,伊韦什蒂乡
sălcuța,瑟尔库察乡
rojiște,罗伊什泰乡
axintele,阿克辛泰莱乡
răcăciuni,勒古丘尼乡
găneasa,格内亚萨乡
lelese,莱莱塞乡
izvoarele,伊兹瓦雷莱乡
corbița,科尔比察乡
gâdinți,格丁茨乡
drăgușeni,德勒古谢尼乡
rădești,勒代什蒂乡
sălătrucel,瑟勒特鲁切尔乡
afumați,阿富马齐
vultureni,武尔图雷尼乡
ungureni,温古雷尼乡
glăvănești,格勒沃内什蒂乡
sălătrucu,瑟勒特鲁库乡
brăhășești,布勒赫谢什蒂乡
bereștimeria,贝雷什蒂梅里亚乡
bălășești,伯勒谢什蒂乡
arbore,阿尔博雷乡
hărmănești,赫尔默内什蒂乡
reviga,雷维加乡
județ,县
lăpușata,勒普沙塔乡
stâlpeni,斯特尔佩尼乡
săpata,瑟帕塔乡
arieșeni,阿列谢尼乡
filipești,菲利佩什蒂乡
cosmești,科斯梅什蒂乡
cavadinești,卡瓦迪内什蒂乡
nicorești,尼科罗什蒂乡
vânători,沃讷托里乡
stoenești,斯托埃内什蒂乡
frătești,弗勒泰什蒂乡
gălbinași,格尔比纳希乡
colibași,科利巴希乡
bărbulețu,伯尔布莱楚乡
vâlcele,沃尔切莱乡
isvoarele,伊斯瓦雷莱乡
vlădila,弗勒迪拉乡
voineasa,沃伊内亚萨乡
starchiojd,斯塔尔乔伊德乡
jugureni,茹古雷
hemeiuș,海梅尤什乡
vlădeni,弗勒代尼乡
budureasa,布杜雷亚萨乡
vădastra,沃达斯特拉乡
verguleasa,韦尔古莱亚萨乡
ciulnița,丘尔尼察乡
costișa,科斯蒂沙乡
vâlcănești,沃尔克内什蒂乡
cicănești,奇克内什蒂乡
bogați,博加茨乡
măgirești,默吉雷什蒂乡
cătina,克蒂纳乡
ulmu,乌尔穆乡
vulpeni,武尔佩尼乡
chiliile,基利莱乡
gherăseni,盖勒塞尼乡
davidești,达维代什蒂乡
moșoaia,莫什瓦亚乡
cetățeni,切特采尼乡
berzunți,贝尔尊蒂乡
negrași,内格拉希乡
brăduleț,布勒杜莱茨乡
bozieni,博济耶尼乡
șieu,谢乌乡
drăganu,德勒加努乡
buda,布达乡
largu,拉尔古乡
blăjani,布勒热尼乡
dudești,杜代什蒂乡
sudiți,苏迪齐乡
movilița,莫维利察乡
șuțești,舒采什蒂乡
brăești,布勒埃什蒂乡
cochirleanca,科基尔良卡乡
ciocile,乔西莱乡
boldu,博尔杜乡
murgești,穆尔杰什蒂乡
vârtoape,沃尔托阿佩乡
morărești,莫勒雷什蒂乡
mărunței,默伦采伊乡
bălilești,伯利莱什蒂乡
căldăraru,克尔德拉鲁乡
scărișoara,斯克里什瓦拉乡
unguriu,温古里乌乡
frumușani,弗鲁穆沙尼乡
vlădaia,弗勒达亚乡
borcea,博尔恰乡
cozieni,科济耶尼乡
petrești,彼得雷什蒂
cireșu,锡雷舒乡
orbeasca,奥尔贝亚斯卡乡
mereni,梅雷尼乡
moara,莫阿拉乡
tinosu,蒂诺苏乡
dobrețu,多布雷楚乡
dncb,首都环线
dumitrești,杜米特雷什蒂乡
pleșcuța,普莱什库察乡
războieni,勒兹博耶尼乡
sagna,萨格纳乡
frăsinet,弗勒西内特乡
curtișoara,库尔蒂什瓦拉乡
someșodorhei,苏梅什奥多尔海伊乡
lopătari,洛珀塔里乡
grebănu,格雷伯努乡
luciu,卢丘乡
mușătești,穆舍泰什蒂乡
beleținegrești,贝莱齐内格雷什蒂乡
miroși,米罗希乡
nadăș,纳德什
cârlogani,克尔洛加尼乡
măciuca,默丘卡乡
fărcașele,弗尔卡谢莱乡
dulcești,杜尔切什蒂乡
borănești,博勒内什蒂乡
roești,罗埃什蒂乡
jariștea,亚里什泰亚乡
clinceni,克林切尼乡
perșinari,佩尔希纳里乡
ghergheasa,盖尔盖亚萨乡
cilibia,奇利比亚乡
năeni,讷埃尼乡
vălișoara,沃利什瓦拉乡
topraisar,托普莱萨
buești,布埃什蒂乡
câmpineanca,肯皮内亚卡乡
sihlea,锡赫莱亚乡
gugești,古格什蒂乡
cârligele,克尔利杰莱乡
jitia,日蒂亚乡
romos,罗莫斯乡
drăgoești,德勒戈埃什蒂乡
stoilești,斯托伊莱什蒂乡
dochia,多基亚乡
străoane,斯特勒瓦内乡
răcoasa,默勒什蒂
borca,博尔卡乡
motoșeni,莫托谢尼乡
vulcanapandele,武尔卡纳潘代莱乡
grivița,格里维察乡
beceni,贝切尼乡
nimigea,尼米贾乡
mânăstirea,默讷斯蒂雷亚乡
odăile,奥德伊莱乡
vitomirești,维托米雷什蒂乡
făgețelu,弗杰采卢乡
rusănești,鲁瑟内什蒂乡
diculești,迪库莱什蒂乡
dăești,德埃什蒂乡
roșiile,罗希莱乡
urechești,乌雷凯什蒂乡
tulnici,图尔尼奇乡
tănăsoaia,特讷索阿亚乡
vulturu,武尔图鲁乡
chiojdeni,基奥伊代尼乡
homocea,霍莫恰乡
fitionești,菲蒂奥内什蒂乡
pănătău,珀讷特乌乡
pleșoi,普莱绍伊乡
lucieni,卢切尼乡
nuci,努奇乡
reghiu,雷吉乌乡
vintileasca,温蒂莱亚斯卡乡
soveja,索韦亚乡
răscăeți,勒斯克埃茨乡
titești,蒂泰什蒂乡
cotești,科泰什蒂乡
amărăști,阿默勒什蒂乡
obrejița,奥布雷日察乡
sutești,苏泰什蒂乡
săucești,瑟乌切什蒂乡
strugari,斯特鲁加里乡
ribița,里比察乡
stănești,斯特内什蒂乡
pufești,普费什蒂乡
aușeu,奥谢乌乡
ciorăști,乔勒什蒂乡
fârtățești,弗尔特采什蒂乡
ionești,约内什蒂乡
păușești,珀乌谢什蒂乡
biliești,比列什蒂乡
roșiori,罗希奥里乡
oncești,翁切什蒂乡
jibert,日贝尔特乡
fundata,丰达塔乡
alțina,阿尔策纳乡
măieruș,默耶鲁什乡
râciu,勒丘
dragodana,德拉戈达纳乡
semlac,塞姆拉克乡
hălmăgel,赫尔默杰尔乡
craiva,克赖瓦乡
cărand,克兰德乡
brazii,布拉济乡
roton,若顿唱片公司
conop,科诺普乡
cobadin,科巴丁
dezna,代兹纳乡
beliu,贝利乌乡
săcălaz,瑟克拉兹乡
gottlob,戈特洛布乡
giera,杰拉乡
țuțora,楚措拉
secusigiu,塞库西久乡
cucuteni,库库泰尼乡
ațel,阿采尔乡
dieci,迪耶奇乡
liebling,利布灵乡
oltina,奥尔蒂纳乡
bata,巴塔乡
bârsa,伯尔萨乡
remeți,雷梅齐乡
frumușeni,弗鲁穆谢尼乡
iratoșu,伊拉托舒乡
ignești,伊格内什蒂乡
gurahonț,古拉洪茨乡
viștea,维什泰亚乡
bărăganu,伯勒加努乡
rasova,拉索瓦乡
târgușor,特尔古绍尔乡
foeni,福埃尼乡
pilu,皮卢乡
telciu,泰尔丘乡
dorobanți,多罗班齐乡
ghizela,吉泽拉乡
jebel,热贝尔乡
ostrov,奥斯特罗夫乡
bocsig,博克西格乡
voiteg,沃伊泰格乡
sarasău,萨拉瑟乌乡
maieru,马耶鲁乡
birchiș,比尔基什乡
bazna,巴兹纳乡
saravale,萨拉瓦莱乡
valcani,沃尔卡尼乡
șona,绍纳乡
seleuș,塞莱乌什乡
corbu,科尔布乡
socodor,索科多尔乡
giarmata,贾尔马塔乡
sânandrei,圣安德烈乡
castelu,卡斯泰卢乡
bârsana,伯尔萨纳乡
andrid,安德里德乡
berveni,贝尔韦尼乡
mișca,米什卡乡
șagu,沙古乡
denta,登塔乡
ciumani,丘马尼乡
satchinez,萨特基内兹乡
cerchezu,切尔凯祖乡
băcia,伯恰乡
șeitin,谢伊廷乡
lueta,卢埃塔乡
desești,代塞什蒂乡
foieni,福耶尼乡
orlat,奥尔拉特乡
săcel,瑟切尔乡
baru,巴鲁乡
strâmtura,斯特勒姆图拉乡
batoș,巴托什乡
băgaciu,伯加丘乡
apold,阿波尔德乡
păsăreni,珀瑟雷尼乡
cârța,克尔察乡
marpod,马尔波德乡
remetea,雷梅泰亚乡
șepreuș,谢普雷乌什乡
siculeni,锡库莱尼乡
petrova,彼得罗瓦乡
căpâlnița,克珀尔尼察乡
leordina,莱奥尔迪纳乡
rozavlea,罗扎夫莱亚乡
agriș,阿格里什乡
nadeș,纳代什乡
zagăr,扎格尔乡
teaca,泰亚卡乡
vătava,沃塔瓦乡
cerțești,切尔泰什蒂乡
halmeu,哈尔梅乌乡
milaș,米拉什乡
daneș,达内什乡
cârțișoara,克尔茨什瓦拉乡
ghidfalău,吉德法勒乌乡
dalboșeț,达尔博谢茨乡
zărand,泽兰德乡
buchin,布钦乡
micăsasa,米克萨萨乡
petriș,彼得里什乡
păuliș,珀乌利什乡
sântimbru,圣廷布鲁乡
șieuodorhei,谢乌奥多尔海伊乡
zagra,扎格拉乡
corunca,科伦卡乡
băuțar,伯乌察尔乡
bereni,贝雷尼乡
tilișca,蒂利什卡乡
tichilești,蒂基莱什蒂乡
mihăileni,米赫伊莱尼乡
spermezeu,斯佩尔梅泽乌乡
mărișelu,默里谢卢乡
târlișua,特尔利舒阿乡
monor,莫诺尔乡
uriu,乌里乌乡
nușeni,努谢尼乡
albeni,阿尔贝尼乡
coroisânmărtin,科罗伊圣马丁乡
chibed,基贝德
ghindărești,京德雷什蒂乡
bănia,伯尼亚乡
berliște,贝尔利什泰乡
armeniș,阿尔梅尼什乡
casimcea,卡西姆恰乡
livezile,利韦济莱乡
grințieș,格林切什乡
crăcăoani,克勒克瓦尼乡
ludoș,卢多什乡
dămuc,德穆克乡
nalbant,纳尔班特乡
chiuza,基乌扎乡
țânțăreni,岑策雷尼乡
șanț,尚茨乡
strunga,斯特伦加乡
bascov,巴萨科夫乡
mălureni,默卢雷尼乡
țibucani,齐布卡尼乡
pecineaga,佩西内亚加乡
bârzava,伯尔扎瓦乡
băiculești,伯伊库莱什蒂乡
văleni,沃莱尼
tupilați,图皮拉齐乡
greci,格雷奇乡
mahmudia,马赫穆迪亚乡
tuzla,图兹拉乡
punghina,彭吉纳乡
loamneș,洛阿姆内什乡
ciceugiurgești,奇切乌久尔杰什蒂乡
șieumăgheruș,谢乌默盖鲁什乡
corod,科罗德乡
mogoșeștisiret,莫戈谢什蒂锡雷特乡
moțca,莫茨卡乡
cumpăna,昆珀纳乡
miroslava,米罗斯拉瓦乡
tăureni,特乌雷尼乡
bolvașnița,博尔瓦什尼察乡
oțeleni,奥采莱尼乡
gârliciu,格尔利丘乡
bozovici,博佐维奇乡
urmeniș,乌尔梅尼什乡
șicula,希库拉乡
feldru,费尔德鲁乡
deda,代达乡
crasna,克拉斯纳乡
ciceumihăiești,奇切乌米赫耶什蒂乡
șintereag,欣泰雷亚格乡
vârfurile,沃尔富里莱乡
holboca,霍尔博卡乡
horlești,霍尔莱什蒂乡
chisindia,基辛迪亚乡
limanu,利马努乡
seimeni,塞伊梅尼乡
lipnița,利普尼察乡
beidaud,贝达乌德乡
răducăneni,勒杜克内尼乡
deleni,代莱尼乡
biertan,别尔坦乡
lungani,伦加尼乡
aroneanu,阿罗尼亚努乡
șelaru,谢拉鲁乡
grădina,格勒迪纳乡
saraiu,萨拉尤乡
chirnogeni,基尔诺杰尼乡
dobromir,多布罗米尔乡
comana,科马纳乡
lăpuș,勒普什乡
orodel,奥罗代尔乡
lerești,莱雷什蒂乡
grajduri,格拉伊杜里乡
mircești,米尔切什蒂乡
săbăoani,瑟伯瓦尼乡
tămășeni,特默谢尼乡
dârjiu,德尔日乌乡
răchiteni,勒基泰尼乡
crevedia,克雷韦迪亚乡
istria,伊斯特里亚乡
albești,阿尔贝什蒂乡
gavojdia,加沃伊迪亚乡
tormac,托尔马克乡
cernica,切尔尼卡乡
turcoaia,图尔夸亚乡
poienari,波耶纳里乡
probota,普罗博塔乡
belcești,贝尔切什蒂乡
topolog,托波洛格乡
peceneaga,佩切内亚加乡
pietroșița,彼得罗希察乡
porumbești,波鲁姆贝什蒂乡
clejani,克莱扎尼乡
focuri,福库里乡
șieuț,谢乌茨乡
vama,瓦马乡
giroc,吉罗克乡
botiza,博蒂扎乡
saschiz,萨斯基兹乡
sălsig,瑟尔西格乡
somova,索莫瓦乡
pardina,帕尔迪纳乡
stejaru,斯泰亚鲁乡
sarichioi,萨里基奥伊乡
doba,多巴乡
băsești,伯谢什蒂乡
dorolț,多罗尔茨乡
movileni,莫维莱尼乡
cilieni,奇利耶尼乡
tudora,图多拉乡
carcaliu,卡尔卡柳乡
șiștarovăț,希什塔罗沃茨乡
șofronea,绍夫罗内亚乡
pir,皮尔乡
nanov,纳诺夫乡
șimonești,希莫内什蒂乡
văcăreni,沃克雷尼乡
socond,索孔德乡
balșa,巴尔沙乡
bixad,比克萨德乡
bătarci,伯塔尔奇乡
margina,马尔吉纳乡
fârdea,弗尔代亚乡
zerind,泽林德乡
peștera,佩什泰拉乡
criciova,克里乔瓦乡
gostinu,戈斯蒂努乡
cosoba,科索巴乡
grindu,格林杜乡
dăeni,德埃尼乡
tufești,图费什蒂乡
matca,马特卡乡
cămărzana,克默尔扎纳乡
ruscova,鲁斯科瓦乡
botiz,博蒂兹乡
malu,马卢乡
mărculești,默尔库莱什蒂乡
dobreni,多布雷尼乡
jurilovca,茹里洛夫卡乡
