lionel,利昂内尔
belcastro,贝尔卡斯特罗
commessaggio,科梅萨焦
badolato,巴多拉托
argusto,阿尔古斯托
villarosa,维拉罗莎
trasacco,特拉萨科
botricello,博特里切洛
borgia,博尔贾
falerna,法莱尔纳
decollatura,德科拉图拉
redondesco,雷东德斯科
ferentino,费伦蒂诺
cortale,科尔塔莱
cropani,克罗帕尼
morbello,莫尔贝洛
dosolo,多索洛
capua,卡普阿
montemarzino,蒙特马尔齐诺
carinaro,卡里纳罗
cellole,切洛莱
montaldeo,蒙塔尔德奥
sermide,塞尔米代
momperone,蒙佩罗内
moncestino,蒙切斯蒂诺
altino,阿尔蒂诺
archi,阿尔基
mornese,莫尔内塞
morsasco,莫尔萨斯科
murisengo,穆里森戈
casagiove,卡萨焦韦
gizzeria,吉泽里亚
guardavalle,瓜尔达瓦莱
casapesenna,卡萨佩森纳
casaluce,卡萨卢切
jacurso,亚库尔索
casapulla,卡萨普拉
occimiano,奥奇米亚诺
ari,阿里
magnacavallo,马尼亚卡瓦洛
atessa,阿泰萨
arielli,阿列利
monleale,蒙莱阿莱
magisano,马吉萨诺
maida,马伊达
marcedusa,马尔切杜萨
montacuto,蒙塔库托
marcaria,马尔卡里亚
martirano,马尔蒂拉诺
marcellinara,马尔切利纳拉
bomba,邦巴
miglierina,米列里纳
cesa,切萨
ciorlano,乔尔拉诺
curti,库尔蒂
dragoni,德拉戈尼
bolognano,博洛尼亚诺
castelbelforte,卡斯特尔贝尔福泰
montecastello,蒙特卡斯泰洛
montegioco,蒙特焦科
cremeno,克雷梅诺
gagliato,加利亚托
livraga,利夫拉加
casarile,卡萨里莱
gimigliano,吉米利亚诺
gasperina,加斯佩里纳
girifalco,吉里法尔科
carinola,卡里诺拉
camairago,卡马伊拉戈
crespiatica,克雷斯皮亚蒂卡
marudo,马鲁多
olivola,奥利沃拉
borrello,博雷洛
bucchianico,布基亚尼科
ottiglio,奥蒂廖
oviglio,奥维廖
ovada,奥瓦达
montauro,蒙陶罗
montepaone,蒙泰保内
galluccio,加卢乔
airuno,阿伊鲁诺
cormano,科尔马诺
pentone,彭托内
petrizzi,佩特里齐
piovera,皮奥韦拉
pontecurone,蓬泰库罗内
petronà,彼得罗纳
felonica,费洛尼卡
pontestura,蓬泰斯图拉
brembio,布伦比奥
casoli,卡索利
pomponesco,蓬波内斯科
civitaluparella,奇维塔卢帕雷拉
castelguidone,卡斯特尔圭多内
colledimacine,科莱迪马奇内
olivadi,奥利瓦迪
fontegreca,丰泰格雷卡
carunchio,卡伦基奥
formicola,福尔米科拉
francolise,弗兰科利塞
frignano,弗里尼亚诺
casalanguida,卡萨兰圭达
casacanditella,卡萨坎迪泰拉
paderna,帕德尔纳
pareto,帕雷托
casalbordino,卡萨尔博迪诺
casalincontrada,卡萨林孔特拉达
palermiti,帕莱尔米蒂
pasturana,帕斯图拉纳
ricaldone,里卡尔多内
quattordio,夸托尔迪奥
rivarone,里瓦罗内
squillace,斯奎拉切
stalettì,斯塔莱蒂
pietramelara,彼得拉梅拉腊
pietravairano,彼得拉瓦伊拉诺
pantigliate,潘蒂利亚泰
noviglio,诺维廖
colturano,科尔图拉诺
frisa,弗里萨
fresagrandinaria,弗雷萨格兰迪纳里亚
soverato,索韦拉托
platania,普拉塔尼亚
pianopoli,皮亚诺波利
luzzara,卢扎拉
lusciano,卢夏诺
marcianise,马尔恰尼塞
grazzanise,格拉扎尼塞
letino,莱蒂诺
liberi,利贝里
ponzone,蓬佐内
massalengo,马萨伦戈
colledimezzo,科莱迪梅佐
cupello,库佩洛
crecchio,克雷基奥
satriano,萨特里亚诺
sellia,塞利亚
mondragone,蒙德拉戈内
sersale,塞尔萨莱
settingiano,塞廷贾诺
pratella,普拉泰拉
parete,帕雷泰
pastorano,帕斯托拉诺
sale,萨莱
cambiago,坎比亚戈
dresano,德雷萨诺
mediglia,梅迪利亚
vimodrone,维莫德罗内
furci,富尔奇
gamberale,甘贝拉莱
prasco,普拉斯科
predosa,普雷多萨
presenzano,普雷森扎诺
acquaformosa,阿夸福尔莫萨
raviscanina,拉维斯卡尼纳
recale,雷卡莱
riardo,里亚尔多
sezzadio,塞扎迪奥
quargnento,夸尔年托
gessopalena,杰索帕莱纳
gissi,吉西
olmeneta,奥尔梅内塔
taverna,塔韦尔纳
tiriolo,蒂廖洛
dogliola,多廖拉
filetto,菲莱托
vallefiorita,瓦莱菲奥里塔
fraine,弗雷纳
fossacesia,福萨切西亚
pontelatone,蓬泰拉托内
serrastretta,塞拉斯特雷塔
ortona,奥托纳
orsogna,奥尔索尼亚
sardigliano,萨尔迪利亚诺
capergnanica,卡佩尔尼亚尼卡
sarezzano,萨雷扎诺
lacchiarella,拉基亚雷拉
lentella,伦泰拉
corsico,科尔西科
suzzara,苏扎拉
lettopalena,莱托帕莱纳
liscia,利夏
aieta,阿耶塔
albidona,阿尔比多纳
nosate,诺萨泰
moscazzano,莫斯卡扎诺
mozzagrogna,莫扎格罗尼亚
monteodorisio,蒙特奥多里肖
calvignasco,卡尔维尼亚斯科
ozzero,奥泽罗
margno,马尔尼奥
miglianico,米利亚尼科
montazzoli,蒙塔佐利
rosate,罗萨泰
acquappesa,阿夸佩萨
montenerodomo,蒙特内洛多莫
guardiagrele,瓜尔迪亚格雷莱
guilmi,圭尔米
acri,阿克里
zagarise,扎加里塞
roccaromana,罗卡罗马纳
roccamonfina,罗卡蒙菲纳
albi,阿尔比
ruviano,鲁维亚诺
ticineto,蒂奇内托
sparanise,斯帕拉尼塞
volpedo,沃尔佩多
sant'arpino,圣阿尔皮诺
amendolara,阿门多拉腊
terruggia,泰鲁贾
terzo,泰尔佐
scerni,谢尔尼
celico,切利科
cellara,切拉腊
treville,特雷维莱
trisobbio,特里索比奥
stazzano,斯塔扎诺
strevi,斯特雷维
solero,索莱罗
solonghello,索隆盖洛
tassarolo,塔萨罗洛
valenza,瓦伦扎
valmacca,瓦尔马卡
ello,埃洛
pennadomo,彭纳多莫
pennapiedimonte,彭纳皮耶迪蒙特
pizzoferrato,皮佐费拉托
perano,佩拉诺
carenno,卡伦诺
paglieta,帕列塔
aprigliano,阿普里利亚诺
palmoli,帕尔莫利
palena,帕莱纳
belsito,贝尔西托
palombaro,帕隆巴罗
altomonte,阿尔托蒙特
altilia,阿尔蒂利亚
amantea,阿曼泰亚
scafati,斯卡法蒂
tortona,托尔托纳
casargo,卡萨尔戈
poggiofiorito,波焦菲奥里托
pretoro,普雷托罗
pollutri,波卢特里
quadri,夸德里
bisignano,比西尼亚诺
bocchigliero,博基列罗
bonifati,博尼法蒂
rapino,拉皮诺
roccamontepiano,罗卡蒙泰皮亚诺
buonvicino,布翁维奇诺
roccascalegna,罗卡斯卡莱尼亚
calopezzati,卡洛佩扎蒂
caloveto,卡洛韦托
succivo,苏奇沃
teano,泰亚诺
teverola,泰韦罗拉
viguzzolo,维古佐洛
villadeati,维拉代阿蒂
volpeglino,沃尔佩利诺
voltaggio,沃尔塔焦
quintano,昆塔诺
barzanò,巴尔扎诺
tollo,托洛
villalvernia,维拉尔韦尼亚
torrebruna,托雷布鲁纳
tornareccio,托尔纳雷乔
villamiroglio,维拉米罗廖
roccaspinalveti,罗卡斯皮纳尔韦蒂
rosello,罗塞洛
casatenovo,卡萨泰诺沃
carolei,卡罗莱伊
cariati,卡里亚蒂
castroregio,卡斯特罗雷焦
castrolibero,卡斯特罗利贝罗
castrovillari,卡斯特罗维拉里
vitulazio,维图拉齐奥
cervicati,切尔维卡蒂
cerisano,切里萨诺
villaromagnano,维拉罗马尼亚诺
cerzeto,切尔泽托
amandola,阿曼多拉
cortenova,科尔泰诺瓦
veroli,韦罗利
altidona,阿尔蒂多纳
civate,奇瓦泰
belveglio,贝尔韦廖
villamagna,维拉马尼亚
vacri,瓦克里
vasto,瓦斯托
villalfonsina,维拉尔丰西纳
casalfiumanese,卡萨尔菲乌马内塞
cropalati,克罗帕拉蒂
crosia,克罗夏
diamante,迪亚曼泰
dipignano,迪皮尼亚诺
albugnano,阿尔布尼亚诺
aramengo,阿拉门戈
antignano,安蒂尼亚诺
treglio,特雷廖
tufillo,图菲洛
falerone,法莱罗内
campofilone,坎波菲洛内
grottazzolina,格罗塔佐利纳
budrio,布德里奥
civita,奇维塔
cetraro,切特拉罗
colosimi,科洛西米
cleto,克莱托
lapedona,拉佩多纳
montappone,蒙塔波内
camugnano,卡穆尼亚诺
bubbio,布比奥
calamandrana,卡拉曼德拉纳
domanico,多马尼科
abbateggio,阿巴泰焦
montefortino,蒙特福尔蒂诺
castellero,卡斯泰莱罗
capriglio,卡普里廖
cassinasco,卡西纳斯科
lago,拉戈
crespellano,克雷斯佩拉诺
petritoli,彼得里托利
lappano,拉帕诺
fuscaldo,富斯卡尔多
grisolia,格里索利亚
moresco,莫雷斯科
montottone,蒙托托内
frascineto,弗拉希内托
montegiorgio,蒙特乔治
monterubbiano,蒙特鲁比亚诺
ortezzano,奥尔泰扎诺
pedaso,佩达索
montelparo,蒙泰尔帕罗
castenaso,卡斯泰纳索
castelplanio,卡斯特尔普拉尼奥
chiaravalle,基亚拉瓦莱
corinaldo,科里纳尔多
longobardi,隆戈巴尔迪
lattarico,拉塔里科
luzzi,卢齐
longobucco,隆戈布科
lungro,伦格罗
crevalcore,克雷瓦尔科雷
rapagnano,拉帕尼亚诺
cupramontana,库普拉蒙塔纳
calosso,卡洛索
genga,真加
filottrano,菲洛特拉诺
dozza,多扎
loreto,洛雷托
cantarana,坎塔拉纳
canelli,卡内利
firmo,菲尔莫
galliera,加列拉
monsano,蒙萨诺
granaglione,格拉纳廖内
mergo,梅尔戈
fontanelice,丰塔内利切
cellarengo,切拉伦戈
malito,马利托
maierà,马伊埃拉
mandatoriccio,曼达托里乔
malvito,马尔维托
servigliano,塞尔维利亚诺
smerillo,斯梅里洛
dambel,丹贝尔
loiano,洛亚诺
montemarciano,蒙特马尔恰诺
monterado,蒙泰拉多
montecarotto,蒙泰卡罗托
cortandone,科尔坦多内
corsione,科尔肖内
cocconato,科科纳托
coazzolo,科阿佐洛
mendicino,门迪奇诺
mongrassano,蒙格拉萨诺
montegiordano,蒙特焦尔达诺
molinella,莫利内拉
cortiglione,科尔蒂廖内
cortanze,科尔坦泽
medicina,梅迪奇纳
minerbio,米内尔比奥
rosora,罗索拉
cessole,切索莱
cinaglio,奇纳廖
mangone,曼戈内
sarnano,萨尔纳诺
ripe,里佩
monterenzio,蒙特伦齐奥
sefro,塞夫罗
cossombrato,科松布拉托
offagna,奥法尼亚
numana,努马纳
osimo,奥西莫
mottafollone,莫塔福洛内
mormanno,莫尔曼诺
nocara,诺卡拉
orsomarso,奥尔索马索
moena,莫埃纳
monghidoro,蒙吉多罗
ostra,奥斯特拉
polverigi,波尔韦里吉
marzabotto,马尔扎博托
malalbergo,马拉尔贝戈
monteveglio,蒙特韦廖
monzuno,蒙祖诺
senigallia,塞尼加利亚
afragola,阿夫拉戈拉
agerola,阿杰罗拉
mordano,莫尔达诺
sassoferrato,萨索费拉托
frinco,弗林科
bacoli,巴科利
pedace,佩达切
pedivigliano,佩迪维利亚诺
tolentino,托伦蒂诺
pianoro,皮亚诺罗
cunico,库尼科
fontanile,丰塔尼莱
ferrere,费雷雷
panettieri,帕内蒂耶里
paludi,帕卢迪
papasidero,帕帕西代罗
acerra,阿切拉
sirolo,锡罗洛
staffolo,斯塔福洛
anacapri,阿纳卡普里
arzano,阿尔扎诺
treia,特雷亚
moasca,莫阿斯卡
mombaldone,蒙巴尔多内
mombercelli,蒙贝尔切利
mombaruzzo,蒙巴鲁佐
loazzolo,洛阿佐洛
rende,伦德
rogliano,罗利亚诺
bassiano,巴夏诺
campodimele,坎波迪梅莱
moncalvo,蒙卡尔沃
maranzana,马兰扎纳
maretto,马雷托
brusciano,布鲁夏诺
pietrafitta,彼得拉菲塔
pietrapaola,彼得拉保拉
caivano,卡伊瓦诺
calvizzano,卡尔维扎诺
castelforte,卡斯泰尔福尔泰
cori,科里
fondi,丰迪
rose,罗塞
barrali,巴拉利
serbi,塞尔维亚族
capri,卡普里
cardito,卡尔迪托
plataci,普拉塔奇
camposano,坎波萨诺
visso,维索
boscoreale,博斯科雷亚莱
boscotrecase,博斯科特雷卡塞
urbisaglia,乌尔比萨利亚
aprilia,阿普里利亚
ussita,乌西塔
monale,莫纳莱
mongardino,蒙加尔迪诺
montabone,蒙塔博内
rovito,罗维托
casamarciano,卡萨马尔恰诺
casandrino,卡桑德里诺
savigno,萨维尼奥
serrapetrona,塞拉佩特罗纳
gaeta,加埃塔
formia,福尔米亚
montafia,蒙塔菲亚
lenola,莱诺拉
itri,伊特里
minturno,明图尔诺
norma,诺尔马
pontinia,蓬蒂尼亚
casavatore,卡萨瓦托雷
casoria,卡索里亚
cercola,切尔科拉
cicciano,奇恰诺
moransengo,莫兰森戈
algua,阿尔瓜
priverno,普里韦尔诺
ponza,蓬扎
almè,阿尔梅
cimitile,奇米蒂莱
prossedi,普罗塞迪
comiziano,科米齐亚诺
crispano,克里斯帕诺
ercolano,埃尔科拉诺
forio,福里奥
frattamaggiore,弗拉塔马焦雷
averara,阿韦拉拉
aviatico,阿维亚蒂科
penango,佩南戈
piea,皮耶阿
sermoneta,塞尔莫内塔
sezze,塞泽
sonnino,松尼诺
gragnano,格拉尼亚诺
ardesio,阿尔德肖
frattaminore,弗拉塔米诺雷
antegnate,安泰尼亚泰
ambivere,安比韦雷
quaranti,夸兰蒂
portacomaro,波塔科马罗
roccagorga,罗卡戈尔加
arcene,阿尔切内
sabaudia,萨包迪亚
sangineto,桑吉内托
robella,罗贝拉
roatto,罗阿托
refrancore,雷夫兰科雷
roccaverano,罗卡韦拉诺
liveri,利韦里
cento,琴托
codigoro,科迪戈罗
bondeno,邦德诺
mariglianella,马里利亚内拉
azzone,阿佐内
argenta,阿真塔
comacchio,科马基奥
sperlonga,斯佩尔隆加
ventotene,文托泰内
terracina,泰拉奇纳
saracena,萨拉切纳
scalea,斯卡莱阿
ischia,伊斯基亚
marigliano,马里利亚诺
scigliano,希利亚诺
lettere,莱泰雷
formignana,福尔米尼亚纳
goro,戈罗
meta,梅塔
copparo,科帕罗
scurzolengo,斯库尔佐伦戈
serole,塞罗莱
sessame,塞萨梅
settime,塞蒂梅
soglio,索廖
tarsia,塔尔夏
terravecchia,泰拉韦基亚
tigliole,蒂廖莱
tonco,通科
lagosanto,拉戈桑托
trenta,特伦塔
qualiano,夸利亚诺
quarto,夸尔托
nola,诺拉
ottaviano,奥塔维亚诺
tonengo,托嫩戈
trebisacce,特雷比萨切
tortora,托尔托拉
zumpano,尊帕诺
mesola,梅索拉
poggiomarino,波焦马里诺
pimonte,皮蒙泰
viarigi,维亚里吉
valfenera,瓦尔费内拉
vesime,韦西梅
verbicaro,韦尔比卡罗
villapiana,维拉皮亚纳
portici,波蒂奇
tresigallo,特雷西加洛
voghiera,沃吉耶拉
merano,梅拉诺
procida,普罗奇达
pozzuoli,波佐利
sant'agostino,圣阿戈斯蒂诺
portomaggiore,波尔托马焦雷
castelsilano,卡斯泰尔西拉诺
casabona,卡萨博纳
carfizzi,卡尔菲齐
caccuri,卡库里
cirò,奇罗
cerenzia,切伦齐亚
bertinoro,贝尔蒂诺罗
borghi,博尔吉
casape,卡萨佩
roccarainola,罗卡拉伊诺拉
futurismo,未来主义
migliaro,米利亚罗
migliarino,米利亚里诺
pantheon,万神庙
mirabello,米拉贝洛
ostellato,奥斯泰拉托
capena,卡佩纳
mesoraca,梅索拉卡
pallagorio,帕拉戈里奥
sant'antimo,圣安蒂莫
galeata,加莱阿塔
gambettola,甘贝托拉
longiano,隆贾诺
gatteo,加泰奥
farnese,法尔内塞
arco,阿尔科
cotronei,科特罗内伊
crucoli,克鲁科利
cutro,库特罗
scisciano,希夏诺
modigliana,莫迪利亚纳
dovadola,多瓦多拉
roccabernarda,罗卡贝尔纳尔达
rometta,罗梅塔
forlimpopoli,福林波波利
striano,斯特里亚诺
sorrento,索伦托
sant'agnello,圣阿涅洛
meldola,梅尔多拉
cesenatico,切塞纳蒂科
sant'anastasia,圣阿纳斯塔夏
cerveteri,切尔韦泰里
ciampino,钱皮诺
terzigno,泰尔齐尼奥
premilcuore,普雷米尔库奥雷
predappio,普雷达皮奥
zagarolo,扎加罗洛
civitavecchia,奇维塔韦基亚
colleferro,科莱费罗
belvì,贝尔维
birori,比罗里
bitti,比蒂
roncofreddo,龙科弗雷多
villaricca,维拉里卡
tufino,图菲诺
trecase,特雷卡塞
sarsina,萨尔西纳
suvereto,苏韦雷托
monteflavio,蒙特弗拉维奥
borore,博罗雷
bolotana,博洛塔纳
colonna,科隆纳
filacciano,菲拉恰诺
lisignago,利西尼亚戈
bortigali,博尔蒂加利
apiro,阿皮罗
bolognola,博洛尼奥拉
caldarola,卡尔达罗拉
camerino,卡梅里诺
barbata,巴尔巴塔
bagnatica,巴尼亚蒂卡
volla,沃拉
visciano,维夏诺
bariano,巴里亚诺
barzana,巴尔扎纳
minardi,米纳尔迪车队
genazzano,杰纳扎诺
gavignano,加维尼亚诺
verghereto,韦尔盖雷托
tredozio,特雷多齐奥
acquacanina,阿夸卡尼纳
pellizzano,佩利扎诺
zambana,赞巴纳
tim,义大利电信
gadoni,加多尼
bedulita,贝杜利塔
berbenno,贝尔本诺
castelraimondo,卡斯特尔雷蒙多
cessapalombo,切萨帕隆博
bianzano,比安扎诺
galtellì,加尔泰利
gavoi,加沃伊
formello,福尔梅洛
desulo,德苏洛
dualchi,杜阿尔基
dorgali,多尔加利
grottaferrata,格罗塔费拉塔
irgoli,伊尔戈利
malosco,马洛斯科
lei,莱伊
cingoli,钦戈利
colmurano,科尔穆拉诺
corridonia,科里多尼亚
esanatoglia,埃萨纳托利亚
bolgare,博尔加雷
blello,布莱洛
boltiere,博尔蒂耶雷
selargius,塞拉尔朱斯
castellanza,卡斯特兰扎
gerano,杰拉诺
gorga,戈尔加
fiastra,菲亚斯特拉
fiordimonte,菲奥尔迪蒙泰
fiuminata,菲乌米纳塔
gagliole,加廖莱
gualdo,瓜尔多
bossico,博西科
jenne,延内
labico,拉比科
ladispoli,拉迪斯波利
loculi,洛库利
lanuvio,拉努维奥
lodè,洛代
lodine,洛迪内
lula,卢拉
lariano,拉里亚诺
licenza,利琴扎
noragugume,诺拉古古梅
bottanuco,博塔努科
macomer,马科梅尔
mamoiada,马莫亚达
brembate,布伦巴泰
bracca,布拉卡
acerno,阿切尔诺
agropoli,阿格罗波利
tirolo,蒂罗尔
alitalia,意大利航空
montecassino,卡西诺山
angri,安格里
aquara,阿夸拉
bibbona,比博纳
marcellina,马尔切利纳
amalfi,阿马尔菲
appignano,阿皮尼亚诺
ascea,阿谢亚
olzai,奥尔扎伊
mentana,门塔纳
onanì,奥纳尼
atrani,阿特拉尼
onifai,奥尼法伊
mezzana,梅扎纳
oniferi,奥尼费里
orgosolo,奥尔戈索洛
orani,奥拉尼
auletta,奥莱塔
montelibretti,蒙特利布雷蒂
monterotondo,蒙特罗通多
orosei,奥罗塞
orotelli,奥罗泰利
cavezzo,卡韦佐
capoliveri,卡波利韦里
montelanico,蒙特拉尼科
baronissi,巴罗尼西
bellizzi,贝利齐
battipaglia,巴蒂帕利亚
fanano,法纳诺
collesalvetti,科莱萨尔韦蒂
cecina,切奇纳
fiumalbo,菲乌马尔博
ottana,奥塔纳
mezzocorona,梅佐科罗纳
manziana,曼齐亚纳
albanella,阿尔巴内拉
bastiglia,巴斯蒂利亚
bomporto,邦波尔托
brumano,布鲁马诺
mazzin,马津
brusaporto,布鲁萨波尔托
camposanto,坎波桑托
campogalliano,坎波加利亚诺
ollolai,奥洛拉伊
oliena,奥列纳
carpi,卡尔皮
marciana,马尔恰纳
morlupo,莫尔卢波
moricone,莫里科内
nazzano,纳扎诺
osidda,奥西达
ortueri,奥图埃里
bellosguardo,贝洛斯瓜尔多
bracigliano,布拉奇利亚诺
caggiano,卡贾诺
frassinoro,弗拉西诺罗
formigine,福尔米吉内
buonabitacolo,博纳比塔科洛
buccino,布奇诺
guiglia,圭利亚
nemi,内米
piombino,皮翁比诺
silanus,锡拉努斯
nettuno,内图诺
nerola,内罗拉
ovodda,奥沃达
sarule,萨鲁莱
campora,坎波拉
cannalonga,坎纳隆加
montese,蒙泰塞
montecreto,蒙泰克雷托
montefiorino,蒙泰菲奥里诺
sassetta,萨塞塔
diesel,迪赛
mirandola,米兰多拉
casalbuono,卡萨尔博诺
palagano,帕拉加诺
nonantola,诺南托拉
riano,里亚诺
riofreddo,廖夫雷多
polinago,波利纳戈
pievepelago,皮耶韦佩拉戈
acquapendente,阿夸彭登泰
maranello,马拉内罗
rothschild,罗斯柴尔德家族
pisoniano,皮索尼亚诺
pomezia,波梅齐亚
teti,泰蒂
tiana,蒂亚纳
tonara,托纳拉
sorgono,索尔戈诺
siniscola,锡尼斯科拉
sindia,辛迪亚
torpè,托尔佩
fonni,丰尼
molveno,莫尔韦诺
monclassico,蒙克拉西科
camerota,卡梅罗塔
calvanico,卡尔瓦尼科
palestrina,帕莱斯特里纳
mezzolombardo,梅佐伦巴多
percile,佩尔奇莱
medolla,梅多拉
castelcivita,卡斯泰尔奇维塔
ravarino,拉瓦里诺
castellabate,卡斯特拉巴泰
riolunato,廖卢纳托
bagnoregio,巴尼奥雷焦
nagotorbole,纳戈托尔博莱
nanno,楠诺
montagne,蒙塔涅
centola,琴托拉
cicerale,奇切拉莱
ceraso,切拉索
bomarzo,博马尔佐
spilamberto,斯皮兰贝尔托
roiate,罗亚泰
roviano,罗维亚诺
controne,孔特罗内
roccagiovine,罗卡焦维内
bolsena,博尔塞纳
sestola,塞斯托拉
soliera,索列拉
cappuccino,卡布奇诺
colliano,科利亚诺
tivoli,蒂沃利
blera,布莱拉
serramazzoni,塞拉马佐尼
padergnone,帕德尔尼奥内
canino,卡尼诺
panchià,潘基阿
pelugo,佩卢戈
caravaggio,卡拉瓦焦
carvico,卡尔维科
carona,卡罗纳
casazza,卡萨扎
saracinesco,萨拉奇内斯科
cuma,库迈
cetara,切塔拉
sant'oreste,圣奥雷斯泰
peio,佩约
eboli,埃博利
capizzone,卡皮佐内
felitto,费利托
novaledo,诺瓦莱多
nomi,诺米
canepina,卡内皮纳
calcata,卡尔卡塔
corbara,科尔巴拉
ossana,奥萨纳
ospedaletto,奥斯佩达莱托
sacrofano,萨克罗法诺
sambuci,桑布奇
zocca,佐卡
calcinate,卡尔奇纳泰
calcio,卡尔乔
calvenzano,卡尔文扎诺
furore,富罗雷
fisciano,菲夏诺
futani,富塔尼
cassiglio,卡西廖
laurino,劳里诺
casnigo,卡斯尼戈
vallinfreda,瓦林夫雷达
vallepietra,瓦莱彼得拉
tolfa,托尔法
pomarolo,波马罗洛
subiaco,苏比亚科
carbognano,卡尔博尼亚诺
capranica,卡普拉尼卡
capodimonte,卡波迪蒙特
albiano,阿尔比亚诺
aldeno,阿尔代诺
caprarola,卡普拉罗拉
giungano,准加诺
ispani,伊斯帕尼
cavernago,卡韦尔纳戈
gioi,焦伊
pinzolo,平佐洛
vicovaro,维科瓦罗
ala,阿拉
minori,米诺利
lustra,卢斯特拉
laviano,拉维亚诺
gradoli,格拉多利
graffignano,格拉菲尼亚诺
friuli,弗留利
sarzana,萨尔扎纳
celleno,切莱诺
cellere,切莱雷
valmontone,瓦尔蒙托内
faleria,法莱里亚
albavilla,阿尔巴维拉
corchiano,科尔基亚诺
preore,普雷奥雷
predazzo,普雷达佐
chiuduno,基乌杜诺
cene,切内
maiori,马约里
ciserano,奇塞拉诺
cerete,切雷泰
montecorice,蒙特科里切
colzate,科尔扎泰
clusone,克卢索内
colere,科莱雷
cornalba,科尔纳尔巴
cortenuova,科尔泰诺瓦
bedollo,贝多洛
procuratie,行政官邸大楼
barni,巴尔尼
besenello,贝塞内洛
asso,阿索
bersone,贝尔索内
gallese,加莱塞
andalo,安达洛
amblar,安布拉尔
albiolo,阿尔比奥洛
alserio,阿尔塞里奥
avio,阿维奥
revò,雷沃
praso,普拉索
romallo,罗马洛
roncone,龙科内
bellagio,贝拉焦
ronzone,龙佐内
ronzochienis,龙佐基耶尼斯
osnago,奥斯纳戈
brunate,布鲁纳泰
gianicolo,贾尼科洛山
bulgarograsso,布尔加罗格拉索
argegno,阿尔杰尼奥
romeno,罗梅诺
arosio,阿罗肖
covo,科沃
orria,奥里亚
ottati,奥塔蒂
busseto,布塞托
calestano,卡莱斯塔诺
colorno,科洛尔诺
collecchio,科莱基奥
omignano,奥米尼亚诺
bedonia,贝多尼亚
berceto,贝尔切托
alghero,阿尔盖罗
brenna,布伦纳
bregnano,布雷尼亚诺
cusio,库肖
albareto,阿尔巴雷托
bordolano,博尔多拉诺
bieno,别诺
brienno,布里恩诺
curno,库尔诺
ruffrémendola,鲁夫雷门多拉
rumo,鲁莫
bizzarone,比扎罗内
binago,比纳戈
sospiro,索斯皮罗
blevio,布莱维奥
blessagno,布莱萨尼奥
morigerati,莫里杰拉蒂
padula,帕杜拉
compiano,孔皮亚诺
pellezzano,佩莱扎诺
palomonte,帕洛蒙泰
felino,费利诺
corniglio,科尔尼廖
massimino,马西米诺
fidenza,菲登扎
fontanellato,丰塔内拉托
fontevivo,丰泰维沃
canzo,坎佐
cagno,卡尼奥
caglio,卡廖
bocenago,博切纳戈
langhirano,兰吉拉诺
sanzeno,桑泽诺
sfruz,斯夫鲁兹
segonzano,塞贡扎诺
perdifumo,佩尔迪富莫
perito,佩里托
cadorago,卡多拉戈
cabiate,卡比亚泰
pertosa,佩尔托萨
petina,佩蒂纳
sarnonico,萨尔诺尼科
scurelle,斯库雷莱
maccastorna,马卡斯托尔纳
piaggine,皮亚吉内
pisciotta,皮肖塔
polla,波拉
pollica,波利卡
medesano,梅代萨诺
montechiarugolo,蒙泰基亚鲁戈洛
mortadella,意式肉肠
bolbeno,博尔贝诺
carbonate,卡尔博纳泰
carimate,卡里马泰
siror,锡罗尔
smarano,斯马拉诺
carlazzo,卡尔拉佐
palanzano,帕兰扎诺
noceto,诺切托
positano,波西塔诺
praiano,普莱亚诺
sover,索韦尔
castelmarte,卡斯泰尔马尔泰
spera,斯佩拉
abbasanta,阿巴桑塔
spiazzo,斯皮亚佐
ravello,拉韦洛
ricigliano,里奇利亚诺
roccadaspide,罗卡达斯皮德
roccabianca,罗卡比安卡
solignano,索利尼亚诺
sissa,锡萨
roccapiemonte,罗卡皮耶蒙泰
roccagloriosa,罗卡格洛廖萨
rofrano,罗夫拉诺
rutino,鲁蒂诺
roscigno,罗希尼奥
terenzo,泰伦佐
sorbolo,索尔博洛
cermenate,切尔梅纳泰
cirimido,奇里米多
cernobbio,切尔诺比奥
cavargna,卡瓦尼亚
cavallasca,卡瓦拉斯卡
spormaggiore,斯波尔马焦雷
civenna,奇文纳
zibello,齐贝洛
valmozzola,瓦尔莫佐拉
entratico,恩特拉蒂科
dalmine,达尔米内
trecasali,特雷卡萨利
traversetolo,特拉韦尔塞托洛
trullo,特鲁洛
torrile,托里莱
tornolo,托尔诺洛
aragona,阿拉戈纳
colonno,科隆诺
corrido,科里多
romagna,罗马涅
sacco,萨科
salvitelle,萨尔维泰莱
salento,萨伦托
laives,拉伊韦斯
fontanella,丰塔内拉
fonteno,丰泰诺
filago,菲拉戈
stenico,斯泰尼科
sporminore,斯波尔米诺雷
bondone,邦多内
sanza,桑扎
santomenna,桑托门纳
sant'arsenio,圣阿尔塞尼奥
sapri,萨普里
gandellino,甘德利诺
sassano,萨萨诺
sarno,萨尔诺
lavarone,拉瓦罗内
tassullo,塔苏洛
telve,泰尔韦
tenna,滕纳
breguzzo,布雷古佐
bosentino,博森蒂诺
brentonico,布伦托尼科
serramezzana,塞拉梅扎纳
bresimo,布雷西莫
strembo,斯特伦博
strigno,斯特里尼奥
taio,塔约
